speciesID,PC1,PC2,PC3,PC4
Pipa,-7.918750002,-0.954962937,-1.387920106,0.198913497
Pipa,-4.844230918,-0.397670336,0.141700191,-0.498954042
Pipa,-2.89572108,-1.702207555,0.164152112,-0.530385997
Pipa,-6.52873458,-0.37901781,-0.488579488,0.113293474
Pipa,-2.198254302,-1.053984374,-0.20669469,-1.005590639
Pipa,-1.061401268,-1.379854166,1.399733626,-0.803694324
Pipa,-7.429129374,-0.535223509,-1.548645135,0.289786582
Pipa,-6.736402166,0.356611646,-0.126760281,0.234991209
Pipa,-0.530273123,-2.476604202,1.347296476,-0.342942116
Pipa,-0.120712833,-1.64788398,1.249252265,-0.828607119
Pipa,-6.435193717,-0.671066455,-1.21452782,0.334555117
Pipa,-6.098568336,-0.884042493,-1.56651433,0.202532177
Pipa,-2.214598222,-1.493838467,0.868714232,-0.175074592
Pipa,-0.803379166,-1.518954182,0.334849669,-0.79379796
Pipa,-2.667583364,-1.799910547,-1.692813212,-0.521053631
Pipa,-5.121187575,-0.652398125,-1.42705405,0.05549965
Pipa,-3.591176326,-1.951754389,-1.186603271,0.109557963
Pipa,-1.548138405,-2.65888439,-0.921650841,-0.230682283
Pipa,2.558272211,-4.400428192,-1.545880163,-0.890041659
Pipa,-4.404316402,-0.834907774,-0.908289759,0.264472279
Pipa,-4.53105479,-0.782036154,-0.88822237,0.408483642
Pipa,1.385712022,-2.123304421,0.965363375,-0.538664612
Pipa,3.924699925,-3.976893008,-0.502027346,-1.099480314
Pipa,-4.742351218,-0.295768353,-0.438303793,0.536821943
Pipa,-2.573428088,-1.956361339,-0.834027662,0.332846429
Pipa,-3.103909145,-2.096404497,-1.705068316,0.31653873
Pipa,-3.113357393,-1.021035729,-0.815232246,0.275495916
Pipa,-2.090211965,-1.134753857,-0.17794504,0.156724551
Pipa,-0.778308655,1.432158207,0.639732931,-0.925529992
Pipa,-3.313211038,-1.01343771,-1.388220146,0.523861891
Pipa,-2.498677207,-1.282079301,-0.864853204,0.502569217
Pipa,-0.986709275,0.469893336,1.795878624,0.194265809
Pipa,0.80826784,-2.399163108,0.984561207,0.579410361
Pipa,-2.259146381,-0.288038388,0.352018459,0.734368705
Pipa,2.699747008,0.044981027,1.496374557,-0.738357865
Pipa,2.275461688,0.002501358,0.007898427,-0.888744883
Pipa,-1.536366755,0.15521896,-0.283238943,0.601852408
Pipa,9.558178942,-2.046155181,1.167006725,-1.874393777
Pipa,2.686376095,-2.240548074,0.59365641,0.700835622
Pipa,5.348457863,-3.222001531,0.113977581,0.276597489
Pipa,3.052437434,-1.476227474,0.038958416,0.819676907
Pipa,5.867485606,-3.974582582,-0.992996345,0.538972585
Pipa,9.383876443,1.458352152,-1.47078417,-2.530218587
Pipa,10.84928852,0.495440356,-0.85689503,-2.361374138
Pipa,5.14743665,-3.107436717,-1.766572148,0.805745946
Pipa,4.504741321,1.134668227,-0.156437394,-0.152875167
Pipa,9.9603074,-2.688115812,-0.056824358,-0.489324561
Pipa,12.41323521,-1.811570523,-0.998910551,-1.923649183
Pipa,11.15436431,0.083053853,0.649693297,-1.526474298
Pipa,8.184629746,1.910023991,-1.566778576,-1.516026798
Pipa,8.879581716,-2.504223417,0.447253028,0.643866319
Pipa,10.15138873,-0.707521139,1.22605922,-0.254926626
Pipa,12.91990322,1.134118273,-1.002595613,-2.419826033
Pipa,6.421790622,1.581217965,1.372304371,0.393443352
Pipa,8.952111405,-0.444930551,0.199111846,-0.013764495
Pipa,8.567982323,-0.3153837,1.280265298,0.83874338
