speciesID,PC1,PC2,PC3,PC4
Pipa,-2.085716474,0.416760879,-0.410869995,0.192150007
Pipa,-1.510843864,0.166507485,0.14301163,0.109944736
Pipa,-1.027301955,0.650762103,0.179705611,0.040610927
Pipa,-1.817868786,0.140044065,-0.195211848,0.07160659
Pipa,-0.776232158,0.508017963,0.266773363,0.263970806
Pipa,-0.72570855,0.458506736,0.52684565,-0.10635639
Pipa,-1.880842205,0.27107877,-0.467913018,0.215909259
Pipa,-1.886186758,-0.175843664,-0.167783386,0.010031727
Pipa,-0.572601526,0.810925703,0.374888632,-0.276025522
Pipa,-0.444182906,0.577081126,0.515379115,-0.089735999
Pipa,-1.654001079,0.288667239,-0.407145422,0.131222425
Pipa,-1.521266581,0.415621916,-0.429255811,0.218937883
Pipa,-0.901748893,0.471512524,0.208204391,-0.176337902
Pipa,-0.469480046,0.608350442,0.318552589,0.078575182
Pipa,-0.637496123,0.859349077,-0.183457781,0.373403713
Pipa,-1.265622064,0.339976319,-0.345293413,0.239295043
Pipa,-0.932081735,0.790225661,-0.297875786,0.109375717
Pipa,-0.464877115,1.071014624,-0.11411542,0.106745537
Pipa,0.663039641,1.856705938,0.022153108,0.291653237
Pipa,-1.13584792,0.337059965,-0.304343695,0.075971092
Pipa,-1.1567966,0.298776047,-0.348506485,0.037154397
Pipa,0.049081132,0.749657326,0.381746487,-0.145322009
Pipa,0.875717707,1.636052137,0.306318957,0.170106094
Pipa,-1.255239485,0.064447037,-0.305485823,-0.054669194
Pipa,-0.673794175,0.737930758,-0.291487395,-0.019857654
Pipa,-0.683762323,0.869438511,-0.461149322,0.14009825
Pipa,-0.786895102,0.400648965,-0.276673721,0.040676373
Pipa,-0.62246174,0.400955247,-0.103421287,-0.055220884
Pipa,-0.362277925,-0.476450045,0.414207891,0.203216162
Pipa,-0.715014174,0.421712889,-0.471101874,0.081148822
Pipa,-0.588796574,0.476684653,-0.353398975,-0.02643519
Pipa,-0.554813814,-0.365055937,0.276894582,-0.353823294
Pipa,-0.010653054,0.716283575,0.017778234,-0.457389218
Pipa,-0.651070548,-0.023419681,-0.190947846,-0.263760844
Pipa,0.438045038,-0.05815755,0.558044978,-0.088849911
Pipa,0.558340225,0.111457123,0.312129117,0.224555397
Pipa,-0.318707452,-0.106531313,-0.265953515,-0.093285756
Pipa,2.23865084,0.894713121,0.934286507,0.138569938
Pipa,0.626530476,0.689756572,-0.079916863,-0.418897566
Pipa,1.379785167,1.152141836,-0.007606927,-0.278814963
Pipa,0.888027354,0.451872545,-0.224971873,-0.312605754
Pipa,1.712836925,1.500744979,-0.302041053,-0.184878836
Pipa,2.779983434,-0.057097118,0.622122492,0.971635785
