transectID,easting,northing
OS01,403835.042,3285052.236
OS01,403843.334,3285057.825
OS01,403851.626,3285063.415
OS01,403859.919,3285069.004
OS01,403868.211,3285074.593
OS01,403876.802,3285080.384
OS01,403885.546,3285085.235
OS01,403894.291,3285090.087
OS01,403903.035,3285094.938
OS01,403911.779,3285099.790
OS01,403919.409,3285104.023
OS01,403928.093,3285108.982
OS01,403936.777,3285113.941
OS01,403945.461,3285118.900
OS01,403954.144,3285123.859
OS01,403963.862,3285129.408
OS01,403972.476,3285134.487
OS01,403981.090,3285139.566
OS01,403989.704,3285144.646
OS01,403998.318,3285149.725
OS01,404007.080,3285154.891
OS01,404015.847,3285159.701
OS01,404024.615,3285164.510
OS01,404033.382,3285169.320
OS01,404042.150,3285174.130
OS01,404050.904,3285178.932
OS01,404059.277,3285184.399
OS01,404067.650,3285189.866
OS01,404076.024,3285195.333
OS01,404084.397,3285200.801
OS01,404092.671,3285206.203
OS01,404101.277,3285211.296
OS01,404109.883,3285216.388
OS01,404118.489,3285221.481
OS01,404127.095,3285226.573
OS01,404135.617,3285231.616
OS01,404144.108,3285236.898
OS01,404152.600,3285242.179
OS01,404161.091,3285247.461
OS01,404169.583,3285252.743
OS01,404178.335,3285258.187
OS01,404187.310,3285262.596
OS01,404196.286,3285267.005
OS01,404205.261,3285271.415
OS01,404214.237,3285275.824
OS01,404223.664,3285280.455
OS01,404232.446,3285285.237
OS01,404241.229,3285290.020
OS01,404250.011,3285294.802
OS01,404258.793,3285299.585
OS01,404266.960,3285304.032
