mortonOrder,plotID,siteID,nlcdClass,plotType,subtype,applicableModules
122,BONA_001,BONA,deciduousForest,distributed,basePlot,
122,BONA_001,BONA,deciduousForest,distributed,birdGrid,brd
154,BONA_002,BONA,deciduousForest,distributed,basePlot,
154,BONA_002,BONA,deciduousForest,distributed,birdGrid,brd
154,BONA_002,BONA,deciduousForest,distributed,tickPlot,tck
393,BONA_003,BONA,shrubScrub,distributed,basePlot,
393,BONA_003,BONA,shrubScrub,distributed,birdGrid,brd
473,BONA_004,BONA,woodyWetlands,distributed,basePlot,
576,BONA_005,BONA,shrubScrub,distributed,basePlot,
153,BONA_070,BONA,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
409,BONA_071,BONA,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
665,BONA_072,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
1689,BONA_073,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
2713,BONA_074,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
3481,BONA_075,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
3737,BONA_076,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
6809,BONA_077,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
7577,BONA_078,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
8256,BONA_079,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
10393,BONA_080,BONA,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
10905,BONA_081,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
13721,BONA_082,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
15001,BONA_083,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
27033,BONA_084,BONA,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst
28825,BONA_085,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
30873,BONA_086,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
32832,BONA_087,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
44441,BONA_088,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
84377,BONA_089,BONA,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
27,CLBJ_061,CLBJ,deciduousForest,distributed,birdGrid,brd
160,CLBJ_031,CLBJ,grasslandHerbaceous,distributed,basePlot,bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
160,CLBJ_031,CLBJ,grasslandHerbaceous,distributed,birdGrid,brd
240,CLBJ_032,CLBJ,grasslandHerbaceous,distributed,basePlot,bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
240,CLBJ_032,CLBJ,grasslandHerbaceous,distributed,tickPlot,tck
288,CLBJ_033,CLBJ,deciduousForest,distributed,basePlot,bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
288,CLBJ_033,CLBJ,deciduousForest,distributed,mammalGrid,mam
288,CLBJ_033,CLBJ,deciduousForest,distributed,tickPlot,tck
328,CLBJ_034,CLBJ,grasslandHerbaceous,distributed,basePlot,bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
328,CLBJ_034,CLBJ,grasslandHerbaceous,distributed,birdGrid,brd
328,CLBJ_034,CLBJ,grasslandHerbaceous,distributed,mammalGrid,mam
328,CLBJ_034,CLBJ,grasslandHerbaceous,distributed,tickPlot,tck
480,CLBJ_062,CLBJ,deciduousForest,distributed,birdGrid,brd
584,CLBJ_035,CLBJ,grasslandHerbaceous,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
608,CLBJ_036,CLBJ,grasslandHerbaceous,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
608,CLBJ_036,CLBJ,grasslandHerbaceous,distributed,birdGrid,brd
608,CLBJ_036,CLBJ,grasslandHerbaceous,distributed,tickPlot,tck
680,CLBJ_063,CLBJ,deciduousForest,distributed,birdGrid,brd
696,CLBJ_037,CLBJ,grasslandHerbaceous,distributed,basePlot,cdw|dhp|div|hbp|vst
696,CLBJ_037,CLBJ,grasslandHerbaceous,distributed,mammalGrid,mam
752,CLBJ_038,CLBJ,deciduousForest,distributed,basePlot,bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
752,CLBJ_038,CLBJ,deciduousForest,distributed,birdGrid,brd
875,CLBJ_064,CLBJ,deciduousForest,distributed,birdGrid,brd
952,CLBJ_039,CLBJ,grasslandHerbaceous,distributed,basePlot,cdw|dhp|div|hbp|vst
952,CLBJ_039,CLBJ,grasslandHerbaceous,distributed,mammalGrid,mam
987,CLBJ_040,CLBJ,deciduousForest,distributed,basePlot,bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst
987,CLBJ_040,CLBJ,deciduousForest,distributed,mammalGrid,mam
987,CLBJ_040,CLBJ,deciduousForest,distributed,tickPlot,tck
1035,CLBJ_041,CLBJ,grasslandHerbaceous,distributed,basePlot,cdw|dhp|div|hbp|vst
1035,CLBJ_041,CLBJ,grasslandHerbaceous,distributed,mammalGrid,mam
1184,CLBJ_042,CLBJ,deciduousForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
1184,CLBJ_042,CLBJ,deciduousForest,distributed,mammalGrid,mam
1264,CLBJ_043,CLBJ,deciduousForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
1264,CLBJ_043,CLBJ,deciduousForest,distributed,tickPlot,tck
1328,CLBJ_065,CLBJ,grasslandHerbaceous,distributed,birdGrid,brd
1451,CLBJ_044,CLBJ,grasslandHerbaceous,distributed,basePlot,cdw|dhp|div|hbp|vst
1472,CLBJ_045,CLBJ,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
1520,CLBJ_046,CLBJ,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
1568,CLBJ_047,CLBJ,grasslandHerbaceous,distributed,basePlot,cdw|dhp|div|hbp|vst
1872,CLBJ_048,CLBJ,grasslandHerbaceous,distributed,basePlot,div
1899,CLBJ_049,CLBJ,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
1947,CLBJ_050,CLBJ,grasslandHerbaceous,distributed,basePlot,div
1976,CLBJ_066,CLBJ,deciduousForest,distributed,mosquitoPoint,mpt|mos
2128,CLBJ_067,CLBJ,grasslandHerbaceous,distributed,mosquitoPoint,mpt|mos
2208,CLBJ_051,CLBJ,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
2224,CLBJ_068,CLBJ,deciduousForest,distributed,mosquitoPoint,mpt|mos
2667,CLBJ_053,CLBJ,deciduousForest,distributed,basePlot,div
2272,CLBJ_052,CLBJ,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
2352,CLBJ_054,CLBJ,deciduousForest,distributed,basePlot,div
2376,CLBJ_055,CLBJ,grasslandHerbaceous,distributed,basePlot,div
2427,CLBJ_056,CLBJ,deciduousForest,distributed,basePlot,div
2459,CLBJ_057,CLBJ,deciduousForest,distributed,basePlot,div
2459,CLBJ_057,CLBJ,deciduousForest,distributed,mammalGrid,mam
2512,CLBJ_058,CLBJ,deciduousForest,distributed,basePlot,div
3483,CLBJ_059,CLBJ,grasslandHerbaceous,distributed,basePlot,div
3739,CLBJ_060,CLBJ,grasslandHerbaceous,distributed,basePlot,div
3867,CLBJ_069,CLBJ,deciduousForest,distributed,mosquitoPoint,mpt|mos
4459,CLBJ_070,CLBJ,grasslandHerbaceous,distributed,mosquitoPoint,mpt|mos
4688,CLBJ_001,CLBJ,,tower,basePlot,bbc|bgc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
5816,CLBJ_071,CLBJ,grasslandHerbaceous,distributed,mosquitoPoint,mpt|mos
6059,CLBJ_072,CLBJ,grasslandHerbaceous,distributed,mosquitoPoint,mpt|mos
6560,CLBJ_073,CLBJ,deciduousForest,distributed,mosquitoPoint,mpt|mos
6880,CLBJ_074,CLBJ,deciduousForest,distributed,mosquitoPoint,mpt|mos
7840,CLBJ_075,CLBJ,grasslandHerbaceous,distributed,mosquitoPoint,mpt|mos
8384,CLBJ_002,CLBJ,,tower,basePlot,bbc|bgc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
19,BART_001,BART,mixedForest,distributed,mammalGrid,mam
19,BART_001,BART,mixedForest,distributed,tickPlot,
36,BART_002,BART,deciduousForest,distributed,basePlot,bet|bgc|cfc|cdw|dhp|div|hbp|sme|vst
36,BART_002,BART,deciduousForest,distributed,tickPlot,tck
38,BART_003,BART,deciduousForest,distributed,birdGrid,brd
38,BART_003,BART,deciduousForest,distributed,tickPlot,
38,BART_003,BART,deciduousForest,distributed,basePlot,bgc|cfc|cdw|dhp|div|hbp|sme|vst
57,BART_004,BART,mixedForest,distributed,birdGrid,brd
79,BART_006,BART,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
103,BART_009,BART,deciduousForest,distributed,basePlot,
87,BART_007,BART,mixedForest,distributed,mammalGrid,mam
118,BART_010,BART,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
163,BART_012,BART,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
103,BART_009,BART,deciduousForest,distributed,birdGrid,brd
118,BART_010,BART,deciduousForest,distributed,tickPlot,tck
164,BART_013,BART,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
151,BART_011,BART,mixedForest,distributed,tickPlot,tck
179,BART_014,BART,deciduousForest,distributed,basePlot,
163,BART_012,BART,deciduousForest,distributed,birdGrid,brd
163,BART_012,BART,deciduousForest,distributed,mammalGrid,mam
211,BART_017,BART,deciduousForest,distributed,basePlot,
307,BART_062,BART,deciduousForest,distributed,basePlot,div
359,BART_064,BART,deciduousForest,distributed,basePlot,
198,BART_015,BART,mixedForest,distributed,birdGrid,brd
198,BART_015,BART,mixedForest,distributed,mammalGrid,mam
198,BART_015,BART,mixedForest,distributed,tickPlot,tck
406,BART_065,BART,deciduousForest,distributed,basePlot,
199,BART_016,BART,mixedForest,distributed,birdGrid,brd
739,BART_079,BART,deciduousForest,distributed,basePlot,bet|div
931,BART_080,BART,deciduousForest,distributed,basePlot,bet|div
214,BART_018,BART,mixedForest,distributed,birdGrid,brd
283,BART_019,BART,mixedForest,distributed,tickPlot,tck
307,BART_062,BART,deciduousForest,distributed,mammalGrid,mam
374,BART_023,BART,evergreenForest,distributed,basePlot,bgc|cfc|cdw|dhp|div|hbp|sme|vst
315,BART_022,BART,mixedForest,distributed,birdGrid,
550,BART_024,BART,evergreenForest,distributed,basePlot,bgc|cfc|cdw|dhp|div|hbp|sme|vst
591,BART_025,BART,evergreenForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
1359,BART_026,BART,evergreenForest,distributed,basePlot,cdw|dhp|div|hbp|vst
591,BART_025,BART,evergreenForest,distributed,birdGrid,brd
4070,BART_027,BART,evergreenForest,distributed,basePlot,cdw|dhp|div|hbp|vst
4467,BART_028,BART,evergreenForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
5255,BART_029,BART,evergreenForest,distributed,basePlot,div
14707,BART_030,BART,evergreenForest,distributed,basePlot,div
5255,BART_029,BART,evergreenForest,distributed,tickPlot,tck
17459,BART_031,BART,evergreenForest,distributed,basePlot,bet|div
21671,BART_069,BART,evergreenForest,distributed,basePlot,
75,BART_032,BART,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
267,BART_033,BART,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
331,BART_034,BART,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
651,BART_036,BART,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
779,BART_037,BART,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
1163,BART_039,BART,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
2043,BART_040,BART,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
