"","siteID","measuredBy","plotID","boutNumber","recordedBy","date","subplot","taxonID","taxonIDRemarks","identificationQualifier","morphospeciesID","morphoSpeciesRemarks","percentCover","remarks","moss","photoID"
"1:1","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.1.1","BETUL",NA,NA,NA,NA,4,"BENA/BEGL",NA,NA
"1:2","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.1.1","CABI5",NA,NA,NA,NA,6,"",NA,NA
"1:3","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.1.1","EMNI",NA,NA,NA,NA,0.5,"",NA,NA
"1:4","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.1.1","ERVA4",NA,NA,NA,NA,2,"",NA,NA
"1:5","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.1.1","LEPA11",NA,NA,NA,NA,3,"",NA,NA
"1:6","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.1.1","LEPA11",NA,NA,NA,NA,5,"",NA,NA
"1:7","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.1.1","RUCH",NA,NA,NA,NA,0.5,"",NA,NA
"1:8","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.1.1","VAUL",NA,NA,NA,NA,5,"",NA,NA
"1:9","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.1.1","VAVI",NA,NA,NA,NA,8,"",NA,NA
"1:10","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.1.10","ARAL13",NA,NA,NA,NA,NA,"",NA,NA
"1:11","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.4.1","BETUL",NA,NA,NA,NA,5,"BENA/BEGL",NA,NA
"1:12","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.4.1","CABI5",NA,NA,NA,NA,3,"",NA,NA
"1:13","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.4.1","ERVA4",NA,NA,NA,NA,4,"",NA,NA
"1:14","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.4.1","LEPA11",NA,NA,NA,NA,3,"",NA,NA
"1:15","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.4.1","RUCH",NA,NA,NA,NA,2,"",NA,NA
"1:16","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.4.1","VAUL",NA,NA,NA,NA,4,"",NA,NA
"1:17","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.4.1","VAVI",NA,NA,NA,NA,2,"",NA,NA
"1:18","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"31.4.10","ANPO",NA,NA,NA,NA,NA,"",NA,NA
"1:19","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.100","PIGL",NA,NA,NA,NA,NA,"",NA,NA
"1:20","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.2.1","BETUL",NA,NA,NA,NA,6,"BENA/BEGL",NA,NA
"1:21","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.2.1","CABI5",NA,NA,NA,NA,0.5,"",NA,NA
"1:22","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.2.1","EMNI",NA,NA,NA,NA,6,"",NA,NA
"1:23","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.2.1","ERVA4",NA,NA,NA,NA,4,"",NA,NA
"1:24","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.2.1","LEPA11",NA,NA,NA,NA,3,"",NA,NA
"1:25","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.2.1","RUCH",NA,NA,NA,NA,3,"",NA,NA
"1:26","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.2.1","VAUL",NA,NA,NA,NA,8,"",NA,NA
"1:27","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.2.1","VAVI",NA,NA,NA,NA,4,"",NA,NA
"1:28","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.2.10","PIMA",NA,NA,NA,NA,NA,"",NA,NA
"1:29","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.4.1","CABI5",NA,NA,NA,NA,2,"",NA,NA
"1:30","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.4.1","ERVA4",NA,NA,NA,NA,7,"",NA,NA
"1:31","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.4.1","LEPA11",NA,NA,NA,NA,5,"",NA,NA
