siteid,taxonid,decayClass,sizeCategory,relativeAbundance,cumulativeAbundance,sampledDiskNum,cumulativeDiskNum,comments
BLAN,2PLANT-H,4,>=10cm,23.08,23.08,10,10,
BLAN,2PLANT-H,3,>=10cm,22.53,45.61,10,20,
BLAN,QUERC,3,>=10cm,5.49,51.1,10,30,
BLAN,ROPS,3,>=10cm,4.4,55.5,10,40,
BLAN,LITU,3,>=10cm,3.3,58.8,10,50,
BLAN,QUVE,3,>=10cm,3.3,62.1,10,60,
BLAN,QUAL,3,>=10cm,2.75,64.85,10,70,
BLAN,QUERC,4,>=10cm,2.75,67.6,10,80,
BLAN,FRAM2,3,>=10cm,2.2,69.8,10,90,
BLAN,JUNI,3,>=10cm,2.2,72,10,100,
BLAN,QURU,3,>=10cm,2.2,74.2,10,110,
BLAN,SAAL5,3,>=10cm,2.2,76.4,10,120,
BLAN,LITU,4,>=10cm,2.2,78.6,10,130,
BLAN,PIVI2,1,>=10cm,1.65,80.25,10,140,"Slash pile from 2015, ignored with current guidance."
BLAN,2PLANT-H,5,>=10cm,1.65,81.9,10,150,
BLAN,ACNE2,2,>=10cm,1.1,83,10,160,
BLAN,CEOC,2,>=10cm,1.1,84.1,10,170,
BLAN,FRAM2,2,>=10cm,1.1,85.2,10,180,
BLAN,ULMUS,3,>=10cm,1.1,86.3,10,190,
BLAN,QUAL,4,>=10cm,1.1,87.4,10,200,
BLAN,2PLANT-H,3,2-5cm,1.1,88.5,5,205,
BLAN,2PLANT-H,3,5-10cm,1.1,89.6,5,210,
BLAN,ASTR,3,5-10cm,1.1,90.7,5,215,
BLAN,QUVE,1,>=10cm,0.55,91.25,10,225,
BLAN,2PLANT-H,2,>=10cm,0.55,91.8,10,235,
BLAN,PRSE2,2,>=10cm,0.55,92.35,10,245,
BLAN,ROPS,2,>=10cm,0.55,92.9,10,255,
BLAN,CARYA,3,>=10cm,0.55,93.45,10,265,
BLAN,PIVI2,3,>=10cm,0.55,94,10,275,
BLAN,PRSE2,3,>=10cm,0.55,94.55,10,285,
BLAN,ACNE2,5,>=10cm,0.55,95.1,10,295,
BLAN,CEOR7,1,2-5cm,0.55,95.65,5,300,
BLAN,LITU,1,2-5cm,0.55,96.2,5,305,
BLAN,ASTR,2,2-5cm,0.55,96.75,5,310,
BLAN,LIBE3,2,2-5cm,0.55,97.3,5,315,
BLAN,ULMUS,2,2-5cm,0.55,97.85,5,320,
BLAN,2PLANT-H,4,2-5cm,0.55,98.4,5,325,
BLAN,CARYA,3,5-10cm,0.55,98.95,5,330,
BLAN,PIVI2,3,5-10cm,0.55,99.5,5,335,
BLAN,SAAL5,3,5-10cm,0.55,100.05,5,340,
