"siteid","taxonid","decayClass","sizeCategory","relativeAbundance","cumulativeAbundance","sampledDiskNum","cumulativeDiskNum"
"SERC","LITU","3",">=10cm",14.25,14.25,10,10
"SERC","2PLANT-H","3",">=10cm",12.32,26.57,10,20
"SERC","2PLANT-H","4",">=10cm",12.32,38.89,10,30
"SERC","LITU","4",">=10cm",4.83,43.72,10,40
"SERC","QUERC","3",">=10cm",3.62,47.34,10,50
"SERC","LITU","2",">=10cm",3.38,50.72,10,60
"SERC","LIST2","3",">=10cm",2.9,53.62,10,70
"SERC","QUAL","3",">=10cm",2.66,56.28,10,80
"SERC","QUAL","1",">=10cm",2.42,58.7,10,90
"SERC","2PLANT-H","","5-10cm",2.42,61.12,5,95
"SERC","QUVE","2",">=10cm",1.93,63.05,10,105
"SERC","PIVI2","3",">=10cm",1.93,64.98,10,115
"SERC","PIST","3",">=10cm",1.69,66.67,10,125
"SERC","2PLANT-H","5",">=10cm",1.69,68.36,10,135
"SERC","LITU","","5-10cm",1.69,70.05,5,140
"SERC","FAGR","2",">=10cm",1.45,71.5,10,150
"SERC","PRSE2","3",">=10cm",1.45,72.95,10,160
"SERC","2PLANT-S","4",">=10cm",1.45,74.4,10,170
"SERC","LIST2","2",">=10cm",1.21,75.61,10,180
"SERC","QURU","2",">=10cm",1.21,76.82,10,190
"SERC","2PLANT-S","3",">=10cm",1.21,78.03,10,200
"SERC","LIST2","","5-10cm",1.21,79.24,5,205
"SERC","CARYA","3",">=10cm",0.97,80.21,10,215
"SERC","FAGR","3",">=10cm",0.97,81.18,10,225
"SERC","2PLANT-S","5",">=10cm",0.97,82.15,10,235
"SERC","LIST2","1",">=10cm",0.72,82.87,10,245
"SERC","LITU","1",">=10cm",0.72,83.59,10,255
"SERC","QURU","1",">=10cm",0.72,84.31,10,265
"SERC","ACRU","2",">=10cm",0.72,85.03,10,275
"SERC","LITU","","2-5cm",0.72,85.75,5,280
"SERC","ACRU","","5-10cm",0.72,86.47,5,285
"SERC","JUVI","2",">=10cm",0.48,86.95,10,295
"SERC","PIST","2",">=10cm",0.48,87.43,10,305
"SERC","QUAL","2",">=10cm",0.48,87.91,10,315
"SERC","QUPH","2",">=10cm",0.48,88.39,10,325
"SERC","ACRU","3",">=10cm",0.48,88.87,10,335
"SERC","AIAL","3",">=10cm",0.48,89.35,10,345
"SERC","CACA18","3",">=10cm",0.48,89.83,10,355
"SERC","COFL2","3",">=10cm",0.48,90.31,10,365
"SERC","JUVI","3",">=10cm",0.48,90.79,10,375
"SERC","PINUS","3",">=10cm",0.48,91.27,10,385
"SERC","SAAL5","3",">=10cm",0.48,91.75,10,395
"SERC","ACRU","","2-5cm",0.48,92.23,5,400
"SERC","PRSE2","","5-10cm",0.48,92.71,5,405
"SERC","ACRU","1",">=10cm",0.24,92.95,10,415
"SERC","PIVI2","1",">=10cm",0.24,93.19,10,425
"SERC","QUVE","1",">=10cm",0.24,93.43,10,435
"SERC","SAAL5","1",">=10cm",0.24,93.67,10,445
"SERC","2PLANT-H","2",">=10cm",0.24,93.91,10,455
"SERC","CAGL8","2",">=10cm",0.24,94.15,10,465
"SERC","PIEC2","2",">=10cm",0.24,94.39,10,475
"SERC","PIVI2","2",">=10cm",0.24,94.63,10,485
"SERC","PRSE2","2",">=10cm",0.24,94.87,10,495
"SERC","QUERC","2",">=10cm",0.24,95.11,10,505
"SERC","ULMUS","2",">=10cm",0.24,95.35,10,515
"SERC","CATO6","3",">=10cm",0.24,95.59,10,525
"SERC","PLOC","3",">=10cm",0.24,95.83,10,535
"SERC","QUERCSPP","3",">=10cm",0.24,96.07,10,545
"SERC","QUFA","3",">=10cm",0.24,96.31,10,555
"SERC","QURU","3",">=10cm",0.24,96.55,10,565
"SERC","QUVE","3",">=10cm",0.24,96.79,10,575
"SERC","ROPS","3",">=10cm",0.24,97.03,10,585
"SERC","JUVI","4",">=10cm",0.24,97.27,10,595
"SERC","LIST2","4",">=10cm",0.24,97.51,10,605
"SERC","PIST","4",">=10cm",0.24,97.75,10,615
"SERC","PIVI2","4",">=10cm",0.24,97.99,10,625
"SERC","QUAL","4",">=10cm",0.24,98.23,10,635
"SERC","QUERC","4",">=10cm",0.24,98.47,10,645
"SERC","2PLANT-H","","2-5cm",0.24,98.71,5,650
"SERC","COFL2","","2-5cm",0.24,98.95,5,655
"SERC","LIST2","","2-5cm",0.24,99.19,5,660
"SERC","CARYA","","5-10cm",0.24,99.43,5,665
"SERC","COFL2","","5-10cm",0.24,99.67,5,670
"SERC","PIST","","5-10cm",0.24,99.91,5,675
