"","domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","diameterClass","decayClassNum"
"1","D04","GUAN","GUAN_015","2018-12-03T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",310,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","D04","GUAN","GUAN_015","2018-12-03T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",70,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","D04","GUAN","GUAN_016","2018-12-03T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",70,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","D04","GUAN","GUAN_016","2018-12-03T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",190,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","D04","GUAN","GUAN_061","2018-12-11T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",290,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","D04","GUAN","GUAN_049","2018-12-11T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",100,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","D04","GUAN","GUAN_049","2018-12-11T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",220,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","D04","GUAN","GUAN_049","2018-12-11T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",340,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","D04","GUAN","GUAN_057","2018-12-11T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",220,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","D04","GUAN","GUAN_056","2018-12-03T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",70,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","D04","GUAN","GUAN_057","2018-12-11T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",340,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","D04","GUAN","GUAN_015","2018-12-03T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",190,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","D04","GUAN","GUAN_057","2018-12-11T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",100,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","D04","GUAN","GUAN_010","2018-12-05T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",200,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","D04","GUAN","GUAN_010","2018-12-05T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",80,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","D04","GUAN","GUAN_010","2018-12-05T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",320,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","D04","GUAN","GUAN_008","2018-12-11T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",250,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","D04","GUAN","GUAN_059","2018-12-17T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",50,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","D04","GUAN","GUAN_005","2018-12-20T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",30,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","D04","GUAN","GUAN_005","2018-12-20T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",150,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","D04","GUAN","GUAN_005","2018-12-20T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",270,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","D04","GUAN","GUAN_043","2018-12-05T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",270,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","D04","GUAN","GUAN_043","2018-12-05T00:00:00.000Z",2018,"CDW.2018.GUAN","5","NEON.DOC.001711vD",30,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
