"siteid","taxonid","decayClass","sizeCategory","relativeAbundance","cumulativeAbundance","sampledDiskNum","cumulativeDiskNum"
"GUAN","2PLANT-H","4",">=10cm",9.52,9.52,10,10
"GUAN","2PLANT-H","4","2-5cm",9.52,19.04,5,15
"GUAN","TAHE","4","5-10cm",9.52,28.56,5,20
"GUAN","BUBU","4",">=10cm",4.76,33.32,10,30
"GUAN","BUSI","4",">=10cm",4.76,38.08,10,40
"GUAN","PIAL3","4",">=10cm",4.76,42.84,10,50
"GUAN","SISA6","4",">=10cm",4.76,47.6,10,60
"GUAN","VAFA","4",">=10cm",4.76,52.36,10,70
"GUAN","BOSU2","3","2-5cm",4.76,57.12,5,75
"GUAN","GYLU","4","2-5cm",4.76,61.88,5,80
"GUAN","PIAL3","4","2-5cm",4.76,66.64,5,85
"GUAN","2PLANT-H","3","5-10cm",4.76,71.4,5,90
"GUAN","CODI8","3","5-10cm",4.76,76.16,5,95
"GUAN","LELE10","3","5-10cm",4.76,80.92,5,100
"GUAN","2PLANT-H","4","5-10cm",4.76,85.68,5,105
"GUAN","CODI8","4","5-10cm",4.76,90.44,5,110
"GUAN","COEL2","4","5-10cm",4.76,95.2,5,115
"GUAN","SWMA2","4","5-10cm",4.76,99.96,5,120
