"","domainid","siteid","plotid_parent","tallydate","volumefactor_ingest","particle_count","lidsazimuth","logmaxdiameter","taxonid","decayclass","logid_ingest","logdistance","loglength","acceptedtaxonid","targettaxapresent","diameterClass","decayClassNum"
"1","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,20,21,"PINUS","4 - Rotten throughout","73",1,20.8,"PINUS","Y",">=10cm","4"
"2","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,20,13.5,"2PLANT-S","4 - Rotten throughout","74",4,5.4,"2PLANT-S","Y",">=10cm","4"
"3","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,20,14,"2PLANT-S","4 - Rotten throughout","75",4.1,3.1,"2PLANT-S","Y",">=10cm","4"
"4","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,20,25.5,"PIVI2","4 - Rotten throughout","76",6.5,16.5,"PIVI2","Y",">=10cm","4"
"5","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,20,32,"PIVI2","3 - Heartwood sound","77",11.3,10.7,"PIVI2","Y",">=10cm","3"
"6","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,20,34.5,"2PLANT-H","4 - Rotten throughout","78",49.4,1.3,"2PLANT-H","Y",">=10cm","4"
"7","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,20,23.5,"QUMO4","3 - Heartwood sound","79",253.2,22.5,"QUMO4","Y",">=10cm","3"
"8","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,20,20,"QUMO4","3 - Heartwood sound","00079",255.7,22.5,"QUMO4","Y",">=10cm","3"
"9","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,20,35,"QUMO4","3 - Heartwood sound","79",256.1,22.5,"QUMO4","Y",">=10cm","3"
"10","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,20,20,"QUMO4","3 - Heartwood sound","79",257.5,22.5,"QUMO4","Y",">=10cm","3"
"11","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,20,17,"QUMO4","3 - Heartwood sound","79",257.5,22.5,"QUMO4","Y",">=10cm","3"
"12","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,140,39,"PINUS","4 - Rotten throughout","80",16.9,11.2,"PINUS","Y",">=10cm","4"
"13","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,140,26,"PINUS","4 - Rotten throughout","81",32,13.4,"PINUS","Y",">=10cm","4"
"14","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,140,32,"PINUS","5 - No structural integrity","82",63,6.3,"PINUS","Y",">=10cm","5"
"15","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,260,32,"QUERC","4 - Rotten throughout","83",8.2,16.1,"QUERC","Y",">=10cm","4"
"16","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,260,15.5,"2PLANT-S","5 - No structural integrity","84",19.6,12.1,"2PLANT-S","Y",">=10cm","5"
"17","D07","ORNL","ORNL_049","2017-05-12T00:00:00.000Z",5,NA,260,20,"PINUS","4 - Rotten throughout","85",24.2,10.3,"PINUS","Y",">=10cm","4"
"18","D07","ORNL","ORNL_001","2017-05-18T00:00:00.000Z",5,NA,200,23.8,"PIEC2","4 - Rotten throughout","85",40.4,2.2,"PIEC2","Y",">=10cm","4"
"19","D07","ORNL","ORNL_001","2017-05-18T00:00:00.000Z",5,NA,200,26.3,"PIEC2","5 - No structural integrity","86",42.2,16.1,"PIEC2","Y",">=10cm","5"
"20","D07","ORNL","ORNL_001","2017-05-18T00:00:00.000Z",5,NA,200,26.8,"PINUS","5 - No structural integrity","87",44.5,11.3,"PINUS","Y",">=10cm","5"
"21","D07","ORNL","ORNL_001","2017-05-18T00:00:00.000Z",5,NA,200,33.2,"PINUS","4 - Rotten throughout","88",63.6,3.1,"PINUS","Y",">=10cm","4"
"22","D07","ORNL","ORNL_001","2017-05-18T00:00:00.000Z",5,NA,200,38.56,"PINUS","5 - No structural integrity","89",101.9,4,"PINUS","Y",">=10cm","5"
"23","D07","ORNL","ORNL_001","2017-05-18T00:00:00.000Z",5,NA,80,11.1,"PINUS","4 - Rotten throughout","90",6.7,16.3,"PINUS","Y",">=10cm","4"
"24","D07","ORNL","ORNL_001","2017-05-18T00:00:00.000Z",5,NA,80,15.3,"PINUS","4 - Rotten throughout","91",16.05,16.2,"PINUS","Y",">=10cm","4"
"25","D07","ORNL","ORNL_001","2017-05-18T00:00:00.000Z",5,NA,80,27.4,"PINUS","4 - Rotten throughout","92",31.2,2.1,"PINUS","Y",">=10cm","4"
"26","D07","ORNL","ORNL_001","2017-05-18T00:00:00.000Z",5,NA,80,28.3,"PIEC2","4 - Rotten throughout","93",41.9,17.3,"PIEC2","Y",">=10cm","4"
