"siteid","taxonid","decayClass","sizeCategory","relativeAbundance","cumulativeAbundance","sampledDiskNum","cumulativeDiskNum"
"GRSM","PINUS","4",">=10cm",7.73,7.73,10,10
"GRSM","TSCA","3",">=10cm",5.15,12.88,10,20
"GRSM","2PLANT-H","4",">=10cm",4.64,17.52,10,30
"GRSM","2PLANT-H","5",">=10cm",4.64,22.16,10,40
"GRSM","PIRU","3",">=10cm",4.12,26.28,10,50
"GRSM","TSCA","4",">=10cm",4.12,30.4,10,60
"GRSM","TSCA","2",">=10cm",3.87,34.27,10,70
"GRSM","PINUS","5",">=10cm",3.61,37.88,10,80
"GRSM","TSCA","5",">=10cm",3.61,41.49,10,90
"GRSM","LITU","3",">=10cm",3.09,44.58,10,100
"GRSM","2PLANT-H","3",">=10cm",2.84,47.42,10,110
"GRSM","LITU","4",">=10cm",2.84,50.26,10,120
"GRSM","LITU","2",">=10cm",2.58,52.84,10,130
"GRSM","PINUS","3",">=10cm",2.32,55.16,10,140
"GRSM","ACRUR","3",">=10cm",2.06,57.22,10,150
"GRSM","ACRUR","4",">=10cm",2.06,59.28,10,160
"GRSM","2PLANT-H","","5-10cm",2.06,61.34,5,165
"GRSM","ACRUR","2",">=10cm",1.55,62.89,10,175
"GRSM","PIRU","4",">=10cm",1.55,64.44,10,185
"GRSM","PIPU5","4",">=10cm",1.29,65.73,10,195
"GRSM","QUERC","4",">=10cm",1.29,67.02,10,205
"GRSM","PIRU","5",">=10cm",1.29,68.31,10,215
"GRSM","QUCO2","","5-10cm",1.29,69.6,5,220
"GRSM","QUMO4","2",">=10cm",1.03,70.63,10,230
"GRSM","QUERC","3",">=10cm",1.03,71.66,10,240
"GRSM","ABFR","4",">=10cm",1.03,72.69,10,250
"GRSM","2PLANT-H","2",">=10cm",0.77,73.46,10,260
"GRSM","PINUS","2",">=10cm",0.77,74.23,10,270
"GRSM","PIRI","2",">=10cm",0.77,75,10,280
"GRSM","PIVI2","2",">=10cm",0.77,75.77,10,290
"GRSM","ROPS","2",">=10cm",0.77,76.54,10,300
"GRSM","PIVI2","3",">=10cm",0.77,77.31,10,310
"GRSM","QURU","3",">=10cm",0.77,78.08,10,320
"GRSM","QUMO4","4",">=10cm",0.77,78.85,10,330
"GRSM","2PLANT-S","5",">=10cm",0.77,79.62,10,340
"GRSM","ACRUR","5",">=10cm",0.77,80.39,10,350
"GRSM","TSCA","","5-10cm",0.77,81.16,5,355
"GRSM","FRPE","2",">=10cm",0.52,81.68,10,365
"GRSM","PIPU5","2",">=10cm",0.52,82.2,10,375
"GRSM","PIRU","2",">=10cm",0.52,82.72,10,385
"GRSM","QUERC","2",">=10cm",0.52,83.24,10,395
"GRSM","ACER","3",">=10cm",0.52,83.76,10,405
"GRSM","ROPS","3",">=10cm",0.52,84.28,10,415
"GRSM","CACA18","4",">=10cm",0.52,84.8,10,425
"GRSM","HATE3","4",">=10cm",0.52,85.32,10,435
"GRSM","OXAR","4",">=10cm",0.52,85.84,10,445
"GRSM","PIPU5","5",">=10cm",0.52,86.36,10,455
"GRSM","QUERC","5",">=10cm",0.52,86.88,10,465
"GRSM","COFL2","","5-10cm",0.52,87.4,5,470
"GRSM","LITU","","5-10cm",0.52,87.92,5,475
"GRSM","QUMO4","","5-10cm",0.52,88.44,5,480
"GRSM","RHMA4","","5-10cm",0.52,88.96,5,485
"GRSM","VITIS","","5-10cm",0.52,89.48,5,490
"GRSM","HATE3","1",">=10cm",0.26,89.74,10,500
"GRSM","LITU","1",">=10cm",0.26,90,10,510
"GRSM","PIRU","1",">=10cm",0.26,90.26,10,520
"GRSM","QURU","1",">=10cm",0.26,90.52,10,530
"GRSM","ROPS","1",">=10cm",0.26,90.78,10,540
"GRSM","TSCA","1",">=10cm",0.26,91.04,10,550
"GRSM","ACNE2","2",">=10cm",0.26,91.3,10,560
"GRSM","ACRU","2",">=10cm",0.26,91.56,10,570
"GRSM","BEAL2","2",">=10cm",0.26,91.82,10,580
"GRSM","CACA18","2",">=10cm",0.26,92.08,10,590
"GRSM","HATE3","2",">=10cm",0.26,92.34,10,600
"GRSM","JUNI","2",">=10cm",0.26,92.6,10,610
"GRSM","QUVE","2",">=10cm",0.26,92.86,10,620
"GRSM","2PLANT-S","3",">=10cm",0.26,93.12,10,630
"GRSM","ABFR","3",">=10cm",0.26,93.38,10,640
"GRSM","COFL2","3",">=10cm",0.26,93.64,10,650
"GRSM","HATE3","3",">=10cm",0.26,93.9,10,660
"GRSM","JUNI","3",">=10cm",0.26,94.16,10,670
"GRSM","PIPU5","3",">=10cm",0.26,94.42,10,680
"GRSM","QUCO2","3",">=10cm",0.26,94.68,10,690
"GRSM","QUMO4","3",">=10cm",0.26,94.94,10,700
"GRSM","SASSA","3",">=10cm",0.26,95.2,10,710
"GRSM","BEAL2","4",">=10cm",0.26,95.46,10,720
"GRSM","BELE","4",">=10cm",0.26,95.72,10,730
"GRSM","FRPE","4",">=10cm",0.26,95.98,10,740
"GRSM","MATR","4",">=10cm",0.26,96.24,10,750
"GRSM","NYSY","4",">=10cm",0.26,96.5,10,760
"GRSM","PITA","4",">=10cm",0.26,96.76,10,770
"GRSM","PIVI2","4",">=10cm",0.26,97.02,10,780
"GRSM","QUCO2","4",">=10cm",0.26,97.28,10,790
"GRSM","PLOC","5",">=10cm",0.26,97.54,10,800
"GRSM","KALA","","2-5cm",0.26,97.8,5,805
"GRSM","QUCO2","","2-5cm",0.26,98.06,5,810
"GRSM","TSCA","","2-5cm",0.26,98.32,5,815
"GRSM","ABFR","","5-10cm",0.26,98.58,5,820
"GRSM","ACER","","5-10cm",0.26,98.84,5,825
"GRSM","ACRUR","","5-10cm",0.26,99.1,5,830
"GRSM","PINUS","","5-10cm",0.26,99.36,5,835
"GRSM","PIRU","","5-10cm",0.26,99.62,5,840
"GRSM","QUERC","","5-10cm",0.26,99.88,5,845
"GRSM","ROPS","","5-10cm",0.26,100.14,5,850
