"siteid","taxonid","decayClass","sizeCategory","relativeAbundance","cumulativeAbundance","sampledDiskNum","cumulativeDiskNum"
"DELA","2PLANT-H","4",">=10cm",30.7,30.7,10,10
"DELA","2PLANT-H","3",">=10cm",28.51,59.21,10,20
"DELA","2PLANT-H","2",">=10cm",5.7,64.91,10,30
"DELA","2PLANT-H","5",">=10cm",4.39,69.3,10,40
"DELA","QUERC","3",">=10cm",3.07,72.37,10,50
"DELA","2PLANT-H",NA,"5-10cm",3.07,75.44,5,55
"DELA","QUERC","2",">=10cm",2.19,77.63,10,65
"DELA","CELA","1",">=10cm",1.32,78.95,10,75
"DELA","QUERC","1",">=10cm",1.32,80.27,10,85
"DELA","CARYA","3",">=10cm",1.32,81.59,10,95
"DELA","PINUS","3",">=10cm",1.32,82.91,10,105
"DELA","2PLANT-H","1",">=10cm",0.88,83.79,10,115
"DELA","QUPA5","1",">=10cm",0.88,84.67,10,125
"DELA","ACER","2",">=10cm",0.88,85.55,10,135
"DELA","LIST2","2",">=10cm",0.88,86.43,10,145
"DELA","PLOC","2",">=10cm",0.88,87.31,10,155
"DELA","PITA","4",">=10cm",0.88,88.19,10,165
"DELA","QUERC","4",">=10cm",0.88,89.07,10,175
"DELA","ACNE2","1",">=10cm",0.44,89.51,10,185
"DELA","CAGL8","1",">=10cm",0.44,89.95,10,195
"DELA","LIST2","1",">=10cm",0.44,90.39,10,205
"DELA","QUERCSPP","1",">=10cm",0.44,90.83,10,215
"DELA","QULY","1",">=10cm",0.44,91.27,10,225
"DELA","QUNI","1",">=10cm",0.44,91.71,10,235
"DELA","QUVE","1",">=10cm",0.44,92.15,10,245
"DELA","CARYA","2",">=10cm",0.44,92.59,10,255
"DELA","PITA","2",">=10cm",0.44,93.03,10,265
"DELA","QUNI","2",">=10cm",0.44,93.47,10,275
"DELA","ACER","3",">=10cm",0.44,93.91,10,285
"DELA","ACRU","3",">=10cm",0.44,94.35,10,295
"DELA","FRPE","3",">=10cm",0.44,94.79,10,305
"DELA","PITA","3",">=10cm",0.44,95.23,10,315
"DELA","ACRU","4",">=10cm",0.44,95.67,10,325
"DELA","CARYA","4",">=10cm",0.44,96.11,10,335
"DELA","CARYASPP","4",">=10cm",0.44,96.55,10,345
"DELA","PIPA2","4",">=10cm",0.44,96.99,10,355
"DELA","QUMI","4",">=10cm",0.44,97.43,10,365
"DELA","QUNI","4",">=10cm",0.44,97.87,10,375
"DELA","PITA","5",">=10cm",0.44,98.31,10,385
"DELA","FRAXI",NA,"2-5cm",0.44,98.75,5,390
"DELA","TORA2",NA,"2-5cm",0.44,99.19,5,395
"DELA","VITIS",NA,"2-5cm",0.44,99.63,5,400
"DELA","TORA2",NA,"5-10cm",0.44,100.07,5,405
