"siteid","taxonid","decayClass","sizeCategory","relativeAbundance","cumulativeAbundance","sampledDiskNum","cumulativeDiskNum"
"ABBY","PSMEM","4",">=10cm",36.62,36.62,10,10
"ABBY","PSMEM","3",">=10cm",20,56.62,10,20
"ABBY","2PLANT-S","5",">=10cm",7.04,63.66,10,30
"ABBY","PSMEM","5",">=10cm",6.48,70.14,10,40
"ABBY","2PLANT-S","4",">=10cm",5.63,75.77,10,50
"ABBY","PSMEM","2",">=10cm",5.07,80.84,10,60
"ABBY","THPL","4",">=10cm",3.66,84.5,10,70
"ABBY","TSHE","4",">=10cm",3.66,88.16,10,80
"ABBY","PSMEM","1",">=10cm",2.82,90.98,10,90
"ABBY","2PLANT-S","3",">=10cm",2.54,93.52,10,100
"ABBY","THPL","5",">=10cm",1.13,94.65,10,110
"ABBY","2PLANT","5",">=10cm",0.85,95.5,10,120
"ABBY","ALRU2","3",">=10cm",0.56,96.06,10,130
"ABBY","THPL","3",">=10cm",0.56,96.62,10,140
"ABBY","2PLANT","4",">=10cm",0.56,97.18,10,150
"ABBY","2PLANT-S","","5-10cm",0.56,97.74,5,155
"ABBY","PSMEM","","5-10cm",0.56,98.3,5,160
"ABBY","TSHE","","5-10cm",0.56,98.86,5,165
"ABBY","2PLANT","3",">=10cm",0.28,99.14,10,175
"ABBY","TSHE","3",">=10cm",0.28,99.42,10,185
"ABBY","ABIES","4",">=10cm",0.28,99.7,10,195
"ABBY","ACCI","","5-10cm",0.28,99.98,5,200
