"","domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","diameterClass","decayClassNum"
"1","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",280,"Y",11.8,44.8,NA,"06875",4.8,"2PLANT-H","Unknown Hardwood","5 - No structural integrity",">=10cm","5"
"2","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",280,"Y",13.4,19.7,NA,"06893",10.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"3","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",280,"Y",13.4,34.3,NA,"06892",12.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"4","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",280,"Y",16.2,34.7,NA,"06891",10.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"5","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",280,"Y",20,22.1,NA,"06864",1.3,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"6","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",280,"Y",27.4,26,NA,"06865",2.4,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"7","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",280,"Y",28.1,25.1,NA,"06866",1.2,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"8","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",280,"Y",37.3,41.3,NA,"06867",13,"2PLANT-H","Unknown plant","3 - Heartwood sound",">=10cm","3"
"9","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",280,"Y",41.4,39.9,NA,"06879",8.2,"2PLANT-H","Unknown plant","4 - Rotten throughout",">=10cm","4"
"10","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",40,"Y",0.1,7.2,NA,"L01",2.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","5-10cm","3"
"11","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",40,"Y",0.7,33,NA,"06871",12,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"12","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",40,"Y",7,24.3,NA,"06869",10.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"13","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",40,"Y",8.9,27.3,NA,"06868",8.7,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"14","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",40,"Y",16.6,34,NA,"06863",7.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"15","D20","PUUM","PUUM_042","2018-09-25T00:00:00.000Z",2018,"CDW.2018.PUUM","8","NEON.DOC.001711vD",40,"Y",17.2,22,NA,"06862",6.6,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",">=10cm","4"
