"siteID","date","plotID","subplotID","nestedSubplotID","tagID","stemDiameter","measurementHeight","canopyPosition","maxCanopyDiameter","ninetyCanopyDiameter","VD1height","VD2height","stemStatus","shrubShape","maxBaseCanopyDiameter","ninetyBaseCanopyDiameter","measuredBy","recordedBy","remarks","basalDiameter","basalDiameterHeight","growthForm","nestedSubplotArea1","nestedSubplotArea2"
"MOAB",2015-04-20,"MOAB_044",32,NA,"1",NA,NA,1,0.5,0.2,0.4,NA,1,"hsp",NA,NA,"mgaetani@neoninc.org","afoster@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-22,"MOAB_047",32,NA,"55",NA,NA,1,0.5,0.2,0.2,NA,7,"ohs",NA,NA,"mgaetani@neoninc.org","afoster@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-20,"MOAB_048",32,NA,"10",NA,NA,1,0.3,0.3,0.3,NA,1,"hsp",NA,NA,"afoster@field-ops.org","mgaetani@neoninc.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-22,"MOAB_050",30,NA,"60",NA,NA,1,0.6,0.5,0.4,NA,7,"ohs",NA,NA,"mgaetani@neoninc.org","afoster@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-22,"MOAB_050",30,NA,"61",NA,NA,1,0.9,0.5,0.5,NA,7,"ohs",NA,NA,"mgaetani@neoninc.org","afoster@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-22,"MOAB_050",40,NA,"62",NA,NA,3,0.2,0.2,0.3,NA,7,"hsp",NA,NA,"mgaetani@neoninc.org","afoster@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-22,"MOAB_050",40,NA,"63",NA,NA,3,0.1,0.1,0.4,NA,7,"cyl",NA,NA,"mgaetani@neoninc.org","afoster@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-22,"MOAB_050",41,NA,"64",NA,NA,3,0.3,0.1,0.4,NA,7,"ohs",NA,NA,"mgaetani@neoninc.org","afoster@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-24,"MOAB_051",31,NA,"94",NA,NA,1,0.4,0.2,0.5,NA,7,"icn",5,3,"mgaetani@neoninc.org","bsherman@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-24,"MOAB_051",41,NA,"95",NA,NA,1,0.8,0.6,0.8,NA,7,"hsp",NA,NA,"mgaetani@neoninc.org","bsherman@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-24,"MOAB_051",41,NA,"96",NA,NA,1,0.9,0.6,0.8,NA,7,"ohs",NA,NA,"mgaetani@neoninc.org","bsherman@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-24,"MOAB_051",41,NA,"97",NA,NA,1,0.6,0.4,0.5,NA,7,"ohs",NA,NA,"mgaetani@neoninc.org","bsherman@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-24,"MOAB_051",40,NA,"98",NA,NA,1,0.7,0.7,0.8,NA,7,"hsp",NA,NA,"mgaetani@neoninc.org","bsherman@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-24,"MOAB_051",40,NA,"99",NA,NA,1,0.4,0.4,0.6,NA,7,"hsp",NA,NA,"mgaetani@neoninc.org","bsherman@field-ops.org",NA,NA,NA,NA,NA,NA
"MOAB",2015-04-21,"MOAB_054",31,NA,"35",NA,NA,1,0.4,0.3,0.2,NA,7,"ohs",NA,NA,"afoster@field-ops.org","mgaetani@neoninc.org",NA,NA,NA,NA,NA,NA
