"siteid","eventid","date","plotid","plottype","plotsize","tagid","taxonid","growthform","stemdiameter","basalstemdiameter","plantstatus"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","00448C","PRVE","mbt",7,NA,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","00448D","PRVE","mbt",7.9,NA,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","00448E","PRVE","mbt",10,NA,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","00448F","PRVE","mbt",10.8,NA,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","00448G","PRVE","mbt",6.4,NA,"2"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","00450","PRVE","sis",6.5,14.5,"7"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","01940","EPTR","sis",1.1,4.8,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","01940","EPTR","sis",1,2.1,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","01940","EPTR","sis",1.6,5.1,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","01943","LATR2","sis",1.7,5.2,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","01943","LATR2","sis",1.9,3.3,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","01943","LATR2","sis",1.8,3.7,"7"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","01943","LATR2","sis",1.3,2.4,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","01943","LATR2","sis",2.4,5.1,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","00422","PRVE","sis",6.6,18,"7"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","00422","PRVE","sis",2.8,11,"7"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","01912","LATR2","sis",1.3,2,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","01912","LATR2","sis",1.6,2.3,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","00416","PRVE","sis",5.5,10.5,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","00416","PRVE","sis",7.7,8.6,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","00416","PRVE","sis",5.2,7.3,"1"
"SRER","vst_SRER_2016","2016-12-16T00:00:00.000Z","SRER_054","tower","1600","00416","PRVE","sis",3.3,5,"7"
