"siteid","eventid","date","plotid","plottype","plotsize","tagid","taxonid","growthform","stemdiameter","basalstemdiameter","plantstatus"
"PUUM","vst_PUUM_2018","2018-08-02T00:00:00.000Z","PUUM_033","tower","400","01457","COER3","sis",1.4,1.4,"1"
"PUUM","vst_PUUM_2018","2018-08-02T00:00:00.000Z","PUUM_033","tower","400","01411","MEPO5","smt",2.6,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-02T00:00:00.000Z","PUUM_033","tower","400","01413","MEPO5","smt",8,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00059","CHTR2","smt",5.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00063","MERA2","sbt",8.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00058","MEPO5","smt",3.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00059","CHTR2","smt",6,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00060","MERA2","smt",2.9,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00062","MERA2","smt",6.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00223","ILAN","sbt",11.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00224","CIGL","sbt",34,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00225","CIGL","sbt",19.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00233","ILAN","sbt",17,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00234","MEPO5","sbt",11.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00235","MYSA2","sbt",12.6,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00236","MYSA2","sbt",12,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00237","CHTR2","sbt",21.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00238","ILAN","sbt",13.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00267","VACA8","sis",15.8,2.6,"7"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00050","VACA8","sis",1.6,3.4,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00267","VACA8","sis",1.1,1.2,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00049","ILAN","smt",2.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00051","ILAN","smt",2.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00272","CIGL","sbt",19.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00273","ILAN","sbt",11.7,NA,"6"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00067","MEPO5","smt",2.6,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00068","ILAN","smt",5.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00066","CHTR2","smt",5.9,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00253","CIGL","sbt",24.9,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00254","MEPO5","sbt",51.3,NA,"6"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00255","CIGL","sbt",25.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00256","ILAN","sbt",10.6,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00257","MEPO5","sbt",88.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00258","ILAN","sbt",11.8,NA,"6"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00259","MYLE2","sbt",12.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00260","CIGL","sbt",31.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00261","CIGL","sbt",23.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00262","CIME8","sbt",24.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00263","2PLANT-H","sbt",20.7,NA,"2"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00264","CIGL","sbt",23.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00064","MYLE2","smt",1.35,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00239","2PLANT","smt",7.9,NA,"2"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00240","CIME8","sbt",21.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00250","MYSA2","smt",1.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-02T00:00:00.000Z","PUUM_041","tower","400","00251","MEPO5","sbt",43.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01434","MEPO5","smt",1.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01436","MEPO5","smt",2,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01436","MEPO5","smt",1.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01431","MEPO5","smt",1.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01432","MEPO5","smt",3,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01418","MEPO5","smt",2.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01417","MEPO5","smt",1.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01425","MEPO5","smt",1.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01425","MEPO5","smt",1.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01426","MEPO5","smt",3.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01427","MEPO5","smt",2.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01428","MEPO5","smt",1.6,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01428","MEPO5","smt",1.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01429","MEPO5","smt",1.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-08-06T00:00:00.000Z","PUUM_032","tower","1600","01430","MEPO5","smt",2.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","01162","CIGL","smt",28.4,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00120","ILAN","sbt",15.4,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00121","CIBOT","sbt",22.8,NA,"2"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00122","CHTR2","sbt",18.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00123","ILAN","sbt",10.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00124","ILAN","sbt",14,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00125","CIGL","sbt",18.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00127","MYLE2","sbt",10.9,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00128","CIGL","sbt",27.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00132","2PLANT-H","sbt",13.5,NA,"10"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00135","MEPO5","sbt",63.3,NA,"6"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00139","ILAN","sbt",10.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00140","ILAN","sbt",13.9,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00141","CIGL","sbt",22.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00142","CIBOT","sbt",20.5,NA,"2"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00143","CHTR2","sbt",19.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-09T00:00:00.000Z","PUUM_040","tower","400","00144","CIGL","sbt",20.3,NA,"1"
