"siteID","meanPC","nsMeanPC","sampleFerns"
"ABBY",27.3625,0,"yes"
"BART",0,2.0125,"no"
"BONA",0.003125,0,"no"
"CLBJ",0.0354166666666667,0,"no"
"DELA",0.0542763157894737,0,"no"
"DSNY",0,0.03125,"no"
"GRSM",2.78125,0,"no"
"GUAN",0.03125,0,"no"
"HARV",0,9.1,"no"
"JERC",0,2.5375,"no"
"LENO",0.0125,0,"no"
"MLBS",15.7578125,0,"yes"
"OAES",0.0625,0,"no"
"ORNL",0,0.83125,"no"
"OSBS",0,0.1,"no"
"PUUM",12.6375,0,"yes"
"SCBI",0,0.1375,"no"
"SERC",0.50625,0,"no"
"SJER",0.121875,0,"no"
"SOAP",0.01875,0,"no"
"STEI",5.78676470588235,0,"no"
"TALL",0,5.45625,"no"
"TEAK",0.0875,0,"no"
"TREE",3.521875,0,"no"
"UKFS",0,0,"no"
"UNDE",0,13.36875,"yes"
"WREF",2.5328947368421,0,"no"
