"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"ABBY_068_703",39,12.2,16.5,"",""
"ABBY_068_666",39,11.7,13.5,"",""
"ABBY_068_542",39,3.7,4.5,"",""
"ABBY_068_610",39,1.7,10.5,"",""
"ABBY_068_648",39,2.7,13.5,"",""
"ABBY_068_514",39,7.7,1.5,"",""
"ABBY_068_676",39,16.7,13.5,"",""
"ABBY_068_634",39,13.7,10.5,"",""
"ABBY_068_601",39,15.2,7.5,"",""
"ABBY_068_508",39,4.7,1.5,"",""
"ABBY_068_544",39,4.7,4.5,"",""
"ABBY_068_644",39,18.7,10.5,"",""
"ABBY_068_562",39,13.7,4.5,"",""
"ABBY_068_599",39,14.2,7.5,"",""
"ABBY_068_704",39,12.7,16.5,"",""
"ABBY_068_706",39,13.7,16.5,"",""
"ABBY_068_689",39,5.2,16.5,"",""
"ABBY_068_659",39,8.2,13.5,"",""
"ABBY_068_586",39,7.7,7.5,"",""
"ABBY_068_512",39,6.7,1.5,"",""
"ABBY_068_541",39,3.2,4.5,"",""
"ABBY_068_635",39,14.2,10.5,"",""
"ABBY_068_656",39,6.7,13.5,"",""
"ABBY_068_662",39,9.7,13.5,"",""
"ABBY_068_688",39,4.7,16.5,"",""
"ABBY_068_540",39,2.7,4.5,"",""
"ABBY_068_552",39,8.7,4.5,"",""
"ABBY_068_510",39,5.7,1.5,"",""
"ABBY_068_578",39,3.7,7.5,"",""
"ABBY_068_600",39,14.7,7.5,"",""
"ABBY_068_637",39,15.2,10.5,"",""
"ABBY_068_708",39,14.7,16.5,"",""
"ABBY_068_641",39,17.2,10.5,"",""
"ABBY_068_606",39,17.7,7.5,"",""
"ABBY_068_558",39,11.7,4.5,"",""
"ABBY_068_674",39,15.7,13.5,"",""
"ABBY_068_632",39,12.7,10.5,"",""
"ABBY_068_686",39,3.7,16.5,"",""
"ABBY_068_602",39,15.7,7.5,"",""
"ABBY_068_557",39,11.2,4.5,"",""
"ABBY_068_624",39,8.7,10.5,"",""
"ABBY_068_687",39,4.2,16.5,"",""
"ABBY_068_556",39,10.7,4.5,"",""
"ABBY_068_647",39,2.2,13.5,"",""
"ABBY_068_667",39,12.2,13.5,"",""
"ABBY_068_560",39,12.7,4.5,"",""
"ABBY_068_611",39,2.2,10.5,"",""
"ABBY_068_663",39,10.2,13.5,"",""
"ABBY_068_537",39,1.2,4.5,"",""
"ABBY_068_697",39,9.2,16.5,"",""
"ABBY_068_668",39,12.7,13.5,"",""
"ABBY_068_658",39,7.7,13.5,"",""
"ABBY_068_670",39,13.7,13.5,"",""
"ABBY_068_696",39,8.7,16.5,"",""
"ABBY_068_650",39,3.7,13.5,"",""
"ABBY_068_655",39,6.2,13.5,"",""
"ABBY_068_646",39,1.7,13.5,"",""
"ABBY_068_545",39,5.2,4.5,"",""
"ABBY_068_616",39,4.7,10.5,"",""
"ABBY_068_680",39,18.7,13.5,"",""
"ABBY_068_568",39,16.7,4.5,"",""
"ABBY_068_564",39,14.7,4.5,"",""
"ABBY_068_652",39,4.7,13.5,"",""
"ABBY_068_617",39,5.2,10.5,"",""
"ABBY_068_561",39,13.2,4.5,"",""
"ABBY_068_582",39,5.7,7.5,"",""
"ABBY_068_607",39,18.2,7.5,"",""
"ABBY_068_585",39,7.2,7.5,"",""
"ABBY_068_529",39,15.2,1.5,"",""
"ABBY_068_615",39,4.2,10.5,"",""
"ABBY_068_678",39,17.7,13.5,"",""
"ABBY_068_550",39,7.7,4.5,"",""
"ABBY_068_569",39,17.2,4.5,"",""
"ABBY_068_553",39,9.2,4.5,"",""
"ABBY_068_527",39,14.2,1.5,"",""
"ABBY_068_566",39,15.7,4.5,"",""
"ABBY_068_691",39,6.2,16.5,"",""
"ABBY_068_690",39,5.7,16.5,"",""
"ABBY_068_700",39,10.7,16.5,"",""
"ABBY_068_613",39,3.2,10.5,"",""
"ABBY_068_530",39,15.7,1.5,"",""
"ABBY_068_705",39,13.2,16.5,"",""
"ABBY_068_638",39,15.7,10.5,"",""
"ABBY_068_640",39,16.7,10.5,"",""
"ABBY_068_692",39,6.7,16.5,"",""
"ABBY_068_664",39,10.7,13.5,"",""
"ABBY_068_570",39,17.7,4.5,"",""
"ABBY_068_699",39,10.2,16.5,"",""
"ABBY_068_525",39,13.2,1.5,"",""
"ABBY_068_595",39,12.2,7.5,"",""
"ABBY_068_507",39,4.2,1.5,"",""
"ABBY_068_612",39,2.7,10.5,"",""
"ABBY_068_677",39,17.2,13.5,"",""
"ABBY_068_710",39,15.7,16.5,"",""
"ABBY_068_579",39,4.2,7.5,"",""
"ABBY_068_548",39,6.7,4.5,"",""
"ABBY_068_621",39,7.2,10.5,"",""
"ABBY_068_619",39,6.2,10.5,"",""
"ABBY_068_604",39,16.7,7.5,"",""
"ABBY_068_661",39,9.2,13.5,"",""
"ABBY_068_713",39,17.2,16.5,"",""
"ABBY_068_623",39,8.2,10.5,"",""
"ABBY_068_614",39,3.7,10.5,"",""
"ABBY_068_551",39,8.2,4.5,"",""
"ABBY_068_513",39,7.2,1.5,"",""
"ABBY_068_645",39,1.2,13.5,"",""
"ABBY_068_596",39,12.7,7.5,"",""
"ABBY_068_711",39,16.2,16.5,"",""
"ABBY_068_531",39,16.2,1.5,"",""
"ABBY_068_709",39,15.2,16.5,"",""
"ABBY_068_583",39,6.2,7.5,"",""
"ABBY_068_693",39,7.2,16.5,"",""
"ABBY_068_539",39,2.2,4.5,"",""
"ABBY_068_669",39,13.2,13.5,"",""
"ABBY_068_547",39,6.2,4.5,"",""
"ABBY_068_598",39,13.7,7.5,"",""
"ABBY_068_546",39,5.7,4.5,"",""
"ABBY_068_559",39,12.2,4.5,"",""
"ABBY_068_698",39,9.7,16.5,"",""
"ABBY_068_609",39,1.2,10.5,"",""
"ABBY_068_605",39,17.2,7.5,"",""
"ABBY_068_654",39,5.7,13.5,"",""
"ABBY_068_715",39,18.2,16.5,"",""
"ABBY_068_660",39,8.7,13.5,"",""
"ABBY_068_642",39,17.7,10.5,"",""
"ABBY_068_620",39,6.7,10.5,"",""
"ABBY_068_649",39,3.2,13.5,"",""
"ABBY_068_588",39,8.7,7.5,"",""
"ABBY_068_653",39,5.2,13.5,"",""
"ABBY_068_538",39,1.7,4.5,"",""
"ABBY_068_572",39,18.7,4.5,"",""
"ABBY_068_702",39,11.7,16.5,"",""
"ABBY_068_511",39,6.2,1.5,"",""
"ABBY_068_567",39,16.2,4.5,"",""
"ABBY_068_665",39,11.2,13.5,"",""
"ABBY_068_506",39,3.7,1.5,"",""
"ABBY_068_523",39,12.2,1.5,"",""
"ABBY_068_528",39,14.7,1.5,"",""
"ABBY_068_603",39,16.2,7.5,"",""
"ABBY_068_573",39,1.2,7.5,"",""
"ABBY_068_618",39,5.7,10.5,"",""
"ABBY_068_524",39,12.7,1.5,"",""
"ABBY_068_643",39,18.2,10.5,"",""
"ABBY_068_673",39,15.2,13.5,"",""
"ABBY_068_587",39,8.2,7.5,"",""
"ABBY_068_714",39,17.7,16.5,"",""
"ABBY_068_549",39,7.2,4.5,"",""
"ABBY_068_716",39,18.7,16.5,"",""
"ABBY_068_555",39,10.2,4.5,"",""
"ABBY_068_554",39,9.7,4.5,"",""
"ABBY_068_694",39,7.7,16.5,"",""
"ABBY_068_701",39,11.2,16.5,"",""
"ABBY_068_543",39,4.2,4.5,"",""
"ABBY_068_509",39,5.2,1.5,"",""
"ABBY_068_584",39,6.7,7.5,"",""
"ABBY_068_608",39,18.7,7.5,"",""
"ABBY_068_577",39,3.2,7.5,"",""
"ABBY_068_675",39,16.2,13.5,"",""
"ABBY_068_631",39,12.2,10.5,"",""
"ABBY_068_565",39,15.2,4.5,"",""
"ABBY_068_515",39,8.2,1.5,"",""
"ABBY_068_526",39,13.7,1.5,"",""
"ABBY_068_657",39,7.2,13.5,"",""
"ABBY_068_651",39,4.2,13.5,"",""
"ABBY_068_575",39,2.2,7.5,"",""
"ABBY_068_576",39,2.7,7.5,"",""
"ABBY_068_581",39,5.2,7.5,"",""
"ABBY_068_574",39,1.7,7.5,"",""
"ABBY_068_633",39,13.2,10.5,"",""
"ABBY_068_679",39,18.2,13.5,"",""
"ABBY_068_622",39,7.7,10.5,"",""
"ABBY_068_636",39,14.7,10.5,"",""
"ABBY_068_639",39,16.2,10.5,"",""
"ABBY_068_571",39,18.2,4.5,"",""
"ABBY_068_597",39,13.2,7.5,"",""
"ABBY_068_672",39,14.7,13.5,"",""
"ABBY_068_580",39,4.7,7.5,"",""
"ABBY_068_563",39,14.2,4.5,"",""
"ABBY_068_516",39,8.7,1.5,"",""
"ABBY_068_707",39,14.2,16.5,"",""
"ABBY_068_695",39,8.2,16.5,"",""
"ABBY_068_712",39,16.7,16.5,"",""
"ABBY_068_671",39,14.2,13.5,"",""
