clipID,subplotID,offsetEasting,offsetNorthing,status,date
CPER_056_061,31,13.2,4.5,1,20140624
CPER_056_121,31,7.2,10.5,1,20140806
CPER_056_114,31,3.7,10.5,2,20150526
CPER_056_173,31,15.2,13.5,3,20150526
CPER_056_016,31,8.7,1.5,1,20150526
CPER_056_041,31,3.2,4.5,2,20150629
CPER_056_037,31,1.2,4.5,1,20150629
CPER_056_171,31,14.2,13.5,2,20150728
CPER_056_078,31,3.7,7.5,1,20150728
CPER_056_169,31,13.2,13.5,2,20150824
CPER_056_098,31,13.7,7.5,1,20150824
CPER_056_031,31,16.2,1.5,,
CPER_056_103,31,16.2,7.5,,
CPER_056_102,31,15.7,7.5,,
CPER_056_175,31,16.2,13.5,,
CPER_056_020,31,10.7,1.5,,
CPER_056_176,31,16.7,13.5,,
CPER_056_064,31,14.7,4.5,,
CPER_056_170,31,13.7,13.5,,
CPER_056_190,31,5.7,16.5,,
CPER_056_207,31,14.2,16.5,,
CPER_056_209,31,15.2,16.5,,
CPER_056_038,31,1.7,4.5,,
CPER_056_139,31,16.2,10.5,,
CPER_056_124,31,8.7,10.5,,
CPER_056_062,31,13.7,4.5,,
CPER_056_070,31,17.7,4.5,,
CPER_056_193,31,7.2,16.5,,
CPER_056_126,31,9.7,10.5,,
CPER_056_060,31,12.7,4.5,,
CPER_056_158,31,7.7,13.5,,
CPER_056_201,31,11.2,16.5,,
CPER_056_040,31,2.7,4.5,,
CPER_056_115,31,4.2,10.5,,
CPER_056_100,31,14.7,7.5,,
CPER_056_186,31,3.7,16.5,,
CPER_056_039,31,2.2,4.5,,
CPER_056_123,31,8.2,10.5,,
CPER_056_054,31,9.7,4.5,,
CPER_056_007,31,4.2,1.5,,
CPER_056_081,31,5.2,7.5,,
CPER_056_138,31,15.7,10.5,,
CPER_056_074,31,1.7,7.5,,
CPER_056_164,31,10.7,13.5,,
CPER_056_192,31,6.7,16.5,,
CPER_056_146,31,1.7,13.5,,
CPER_056_022,31,11.7,1.5,,
CPER_056_050,31,7.7,4.5,,
CPER_056_080,31,4.7,7.5,,
CPER_056_045,31,5.2,4.5,,
CPER_056_006,31,3.7,1.5,,
CPER_056_101,31,15.2,7.5,,
CPER_056_150,31,3.7,13.5,,
CPER_056_200,31,10.7,16.5,,
CPER_056_046,31,5.7,4.5,,
CPER_056_137,31,15.2,10.5,,
CPER_056_071,31,18.2,4.5,,
CPER_056_099,31,14.2,7.5,,
CPER_056_206,31,13.7,16.5,,
CPER_056_059,31,12.2,4.5,,
CPER_056_049,31,7.2,4.5,,
CPER_056_051,31,8.2,4.5,,
CPER_056_026,31,13.7,1.5,,
CPER_056_029,31,15.2,1.5,,
CPER_056_163,31,10.2,13.5,,
CPER_056_178,31,17.7,13.5,,
CPER_056_052,31,8.7,4.5,,
CPER_056_021,31,11.2,1.5,,
CPER_056_167,31,12.2,13.5,,
CPER_056_068,31,16.7,4.5,,
CPER_056_211,31,16.2,16.5,,
CPER_056_093,31,11.2,7.5,,
CPER_056_179,31,18.2,13.5,,
CPER_056_094,31,11.7,7.5,,
CPER_056_019,31,10.2,1.5,,
CPER_056_011,31,6.2,1.5,,
CPER_056_017,31,9.2,1.5,,
CPER_056_148,31,2.7,13.5,,
CPER_056_077,31,3.2,7.5,,
CPER_056_194,31,7.7,16.5,,
CPER_056_152,31,4.7,13.5,,
CPER_056_140,31,16.7,10.5,,
CPER_056_134,31,13.7,10.5,,
CPER_056_187,31,4.2,16.5,,
CPER_056_136,31,14.7,10.5,,
CPER_056_069,31,17.2,4.5,,
CPER_056_091,31,10.2,7.5,,
CPER_056_122,31,7.7,10.5,,
CPER_056_042,31,3.7,4.5,,
CPER_056_067,31,16.2,4.5,,
CPER_056_161,31,9.2,13.5,,
CPER_056_030,31,15.7,1.5,,
CPER_056_025,31,13.2,1.5,,
CPER_056_120,31,6.7,10.5,,
CPER_056_180,31,18.7,13.5,,
CPER_056_191,31,6.2,16.5,,
CPER_056_177,31,17.2,13.5,,
CPER_056_053,31,9.2,4.5,,
CPER_056_012,31,6.7,1.5,,
CPER_056_018,31,9.7,1.5,,
CPER_056_097,31,13.2,7.5,,
CPER_056_151,31,4.2,13.5,,
CPER_056_095,31,12.2,7.5,,
CPER_056_065,31,15.2,4.5,,
CPER_056_147,31,2.2,13.5,,
CPER_056_057,31,11.2,4.5,,
CPER_056_159,31,8.2,13.5,,
CPER_056_015,31,8.2,1.5,,
CPER_056_189,31,5.2,16.5,,
CPER_056_198,31,9.7,16.5,,
CPER_056_055,31,10.2,4.5,,
CPER_056_165,31,11.2,13.5,,
CPER_056_076,31,2.7,7.5,,
CPER_056_210,31,15.7,16.5,,
CPER_056_203,31,12.2,16.5,,
CPER_056_119,31,6.2,10.5,,
CPER_056_155,31,6.2,13.5,,
CPER_056_160,31,8.7,13.5,,
CPER_056_156,31,6.7,13.5,,
CPER_056_013,31,7.2,1.5,,
CPER_056_118,31,5.7,10.5,,
CPER_056_202,31,11.7,16.5,,
CPER_056_166,31,11.7,13.5,,
CPER_056_196,31,8.7,16.5,,
CPER_056_208,31,14.7,16.5,,
CPER_056_142,31,17.7,10.5,,
CPER_056_174,31,15.7,13.5,,
CPER_056_014,31,7.7,1.5,,
CPER_056_044,31,4.7,4.5,,
CPER_056_153,31,5.2,13.5,,
CPER_056_027,31,14.2,1.5,,
CPER_056_144,31,18.7,10.5,,
CPER_056_149,31,3.2,13.5,,
CPER_056_143,31,18.2,10.5,,
CPER_056_009,31,5.2,1.5,,
CPER_056_157,31,7.2,13.5,,
CPER_056_079,31,4.2,7.5,,
CPER_056_028,31,14.7,1.5,,
CPER_056_188,31,4.7,16.5,,
CPER_056_145,31,1.2,13.5,,
CPER_056_063,31,14.2,4.5,,
CPER_056_083,31,6.2,7.5,,
CPER_056_135,31,14.2,10.5,,
CPER_056_023,31,12.2,1.5,,
CPER_056_199,31,10.2,16.5,,
CPER_056_056,31,10.7,4.5,,
CPER_056_096,31,12.7,7.5,,
CPER_056_141,31,17.2,10.5,,
CPER_056_043,31,4.2,4.5,,
CPER_056_162,31,9.7,13.5,,
CPER_056_075,31,2.2,7.5,,
CPER_056_058,31,11.7,4.5,,
CPER_056_197,31,9.2,16.5,,
CPER_056_092,31,10.7,7.5,,
CPER_056_116,31,4.7,10.5,,
CPER_056_024,31,12.7,1.5,,
CPER_056_073,31,1.2,7.5,,
CPER_056_082,31,5.7,7.5,,
CPER_056_125,31,9.2,10.5,,
CPER_056_117,31,5.2,10.5,,
CPER_056_205,31,13.2,16.5,,
CPER_056_008,31,4.7,1.5,,
CPER_056_154,31,5.7,13.5,,
CPER_056_047,31,6.2,4.5,,
CPER_056_195,31,8.2,16.5,,
CPER_056_066,31,15.7,4.5,,
CPER_056_172,31,14.7,13.5,,
CPER_056_168,31,12.7,13.5,,
CPER_056_204,31,12.7,16.5,,
CPER_056_048,31,6.7,4.5,,
CPER_056_072,31,18.7,4.5,,
CPER_056_010,31,5.7,1.5,,
