"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"JORN_052_008",31,4.7,1.5,"",""
"JORN_052_103",31,16.2,7.5,"",""
"JORN_052_196",31,8.7,16.5,"",""
"JORN_052_200",31,10.7,16.5,"",""
"JORN_052_006",31,3.7,1.5,"",""
"JORN_052_167",31,12.2,13.5,"",""
"JORN_052_029",31,15.2,1.5,"",""
"JORN_052_017",31,9.2,1.5,"",""
"JORN_052_092",31,10.7,7.5,"",""
"JORN_052_171",31,14.2,13.5,"",""
"JORN_052_099",31,14.2,7.5,"",""
"JORN_052_069",31,17.2,4.5,"",""
"JORN_052_077",31,3.2,7.5,"",""
"JORN_052_039",31,2.2,4.5,"",""
"JORN_052_140",31,16.7,10.5,"",""
"JORN_052_028",31,14.7,1.5,"",""
"JORN_052_023",31,12.2,1.5,"",""
"JORN_052_075",31,2.2,7.5,"",""
"JORN_052_057",31,11.2,4.5,"",""
"JORN_052_055",31,10.2,4.5,"",""
"JORN_052_121",31,7.2,10.5,"",""
"JORN_052_116",31,4.7,10.5,"",""
"JORN_052_150",31,3.7,13.5,"",""
"JORN_052_176",31,16.7,13.5,"",""
"JORN_052_045",31,5.2,4.5,"",""
"JORN_052_081",31,5.2,7.5,"",""
"JORN_052_071",31,18.2,4.5,"",""
"JORN_052_062",31,13.7,4.5,"",""
"JORN_052_022",31,11.7,1.5,"",""
"JORN_052_068",31,16.7,4.5,"",""
"JORN_052_073",31,1.2,7.5,"",""
"JORN_052_102",31,15.7,7.5,"",""
"JORN_052_211",31,16.2,16.5,"",""
"JORN_052_083",31,6.2,7.5,"",""
"JORN_052_156",31,6.7,13.5,"",""
"JORN_052_012",31,6.7,1.5,"",""
"JORN_052_177",31,17.2,13.5,"",""
"JORN_052_078",31,3.7,7.5,"",""
"JORN_052_093",31,11.2,7.5,"",""
"JORN_052_043",31,4.2,4.5,"",""
"JORN_052_172",31,14.7,13.5,"",""
"JORN_052_186",31,3.7,16.5,"",""
"JORN_052_098",31,13.7,7.5,"",""
"JORN_052_188",31,4.7,16.5,"",""
"JORN_052_139",31,16.2,10.5,"",""
"JORN_052_151",31,4.2,13.5,"",""
"JORN_052_148",31,2.7,13.5,"",""
"JORN_052_199",31,10.2,16.5,"",""
"JORN_052_155",31,6.2,13.5,"",""
"JORN_052_122",31,7.7,10.5,"",""
"JORN_052_174",31,15.7,13.5,"",""
"JORN_052_016",31,8.7,1.5,"",""
"JORN_052_053",31,9.2,4.5,"",""
"JORN_052_209",31,15.2,16.5,"",""
"JORN_052_011",31,6.2,1.5,"",""
"JORN_052_056",31,10.7,4.5,"",""
"JORN_052_192",31,6.7,16.5,"",""
"JORN_052_158",31,7.7,13.5,"",""
"JORN_052_027",31,14.2,1.5,"",""
"JORN_052_163",31,10.2,13.5,"",""
"JORN_052_168",31,12.7,13.5,"",""
"JORN_052_194",31,7.7,16.5,"",""
"JORN_052_031",31,16.2,1.5,"",""
"JORN_052_193",31,7.2,16.5,"",""
"JORN_052_203",31,12.2,16.5,"",""
"JORN_052_020",31,10.7,1.5,"",""
"JORN_052_076",31,2.7,7.5,"",""
"JORN_052_030",31,15.7,1.5,"",""
"JORN_052_060",31,12.7,4.5,"",""
"JORN_052_009",31,5.2,1.5,"",""
"JORN_052_040",31,2.7,4.5,"",""
"JORN_052_160",31,8.7,13.5,"",""
"JORN_052_138",31,15.7,10.5,"",""
"JORN_052_058",31,11.7,4.5,"",""
"JORN_052_082",31,5.7,7.5,"",""
"JORN_052_136",31,14.7,10.5,"",""
"JORN_052_064",31,14.7,4.5,"",""
"JORN_052_123",31,8.2,10.5,"",""
"JORN_052_162",31,9.7,13.5,"",""
"JORN_052_170",31,13.7,13.5,"",""
"JORN_052_191",31,6.2,16.5,"",""
"JORN_052_157",31,7.2,13.5,"",""
"JORN_052_018",31,9.7,1.5,"",""
"JORN_052_120",31,6.7,10.5,"",""
"JORN_052_047",31,6.2,4.5,"",""
"JORN_052_114",31,3.7,10.5,"",""
"JORN_052_202",31,11.7,16.5,"",""
"JORN_052_052",31,8.7,4.5,"",""
