"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"LENO_068_711",39,16.2,16.5,"",""
"LENO_068_568",39,16.7,4.5,"",""
"LENO_068_649",39,3.2,13.5,"",""
"LENO_068_686",39,3.7,16.5,"",""
"LENO_068_555",39,10.2,4.5,"",""
"LENO_068_587",39,8.2,7.5,"",""
"LENO_068_563",39,14.2,4.5,"",""
"LENO_068_575",39,2.2,7.5,"",""
"LENO_068_571",39,18.2,4.5,"",""
"LENO_068_656",39,6.7,13.5,"",""
"LENO_068_616",39,4.7,10.5,"",""
"LENO_068_510",39,5.7,1.5,"",""
"LENO_068_515",39,8.2,1.5,"",""
"LENO_068_714",39,17.7,16.5,"",""
"LENO_068_566",39,15.7,4.5,"",""
"LENO_068_585",39,7.2,7.5,"",""
"LENO_068_596",39,12.7,7.5,"",""
"LENO_068_657",39,7.2,13.5,"",""
"LENO_068_574",39,1.7,7.5,"",""
"LENO_068_608",39,18.7,7.5,"",""
"LENO_068_606",39,17.7,7.5,"",""
"LENO_068_671",39,14.2,13.5,"",""
"LENO_068_704",39,12.7,16.5,"",""
"LENO_068_637",39,15.2,10.5,"",""
"LENO_068_610",39,1.7,10.5,"",""
"LENO_068_541",39,3.2,4.5,"",""
"LENO_068_527",39,14.2,1.5,"",""
"LENO_068_548",39,6.7,4.5,"",""
"LENO_068_645",39,1.2,13.5,"",""
"LENO_068_659",39,8.2,13.5,"",""
"LENO_068_716",39,18.7,16.5,"",""
"LENO_068_715",39,18.2,16.5,"",""
"LENO_068_632",39,12.7,10.5,"",""
"LENO_068_613",39,3.2,10.5,"",""
"LENO_068_513",39,7.2,1.5,"",""
"LENO_068_618",39,5.7,10.5,"",""
"LENO_068_577",39,3.2,7.5,"",""
"LENO_068_569",39,17.2,4.5,"",""
"LENO_068_561",39,13.2,4.5,"",""
"LENO_068_609",39,1.2,10.5,"",""
"LENO_068_509",39,5.2,1.5,"",""
"LENO_068_607",39,18.2,7.5,"",""
"LENO_068_565",39,15.2,4.5,"",""
"LENO_068_708",39,14.7,16.5,"",""
"LENO_068_553",39,9.2,4.5,"",""
"LENO_068_664",39,10.7,13.5,"",""
