"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"MOAB_069_197",31,9.2,16.5,"",""
"MOAB_069_207",31,14.2,16.5,"",""
"MOAB_069_211",31,16.2,16.5,"",""
"MOAB_069_137",31,15.2,10.5,"",""
"MOAB_069_140",31,16.7,10.5,"",""
"MOAB_069_103",31,16.2,7.5,"",""
"MOAB_069_012",31,6.7,1.5,"",""
"MOAB_069_055",31,10.2,4.5,"",""
"MOAB_069_080",31,4.7,7.5,"",""
"MOAB_069_026",31,13.7,1.5,"",""
"MOAB_069_119",31,6.2,10.5,"",""
"MOAB_069_186",31,3.7,16.5,"",""
"MOAB_069_053",31,9.2,4.5,"",""
"MOAB_069_117",31,5.2,10.5,"",""
"MOAB_069_134",31,13.7,10.5,"",""
"MOAB_069_006",31,3.7,1.5,"",""
"MOAB_069_114",31,3.7,10.5,"",""
"MOAB_069_022",31,11.7,1.5,"",""
"MOAB_069_172",31,14.7,13.5,"",""
"MOAB_069_081",31,5.2,7.5,"",""
"MOAB_069_139",31,16.2,10.5,"",""
"MOAB_069_079",31,4.2,7.5,"",""
"MOAB_069_097",31,13.2,7.5,"",""
"MOAB_069_170",31,13.7,13.5,"",""
"MOAB_069_046",31,5.7,4.5,"",""
"MOAB_069_016",31,8.7,1.5,"",""
"MOAB_069_189",31,5.2,16.5,"",""
"MOAB_069_208",31,14.7,16.5,"",""
"MOAB_069_062",31,13.7,4.5,"",""
"MOAB_069_056",31,10.7,4.5,"",""
"MOAB_069_061",31,13.2,4.5,"",""
"MOAB_069_200",31,10.7,16.5,"",""
"MOAB_069_151",31,4.2,13.5,"",""
"MOAB_069_194",31,7.7,16.5,"",""
"MOAB_069_147",31,2.2,13.5,"",""
"MOAB_069_116",31,4.7,10.5,"",""
"MOAB_069_071",31,18.2,4.5,"",""
"MOAB_069_009",31,5.2,1.5,"",""
"MOAB_069_047",31,6.2,4.5,"",""
"MOAB_069_028",31,14.7,1.5,"",""
"MOAB_069_162",31,9.7,13.5,"",""
"MOAB_069_148",31,2.7,13.5,"",""
"MOAB_069_007",31,4.2,1.5,"",""
"MOAB_069_173",31,15.2,13.5,"",""
"MOAB_069_091",31,10.2,7.5,"",""
"MOAB_069_164",31,10.7,13.5,"",""
"MOAB_069_011",31,6.2,1.5,"",""
"MOAB_069_044",31,4.7,4.5,"",""
"MOAB_069_078",31,3.7,7.5,"",""
"MOAB_069_146",31,1.7,13.5,"",""
"MOAB_069_141",31,17.2,10.5,"",""
"MOAB_069_179",31,18.2,13.5,"",""
"MOAB_069_075",31,2.2,7.5,"",""
"MOAB_069_037",31,1.2,4.5,"",""
"MOAB_069_176",31,16.7,13.5,"",""
"MOAB_069_063",31,14.2,4.5,"",""
"MOAB_069_083",31,6.2,7.5,"",""
"MOAB_069_102",31,15.7,7.5,"",""
"MOAB_069_126",31,9.7,10.5,"",""
"MOAB_069_073",31,1.2,7.5,"",""
"MOAB_069_167",31,12.2,13.5,"",""
"MOAB_069_018",31,9.7,1.5,"",""
"MOAB_069_201",31,11.2,16.5,"",""
"MOAB_069_156",31,6.7,13.5,"",""
"MOAB_069_021",31,11.2,1.5,"",""
"MOAB_069_199",31,10.2,16.5,"",""
"MOAB_069_120",31,6.7,10.5,"",""
"MOAB_069_092",31,10.7,7.5,"",""
"MOAB_069_031",31,16.2,1.5,"",""
"MOAB_069_115",31,4.2,10.5,"",""
"MOAB_069_178",31,17.7,13.5,"",""
"MOAB_069_204",31,12.7,16.5,"",""
"MOAB_069_136",31,14.7,10.5,"",""
"MOAB_069_163",31,10.2,13.5,"",""
"MOAB_069_192",31,6.7,16.5,"",""
"MOAB_069_060",31,12.7,4.5,"",""
"MOAB_069_196",31,8.7,16.5,"",""
"MOAB_069_121",31,7.2,10.5,"",""
"MOAB_069_070",31,17.7,4.5,"",""
"MOAB_069_098",31,13.7,7.5,"",""
"MOAB_069_206",31,13.7,16.5,"",""
"MOAB_069_175",31,16.2,13.5,"",""
"MOAB_069_025",31,13.2,1.5,"",""
"MOAB_069_165",31,11.2,13.5,"",""
"MOAB_069_187",31,4.2,16.5,"",""
"MOAB_069_069",31,17.2,4.5,"",""
"MOAB_069_095",31,12.2,7.5,"",""
"MOAB_069_193",31,7.2,16.5,"",""
"MOAB_069_118",31,5.7,10.5,"",""
"MOAB_069_174",31,15.7,13.5,"",""
"MOAB_069_049",31,7.2,4.5,"",""
"MOAB_069_168",31,12.7,13.5,"",""
"MOAB_069_043",31,4.2,4.5,"",""
"MOAB_069_023",31,12.2,1.5,"",""
"MOAB_069_180",31,18.7,13.5,"",""
"MOAB_069_024",31,12.7,1.5,"",""
"MOAB_069_042",31,3.7,4.5,"",""
"MOAB_069_122",31,7.7,10.5,"",""
"MOAB_069_195",31,8.2,16.5,"",""
"MOAB_069_010",31,5.7,1.5,"",""
"MOAB_069_027",31,14.2,1.5,"",""
"MOAB_069_013",31,7.2,1.5,"",""
"MOAB_069_068",31,16.7,4.5,"",""
"MOAB_069_144",31,18.7,10.5,"",""
"MOAB_069_203",31,12.2,16.5,"",""
"MOAB_069_124",31,8.7,10.5,"",""
"MOAB_069_029",31,15.2,1.5,"",""
"MOAB_069_191",31,6.2,16.5,"",""
"MOAB_069_077",31,3.2,7.5,"",""
"MOAB_069_066",31,15.7,4.5,"",""
"MOAB_069_142",31,17.7,10.5,"",""
"MOAB_069_072",31,18.7,4.5,"",""
"MOAB_069_052",31,8.7,4.5,"",""
"MOAB_069_190",31,5.7,16.5,"",""
"MOAB_069_015",31,8.2,1.5,"",""
"MOAB_069_076",31,2.7,7.5,"",""
"MOAB_069_135",31,14.2,10.5,"",""
"MOAB_069_059",31,12.2,4.5,"",""
"MOAB_069_082",31,5.7,7.5,"",""
"MOAB_069_205",31,13.2,16.5,"",""
"MOAB_069_048",31,6.7,4.5,"",""
"MOAB_069_030",31,15.7,1.5,"",""
"MOAB_069_040",31,2.7,4.5,"",""
"MOAB_069_017",31,9.2,1.5,"",""
"MOAB_069_152",31,4.7,13.5,"",""
"MOAB_069_067",31,16.2,4.5,"",""
"MOAB_069_158",31,7.7,13.5,"",""
"MOAB_069_093",31,11.2,7.5,"",""
"MOAB_069_166",31,11.7,13.5,"",""
"MOAB_069_094",31,11.7,7.5,"",""
"MOAB_069_202",31,11.7,16.5,"",""
"MOAB_069_188",31,4.7,16.5,"",""
"MOAB_069_169",31,13.2,13.5,"",""
"MOAB_069_019",31,10.2,1.5,"",""
"MOAB_069_074",31,1.7,7.5,"",""
"MOAB_069_125",31,9.2,10.5,"",""
"MOAB_069_210",31,15.7,16.5,"",""
"MOAB_069_065",31,15.2,4.5,"",""
"MOAB_069_038",31,1.7,4.5,"",""
"MOAB_069_096",31,12.7,7.5,"",""
"MOAB_069_145",31,1.2,13.5,"",""
"MOAB_069_008",31,4.7,1.5,"",""
"MOAB_069_177",31,17.2,13.5,"",""
"MOAB_069_050",31,7.7,4.5,"",""
"MOAB_069_101",31,15.2,7.5,"",""
"MOAB_069_099",31,14.2,7.5,"",""
"MOAB_069_054",31,9.7,4.5,"",""
"MOAB_069_041",31,3.2,4.5,"",""
"MOAB_069_161",31,9.2,13.5,"",""
"MOAB_069_058",31,11.7,4.5,"",""
"MOAB_069_157",31,7.2,13.5,"",""
"MOAB_069_159",31,8.2,13.5,"",""
"MOAB_069_051",31,8.2,4.5,"",""
"MOAB_069_198",31,9.7,16.5,"",""
"MOAB_069_138",31,15.7,10.5,"",""
"MOAB_069_154",31,5.7,13.5,"",""
"MOAB_069_209",31,15.2,16.5,"",""
"MOAB_069_039",31,2.2,4.5,"",""
"MOAB_069_149",31,3.2,13.5,"",""
"MOAB_069_143",31,18.2,10.5,"",""
"MOAB_069_100",31,14.7,7.5,"",""
"MOAB_069_014",31,7.7,1.5,"",""
"MOAB_069_155",31,6.2,13.5,"",""
"MOAB_069_123",31,8.2,10.5,"",""
"MOAB_069_153",31,5.2,13.5,"",""
"MOAB_069_160",31,8.7,13.5,"",""
"MOAB_069_057",31,11.2,4.5,"",""
"MOAB_069_150",31,3.7,13.5,"",""
"MOAB_069_045",31,5.2,4.5,"",""
"MOAB_069_020",31,10.7,1.5,"",""
"MOAB_069_171",31,14.2,13.5,"",""
"MOAB_069_064",31,14.7,4.5,"",""
