"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"NOGP_006_007",31,4.2,1.5,"",""
"NOGP_006_044",31,4.7,4.5,"",""
"NOGP_006_076",31,2.7,7.5,"",""
"NOGP_006_168",31,12.7,13.5,"",""
"NOGP_006_146",31,1.7,13.5,"",""
"NOGP_006_082",31,5.7,7.5,"",""
"NOGP_006_173",31,15.2,13.5,"",""
"NOGP_006_103",31,16.2,7.5,"",""
"NOGP_006_161",31,9.2,13.5,"",""
"NOGP_006_126",31,9.7,10.5,"",""
"NOGP_006_211",31,16.2,16.5,"",""
"NOGP_006_167",31,12.2,13.5,"",""
"NOGP_006_147",31,2.2,13.5,"",""
"NOGP_006_016",31,8.7,1.5,"",""
"NOGP_006_206",31,13.7,16.5,"",""
"NOGP_006_139",31,16.2,10.5,"",""
"NOGP_006_207",31,14.2,16.5,"",""
"NOGP_006_041",31,3.2,4.5,"",""
"NOGP_006_165",31,11.2,13.5,"",""
"NOGP_006_037",31,1.2,4.5,"",""
"NOGP_006_150",31,3.7,13.5,"",""
"NOGP_006_136",31,14.7,10.5,"",""
"NOGP_006_158",31,7.7,13.5,"",""
"NOGP_006_068",31,16.7,4.5,"",""
"NOGP_006_061",31,13.2,4.5,"",""
"NOGP_006_201",31,11.2,16.5,"",""
"NOGP_006_072",31,18.7,4.5,"",""
"NOGP_006_083",31,6.2,7.5,"",""
"NOGP_006_093",31,11.2,7.5,"",""
"NOGP_006_030",31,15.7,1.5,"",""
"NOGP_006_027",31,14.2,1.5,"",""
"NOGP_006_046",31,5.7,4.5,"",""
"NOGP_006_180",31,18.7,13.5,"",""
"NOGP_006_116",31,4.7,10.5,"",""
"NOGP_006_094",31,11.7,7.5,"",""
"NOGP_006_209",31,15.2,16.5,"",""
"NOGP_006_121",31,7.2,10.5,"",""
"NOGP_006_095",31,12.2,7.5,"",""
"NOGP_006_038",31,1.7,4.5,"",""
"NOGP_006_045",31,5.2,4.5,"",""
"NOGP_006_031",31,16.2,1.5,"",""
"NOGP_006_145",31,1.2,13.5,"",""
"NOGP_006_018",31,9.7,1.5,"",""
"NOGP_006_049",31,7.2,4.5,"",""
"NOGP_006_155",31,6.2,13.5,"",""
"NOGP_006_203",31,12.2,16.5,"",""
"NOGP_006_135",31,14.2,10.5,"",""
"NOGP_006_056",31,10.7,4.5,"",""
"NOGP_006_192",31,6.7,16.5,"",""
"NOGP_006_029",31,15.2,1.5,"",""
"NOGP_006_193",31,7.2,16.5,"",""
"NOGP_006_144",31,18.7,10.5,"",""
"NOGP_006_134",31,13.7,10.5,"",""
"NOGP_006_179",31,18.2,13.5,"",""
"NOGP_006_092",31,10.7,7.5,"",""
"NOGP_006_058",31,11.7,4.5,"",""
"NOGP_006_162",31,9.7,13.5,"",""
"NOGP_006_177",31,17.2,13.5,"",""
"NOGP_006_040",31,2.7,4.5,"",""
"NOGP_006_079",31,4.2,7.5,"",""
"NOGP_006_205",31,13.2,16.5,"",""
"NOGP_006_189",31,5.2,16.5,"",""
"NOGP_006_073",31,1.2,7.5,"",""
"NOGP_006_006",31,3.7,1.5,"",""
"NOGP_006_055",31,10.2,4.5,"",""
"NOGP_006_077",31,3.2,7.5,"",""
"NOGP_006_065",31,15.2,4.5,"",""
"NOGP_006_152",31,4.7,13.5,"",""
"NOGP_006_163",31,10.2,13.5,"",""
"NOGP_006_200",31,10.7,16.5,"",""
"NOGP_006_123",31,8.2,10.5,"",""
"NOGP_006_101",31,15.2,7.5,"",""
"NOGP_006_021",31,11.2,1.5,"",""
"NOGP_006_010",31,5.7,1.5,"",""
"NOGP_006_091",31,10.2,7.5,"",""
"NOGP_006_075",31,2.2,7.5,"",""
"NOGP_006_157",31,7.2,13.5,"",""
"NOGP_006_210",31,15.7,16.5,"",""
"NOGP_006_013",31,7.2,1.5,"",""
"NOGP_006_059",31,12.2,4.5,"",""
