"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"NOGP_091_135",31,14.2,10.5,"",""
"NOGP_091_115",31,4.2,10.5,"",""
"NOGP_091_140",31,16.7,10.5,"",""
"NOGP_091_165",31,11.2,13.5,"",""
"NOGP_091_030",31,15.7,1.5,"",""
"NOGP_091_121",31,7.2,10.5,"",""
"NOGP_091_167",31,12.2,13.5,"",""
"NOGP_091_024",31,12.7,1.5,"",""
"NOGP_091_200",31,10.7,16.5,"",""
"NOGP_091_054",31,9.7,4.5,"",""
"NOGP_091_176",31,16.7,13.5,"",""
"NOGP_091_021",31,11.2,1.5,"",""
"NOGP_091_008",31,4.7,1.5,"",""
"NOGP_091_056",31,10.7,4.5,"",""
"NOGP_091_169",31,13.2,13.5,"",""
"NOGP_091_061",31,13.2,4.5,"",""
"NOGP_091_203",31,12.2,16.5,"",""
"NOGP_091_049",31,7.2,4.5,"",""
"NOGP_091_037",31,1.2,4.5,"",""
"NOGP_091_188",31,4.7,16.5,"",""
"NOGP_091_068",31,16.7,4.5,"",""
"NOGP_091_138",31,15.7,10.5,"",""
"NOGP_091_038",31,1.7,4.5,"",""
"NOGP_091_162",31,9.7,13.5,"",""
"NOGP_091_064",31,14.7,4.5,"",""
"NOGP_091_191",31,6.2,16.5,"",""
"NOGP_091_205",31,13.2,16.5,"",""
"NOGP_091_139",31,16.2,10.5,"",""
"NOGP_091_151",31,4.2,13.5,"",""
"NOGP_091_081",31,5.2,7.5,"",""
"NOGP_091_173",31,15.2,13.5,"",""
"NOGP_091_154",31,5.7,13.5,"",""
"NOGP_091_163",31,10.2,13.5,"",""
"NOGP_091_039",31,2.2,4.5,"",""
"NOGP_091_160",31,8.7,13.5,"",""
"NOGP_091_153",31,5.2,13.5,"",""
"NOGP_091_150",31,3.7,13.5,"",""
"NOGP_091_124",31,8.7,10.5,"",""
"NOGP_091_197",31,9.2,16.5,"",""
"NOGP_091_067",31,16.2,4.5,"",""
"NOGP_091_091",31,10.2,7.5,"",""
"NOGP_091_020",31,10.7,1.5,"",""
"NOGP_091_175",31,16.2,13.5,"",""
"NOGP_091_155",31,6.2,13.5,"",""
"NOGP_091_141",31,17.2,10.5,"",""
"NOGP_091_204",31,12.7,16.5,"",""
"NOGP_091_052",31,8.7,4.5,"",""
"NOGP_091_161",31,9.2,13.5,"",""
"NOGP_091_031",31,16.2,1.5,"",""
"NOGP_091_179",31,18.2,13.5,"",""
"NOGP_091_137",31,15.2,10.5,"",""
"NOGP_091_028",31,14.7,1.5,"",""
"NOGP_091_100",31,14.7,7.5,"",""
"NOGP_091_027",31,14.2,1.5,"",""
"NOGP_091_178",31,17.7,13.5,"",""
"NOGP_091_092",31,10.7,7.5,"",""
"NOGP_091_170",31,13.7,13.5,"",""
"NOGP_091_017",31,9.2,1.5,"",""
"NOGP_091_152",31,4.7,13.5,"",""
