clipID,subplotID,offsetEasting,offsetNorthing,status,date
OAES_056_103,31,16.2,7.5,1,20150331
OAES_056_139,31,16.2,10.5,1,20150429
OAES_056_117,31,5.2,10.5,1,20150527
OAES_056_202,31,11.7,16.5,1,20151020
OAES_056_073,31,1.2,7.5,1,20160616
OAES_056_081,31,5.2,7.5,1,20161018
OAES_056_199,31,10.2,16.5,,
OAES_056_040,31,2.7,4.5,,
OAES_056_078,31,3.7,7.5,,
OAES_056_049,31,7.2,4.5,,
OAES_056_171,31,14.2,13.5,,
OAES_056_050,31,7.7,4.5,,
OAES_056_186,31,3.7,16.5,,
OAES_056_092,31,10.7,7.5,,
OAES_056_195,31,8.2,16.5,,
OAES_056_151,31,4.2,13.5,,
OAES_056_101,31,15.2,7.5,,
OAES_056_077,31,3.2,7.5,,
OAES_056_008,31,4.7,1.5,,
OAES_056_174,31,15.7,13.5,,
OAES_056_211,31,16.2,16.5,,
OAES_056_208,31,14.7,16.5,,
OAES_056_150,31,3.7,13.5,,
OAES_056_134,31,13.7,10.5,,
OAES_056_067,31,16.2,4.5,,
OAES_056_159,31,8.2,13.5,,
OAES_056_175,31,16.2,13.5,,
OAES_056_038,31,1.7,4.5,,
OAES_056_030,31,15.7,1.5,,
OAES_056_058,31,11.7,4.5,,
OAES_056_141,31,17.2,10.5,,
OAES_056_052,31,8.7,4.5,,
OAES_056_145,31,1.2,13.5,,
OAES_056_204,31,12.7,16.5,,
OAES_056_164,31,10.7,13.5,,
OAES_056_102,31,15.7,7.5,,
OAES_056_136,31,14.7,10.5,,
OAES_056_054,31,9.7,4.5,,
OAES_056_007,31,4.2,1.5,,
OAES_056_178,31,17.7,13.5,,
OAES_056_057,31,11.2,4.5,,
OAES_056_153,31,5.2,13.5,,
OAES_056_121,31,7.2,10.5,,
OAES_056_190,31,5.7,16.5,,
OAES_056_100,31,14.7,7.5,,
OAES_056_156,31,6.7,13.5,,
OAES_056_124,31,8.7,10.5,,
OAES_056_180,31,18.7,13.5,,
OAES_056_096,31,12.7,7.5,,
OAES_056_176,31,16.7,13.5,,
OAES_056_047,31,6.2,4.5,,
OAES_056_006,31,3.7,1.5,,
OAES_056_189,31,5.2,16.5,,
OAES_056_203,31,12.2,16.5,,
OAES_056_071,31,18.2,4.5,,
OAES_056_166,31,11.7,13.5,,
OAES_056_097,31,13.2,7.5,,
OAES_056_162,31,9.7,13.5,,
OAES_056_197,31,9.2,16.5,,
OAES_056_098,31,13.7,7.5,,
OAES_056_201,31,11.2,16.5,,
OAES_056_042,31,3.7,4.5,,
OAES_056_168,31,12.7,13.5,,
OAES_056_146,31,1.7,13.5,,
OAES_056_019,31,10.2,1.5,,
OAES_056_143,31,18.2,10.5,,
OAES_056_045,31,5.2,4.5,,
OAES_056_193,31,7.2,16.5,,
OAES_056_012,31,6.7,1.5,,
OAES_056_070,31,17.7,4.5,,
OAES_056_165,31,11.2,13.5,,
OAES_056_120,31,6.7,10.5,,
OAES_056_091,31,10.2,7.5,,
OAES_056_080,31,4.7,7.5,,
OAES_056_079,31,4.2,7.5,,
OAES_056_044,31,4.7,4.5,,
OAES_056_014,31,7.7,1.5,,
OAES_056_041,31,3.2,4.5,,
OAES_056_200,31,10.7,16.5,,
OAES_056_062,31,13.7,4.5,,
OAES_056_172,31,14.7,13.5,,
OAES_056_158,31,7.7,13.5,,
OAES_056_138,31,15.7,10.5,,
OAES_056_023,31,12.2,1.5,,
OAES_056_060,31,12.7,4.5,,
OAES_056_115,31,4.2,10.5,,
OAES_056_072,31,18.7,4.5,,
OAES_056_020,31,10.7,1.5,,
OAES_056_025,31,13.2,1.5,,
OAES_056_140,31,16.7,10.5,,
OAES_056_116,31,4.7,10.5,,
OAES_056_066,31,15.7,4.5,,
OAES_056_125,31,9.2,10.5,,
OAES_056_074,31,1.7,7.5,,
OAES_056_065,31,15.2,4.5,,
OAES_056_027,31,14.2,1.5,,
OAES_056_083,31,6.2,7.5,,
OAES_056_119,31,6.2,10.5,,
OAES_056_039,31,2.2,4.5,,
OAES_056_046,31,5.7,4.5,,
OAES_056_022,31,11.7,1.5,,
OAES_056_210,31,15.7,16.5,,
OAES_056_152,31,4.7,13.5,,
OAES_056_135,31,14.2,10.5,,
