"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"ONAQ_070_169",31,13.2,13.5,"",""
"ONAQ_070_091",31,10.2,7.5,"",""
"ONAQ_070_094",31,11.7,7.5,"",""
"ONAQ_070_189",31,5.2,16.5,"",""
"ONAQ_070_163",31,10.2,13.5,"",""
"ONAQ_070_020",31,10.7,1.5,"",""
"ONAQ_070_041",31,3.2,4.5,"",""
"ONAQ_070_057",31,11.2,4.5,"",""
"ONAQ_070_171",31,14.2,13.5,"",""
"ONAQ_070_143",31,18.2,10.5,"",""
"ONAQ_070_187",31,4.2,16.5,"",""
"ONAQ_070_053",31,9.2,4.5,"",""
"ONAQ_070_011",31,6.2,1.5,"",""
"ONAQ_070_202",31,11.7,16.5,"",""
"ONAQ_070_151",31,4.2,13.5,"",""
"ONAQ_070_050",31,7.7,4.5,"",""
"ONAQ_070_115",31,4.2,10.5,"",""
"ONAQ_070_196",31,8.7,16.5,"",""
"ONAQ_070_145",31,1.2,13.5,"",""
"ONAQ_070_065",31,15.2,4.5,"",""
"ONAQ_070_140",31,16.7,10.5,"",""
"ONAQ_070_190",31,5.7,16.5,"",""
"ONAQ_070_138",31,15.7,10.5,"",""
"ONAQ_070_125",31,9.2,10.5,"",""
"ONAQ_070_186",31,3.7,16.5,"",""
"ONAQ_070_045",31,5.2,4.5,"",""
"ONAQ_070_156",31,6.7,13.5,"",""
"ONAQ_070_103",31,16.2,7.5,"",""
"ONAQ_070_188",31,4.7,16.5,"",""
"ONAQ_070_092",31,10.7,7.5,"",""
"ONAQ_070_192",31,6.7,16.5,"",""
"ONAQ_070_051",31,8.2,4.5,"",""
"ONAQ_070_137",31,15.2,10.5,"",""
"ONAQ_070_046",31,5.7,4.5,"",""
"ONAQ_070_197",31,9.2,16.5,"",""
"ONAQ_070_038",31,1.7,4.5,"",""
"ONAQ_070_069",31,17.2,4.5,"",""
"ONAQ_070_101",31,15.2,7.5,"",""
"ONAQ_070_123",31,8.2,10.5,"",""
"ONAQ_070_121",31,7.2,10.5,"",""
"ONAQ_070_135",31,14.2,10.5,"",""
"ONAQ_070_016",31,8.7,1.5,"",""
"ONAQ_070_206",31,13.7,16.5,"",""
"ONAQ_070_178",31,17.7,13.5,"",""
"ONAQ_070_176",31,16.7,13.5,"",""
"ONAQ_070_080",31,4.7,7.5,"",""
"ONAQ_070_136",31,14.7,10.5,"",""
"ONAQ_070_173",31,15.2,13.5,"",""
"ONAQ_070_049",31,7.2,4.5,"",""
"ONAQ_070_116",31,4.7,10.5,"",""
"ONAQ_070_068",31,16.7,4.5,"",""
"ONAQ_070_063",31,14.2,4.5,"",""
"ONAQ_070_079",31,4.2,7.5,"",""
"ONAQ_070_144",31,18.7,10.5,"",""
"ONAQ_070_058",31,11.7,4.5,"",""
"ONAQ_070_073",31,1.2,7.5,"",""
"ONAQ_070_199",31,10.2,16.5,"",""
"ONAQ_070_006",31,3.7,1.5,"",""
"ONAQ_070_024",31,12.7,1.5,"",""
"ONAQ_070_164",31,10.7,13.5,"",""
"ONAQ_070_009",31,5.2,1.5,"",""
"ONAQ_070_098",31,13.7,7.5,"",""
"ONAQ_070_012",31,6.7,1.5,"",""
"ONAQ_070_100",31,14.7,7.5,"",""
"ONAQ_070_056",31,10.7,4.5,"",""
"ONAQ_070_154",31,5.7,13.5,"",""
"ONAQ_070_018",31,9.7,1.5,"",""
"ONAQ_070_198",31,9.7,16.5,"",""
"ONAQ_070_148",31,2.7,13.5,"",""
"ONAQ_070_147",31,2.2,13.5,"",""
"ONAQ_070_077",31,3.2,7.5,"",""
"ONAQ_070_165",31,11.2,13.5,"",""
"ONAQ_070_124",31,8.7,10.5,"",""
"ONAQ_070_168",31,12.7,13.5,"",""
"ONAQ_070_099",31,14.2,7.5,"",""
"ONAQ_070_021",31,11.2,1.5,"",""
"ONAQ_070_037",31,1.2,4.5,"",""
"ONAQ_070_075",31,2.2,7.5,"",""
"ONAQ_070_149",31,3.2,13.5,"",""
"ONAQ_070_066",31,15.7,4.5,"",""
"ONAQ_070_095",31,12.2,7.5,"",""
"ONAQ_070_067",31,16.2,4.5,"",""
"ONAQ_070_120",31,6.7,10.5,"",""
"ONAQ_070_157",31,7.2,13.5,"",""
"ONAQ_070_119",31,6.2,10.5,"",""
"ONAQ_070_044",31,4.7,4.5,"",""
"ONAQ_070_102",31,15.7,7.5,"",""
"ONAQ_070_155",31,6.2,13.5,"",""
"ONAQ_070_180",31,18.7,13.5,"",""
"ONAQ_070_019",31,10.2,1.5,"",""
"ONAQ_070_007",31,4.2,1.5,"",""
"ONAQ_070_161",31,9.2,13.5,"",""
"ONAQ_070_076",31,2.7,7.5,"",""
"ONAQ_070_023",31,12.2,1.5,"",""
"ONAQ_070_027",31,14.2,1.5,"",""
"ONAQ_070_062",31,13.7,4.5,"",""
"ONAQ_070_097",31,13.2,7.5,"",""
"ONAQ_070_117",31,5.2,10.5,"",""
"ONAQ_070_015",31,8.2,1.5,"",""
"ONAQ_070_054",31,9.7,4.5,"",""
"ONAQ_070_177",31,17.2,13.5,"",""
"ONAQ_070_031",31,16.2,1.5,"",""
"ONAQ_070_194",31,7.7,16.5,"",""
"ONAQ_070_013",31,7.2,1.5,"",""
"ONAQ_070_172",31,14.7,13.5,"",""
"ONAQ_070_078",31,3.7,7.5,"",""
"ONAQ_070_118",31,5.7,10.5,"",""
"ONAQ_070_193",31,7.2,16.5,"",""
"ONAQ_070_048",31,6.7,4.5,"",""
"ONAQ_070_060",31,12.7,4.5,"",""
"ONAQ_070_142",31,17.7,10.5,"",""
"ONAQ_070_026",31,13.7,1.5,"",""
"ONAQ_070_134",31,13.7,10.5,"",""
"ONAQ_070_093",31,11.2,7.5,"",""
"ONAQ_070_160",31,8.7,13.5,"",""
"ONAQ_070_064",31,14.7,4.5,"",""
"ONAQ_070_082",31,5.7,7.5,"",""
"ONAQ_070_072",31,18.7,4.5,"",""
"ONAQ_070_114",31,3.7,10.5,"",""
"ONAQ_070_008",31,4.7,1.5,"",""
"ONAQ_070_043",31,4.2,4.5,"",""
"ONAQ_070_191",31,6.2,16.5,"",""
"ONAQ_070_028",31,14.7,1.5,"",""
"ONAQ_070_208",31,14.7,16.5,"",""
"ONAQ_070_096",31,12.7,7.5,"",""
"ONAQ_070_126",31,9.7,10.5,"",""
"ONAQ_070_150",31,3.7,13.5,"",""
"ONAQ_070_203",31,12.2,16.5,"",""
"ONAQ_070_055",31,10.2,4.5,"",""
"ONAQ_070_195",31,8.2,16.5,"",""
"ONAQ_070_211",31,16.2,16.5,"",""
"ONAQ_070_166",31,11.7,13.5,"",""
"ONAQ_070_025",31,13.2,1.5,"",""
"ONAQ_070_061",31,13.2,4.5,"",""
"ONAQ_070_153",31,5.2,13.5,"",""
"ONAQ_070_122",31,7.7,10.5,"",""
"ONAQ_070_170",31,13.7,13.5,"",""
"ONAQ_070_146",31,1.7,13.5,"",""
"ONAQ_070_209",31,15.2,16.5,"",""
"ONAQ_070_167",31,12.2,13.5,"",""
"ONAQ_070_083",31,6.2,7.5,"",""
"ONAQ_070_174",31,15.7,13.5,"",""
"ONAQ_070_022",31,11.7,1.5,"",""
"ONAQ_070_139",31,16.2,10.5,"",""
"ONAQ_070_042",31,3.7,4.5,"",""
"ONAQ_070_204",31,12.7,16.5,"",""
"ONAQ_070_030",31,15.7,1.5,"",""
"ONAQ_070_200",31,10.7,16.5,"",""
"ONAQ_070_179",31,18.2,13.5,"",""
"ONAQ_070_014",31,7.7,1.5,"",""
"ONAQ_070_159",31,8.2,13.5,"",""
"ONAQ_070_162",31,9.7,13.5,"",""
"ONAQ_070_017",31,9.2,1.5,"",""
"ONAQ_070_052",31,8.7,4.5,"",""
"ONAQ_070_201",31,11.2,16.5,"",""
"ONAQ_070_074",31,1.7,7.5,"",""
"ONAQ_070_158",31,7.7,13.5,"",""
"ONAQ_070_081",31,5.2,7.5,"",""
"ONAQ_070_010",31,5.7,1.5,"",""
"ONAQ_070_141",31,17.2,10.5,"",""
"ONAQ_070_059",31,12.2,4.5,"",""
"ONAQ_070_210",31,15.7,16.5,"",""
"ONAQ_070_207",31,14.2,16.5,"",""
"ONAQ_070_175",31,16.2,13.5,"",""
"ONAQ_070_205",31,13.2,16.5,"",""
"ONAQ_070_039",31,2.2,4.5,"",""
"ONAQ_070_071",31,18.2,4.5,"",""
"ONAQ_070_070",31,17.7,4.5,"",""
"ONAQ_070_029",31,15.2,1.5,"",""
"ONAQ_070_152",31,4.7,13.5,"",""
"ONAQ_070_047",31,6.2,4.5,"",""
"ONAQ_070_040",31,2.7,4.5,"",""
