"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"SCBI_035_135",31,14.2,10.5,"",""
"SCBI_035_162",31,9.7,13.5,"",""
"SCBI_035_031",31,16.2,1.5,"",""
"SCBI_035_203",31,12.2,16.5,"",""
"SCBI_035_091",31,10.2,7.5,"",""
"SCBI_035_059",31,12.2,4.5,"",""
"SCBI_035_115",31,4.2,10.5,"",""
"SCBI_035_095",31,12.2,7.5,"",""
"SCBI_035_099",31,14.2,7.5,"",""
"SCBI_035_082",31,5.7,7.5,"",""
"SCBI_035_177",31,17.2,13.5,"",""
"SCBI_035_093",31,11.2,7.5,"",""
"SCBI_035_008",31,4.7,1.5,"",""
"SCBI_035_180",31,18.7,13.5,"",""
"SCBI_035_078",31,3.7,7.5,"",""
"SCBI_035_209",31,15.2,16.5,"",""
"SCBI_035_070",31,17.7,4.5,"",""
"SCBI_035_140",31,16.7,10.5,"",""
"SCBI_035_189",31,5.2,16.5,"",""
"SCBI_035_137",31,15.2,10.5,"",""
"SCBI_035_207",31,14.2,16.5,"",""
"SCBI_035_124",31,8.7,10.5,"",""
"SCBI_035_102",31,15.7,7.5,"",""
"SCBI_035_094",31,11.7,7.5,"",""
"SCBI_035_196",31,8.7,16.5,"",""
"SCBI_035_122",31,7.7,10.5,"",""
"SCBI_035_081",31,5.2,7.5,"",""
"SCBI_035_186",31,3.7,16.5,"",""
"SCBI_035_118",31,5.7,10.5,"",""
"SCBI_035_013",31,7.2,1.5,"",""
"SCBI_035_043",31,4.2,4.5,"",""
"SCBI_035_048",31,6.7,4.5,"",""
"SCBI_035_038",31,1.7,4.5,"",""
"SCBI_035_134",31,13.7,10.5,"",""
"SCBI_035_092",31,10.7,7.5,"",""
"SCBI_035_050",31,7.7,4.5,"",""
"SCBI_035_176",31,16.7,13.5,"",""
"SCBI_035_123",31,8.2,10.5,"",""
"SCBI_035_052",31,8.7,4.5,"",""
"SCBI_035_060",31,12.7,4.5,"",""
