"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"UKFS_031_762",41,6.7,1.5,"",""
"UKFS_031_766",41,8.7,1.5,"",""
"UKFS_031_847",41,13.2,7.5,"",""
"UKFS_031_920",41,13.7,13.5,"",""
"UKFS_031_781",41,16.2,1.5,"",""
"UKFS_031_844",41,11.7,7.5,"",""
"UKFS_031_779",41,15.2,1.5,"",""
"UKFS_031_784",41,17.7,1.5,"",""
"UKFS_031_925",41,16.2,13.5,"",""
"UKFS_031_782",41,16.7,1.5,"",""
"UKFS_031_818",41,16.7,4.5,"",""
"UKFS_031_829",41,4.2,7.5,"",""
"UKFS_031_802",41,8.7,4.5,"",""
"UKFS_031_785",41,18.2,1.5,"",""
"UKFS_031_813",41,14.2,4.5,"",""
"UKFS_031_948",41,9.7,16.5,"",""
"UKFS_031_957",41,14.2,16.5,"",""
"UKFS_031_792",41,3.7,4.5,"",""
"UKFS_031_794",41,4.7,4.5,"",""
"UKFS_031_851",41,15.2,7.5,"",""
"UKFS_031_921",41,14.2,13.5,"",""
"UKFS_031_897",41,2.2,13.5,"",""
"UKFS_031_910",41,8.7,13.5,"",""
"UKFS_031_900",41,3.7,13.5,"",""
"UKFS_031_800",41,7.7,4.5,"",""
"UKFS_031_859",41,1.2,10.5,"",""
"UKFS_031_880",41,11.7,10.5,"",""
"UKFS_031_758",41,4.7,1.5,"",""
"UKFS_031_888",41,15.7,10.5,"",""
"UKFS_031_795",41,5.2,4.5,"",""
"UKFS_031_849",41,14.2,7.5,"",""
"UKFS_031_931",41,1.2,16.5,"",""
"UKFS_031_953",41,12.2,16.5,"",""
"UKFS_031_783",41,17.2,1.5,"",""
"UKFS_031_805",41,10.2,4.5,"",""
"UKFS_031_872",41,7.7,10.5,"",""
"UKFS_031_864",41,3.7,10.5,"",""
"UKFS_031_943",41,7.2,16.5,"",""
"UKFS_031_887",41,15.2,10.5,"",""
"UKFS_031_893",41,18.2,10.5,"",""
"UKFS_031_852",41,15.7,7.5,"",""
"UKFS_031_797",41,6.2,4.5,"",""
"UKFS_031_870",41,6.7,10.5,"",""
