"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"WOOD_071_096",31,12.7,7.5,"",""
"WOOD_071_209",31,15.2,16.5,"",""
"WOOD_071_041",31,3.2,4.5,"",""
"WOOD_071_169",31,13.2,13.5,"",""
"WOOD_071_071",31,18.2,4.5,"",""
"WOOD_071_056",31,10.7,4.5,"",""
"WOOD_071_007",31,4.2,1.5,"",""
"WOOD_071_155",31,6.2,13.5,"",""
"WOOD_071_147",31,2.2,13.5,"",""
"WOOD_071_055",31,10.2,4.5,"",""
"WOOD_071_073",31,1.2,7.5,"",""
"WOOD_071_010",31,5.7,1.5,"",""
"WOOD_071_156",31,6.7,13.5,"",""
"WOOD_071_093",31,11.2,7.5,"",""
"WOOD_071_174",31,15.7,13.5,"",""
"WOOD_071_066",31,15.7,4.5,"",""
"WOOD_071_192",31,6.7,16.5,"",""
"WOOD_071_151",31,4.2,13.5,"",""
"WOOD_071_051",31,8.2,4.5,"",""
"WOOD_071_203",31,12.2,16.5,"",""
"WOOD_071_038",31,1.7,4.5,"",""
"WOOD_071_193",31,7.2,16.5,"",""
"WOOD_071_078",31,3.7,7.5,"",""
"WOOD_071_060",31,12.7,4.5,"",""
"WOOD_071_016",31,8.7,1.5,"",""
"WOOD_071_125",31,9.2,10.5,"",""
"WOOD_071_152",31,4.7,13.5,"",""
"WOOD_071_094",31,11.7,7.5,"",""
"WOOD_071_042",31,3.7,4.5,"",""
"WOOD_071_200",31,10.7,16.5,"",""
"WOOD_071_161",31,9.2,13.5,"",""
"WOOD_071_148",31,2.7,13.5,"",""
"WOOD_071_140",31,16.7,10.5,"",""
"WOOD_071_101",31,15.2,7.5,"",""
"WOOD_071_116",31,4.7,10.5,"",""
"WOOD_071_145",31,1.2,13.5,"",""
"WOOD_071_075",31,2.2,7.5,"",""
"WOOD_071_074",31,1.7,7.5,"",""
"WOOD_071_168",31,12.7,13.5,"",""
"WOOD_071_025",31,13.2,1.5,"",""
"WOOD_071_097",31,13.2,7.5,"",""
"WOOD_071_159",31,8.2,13.5,"",""
"WOOD_071_070",31,17.7,4.5,"",""
"WOOD_071_117",31,5.2,10.5,"",""
"WOOD_071_177",31,17.2,13.5,"",""
"WOOD_071_061",31,13.2,4.5,"",""
"WOOD_071_199",31,10.2,16.5,"",""
"WOOD_071_067",31,16.2,4.5,"",""
"WOOD_071_160",31,8.7,13.5,"",""
"WOOD_071_205",31,13.2,16.5,"",""
"WOOD_071_118",31,5.7,10.5,"",""
"WOOD_071_176",31,16.7,13.5,"",""
"WOOD_071_065",31,15.2,4.5,"",""
"WOOD_071_029",31,15.2,1.5,"",""
"WOOD_071_043",31,4.2,4.5,"",""
"WOOD_071_195",31,8.2,16.5,"",""
"WOOD_071_157",31,7.2,13.5,"",""
"WOOD_071_045",31,5.2,4.5,"",""
"WOOD_071_139",31,16.2,10.5,"",""
"WOOD_071_190",31,5.7,16.5,"",""
"WOOD_071_069",31,17.2,4.5,"",""
"WOOD_071_146",31,1.7,13.5,"",""
"WOOD_071_137",31,15.2,10.5,"",""
"WOOD_071_114",31,3.7,10.5,"",""
"WOOD_071_062",31,13.7,4.5,"",""
"WOOD_071_158",31,7.7,13.5,"",""
"WOOD_071_009",31,5.2,1.5,"",""
"WOOD_071_072",31,18.7,4.5,"",""
"WOOD_071_136",31,14.7,10.5,"",""
"WOOD_071_119",31,6.2,10.5,"",""
"WOOD_071_014",31,7.7,1.5,"",""
"WOOD_071_015",31,8.2,1.5,"",""
"WOOD_071_031",31,16.2,1.5,"",""
"WOOD_071_091",31,10.2,7.5,"",""
"WOOD_071_026",31,13.7,1.5,"",""
"WOOD_071_023",31,12.2,1.5,"",""
"WOOD_071_024",31,12.7,1.5,"",""
"WOOD_071_189",31,5.2,16.5,"",""
"WOOD_071_134",31,13.7,10.5,"",""
"WOOD_071_163",31,10.2,13.5,"",""
"WOOD_071_115",31,4.2,10.5,"",""
"WOOD_071_167",31,12.2,13.5,"",""
"WOOD_071_102",31,15.7,7.5,"",""
"WOOD_071_124",31,8.7,10.5,"",""
"WOOD_071_040",31,2.7,4.5,"",""
"WOOD_071_141",31,17.2,10.5,"",""
"WOOD_071_012",31,6.7,1.5,"",""
"WOOD_071_202",31,11.7,16.5,"",""
"WOOD_071_162",31,9.7,13.5,"",""
"WOOD_071_173",31,15.2,13.5,"",""
"WOOD_071_150",31,3.7,13.5,"",""
"WOOD_071_142",31,17.7,10.5,"",""
"WOOD_071_020",31,10.7,1.5,"",""
"WOOD_071_068",31,16.7,4.5,"",""
"WOOD_071_165",31,11.2,13.5,"",""
"WOOD_071_028",31,14.7,1.5,"",""
"WOOD_071_166",31,11.7,13.5,"",""
"WOOD_071_083",31,6.2,7.5,"",""
"WOOD_071_044",31,4.7,4.5,"",""
"WOOD_071_011",31,6.2,1.5,"",""
"WOOD_071_081",31,5.2,7.5,"",""
"WOOD_071_154",31,5.7,13.5,"",""
"WOOD_071_164",31,10.7,13.5,"",""
"WOOD_071_022",31,11.7,1.5,"",""
"WOOD_071_037",31,1.2,4.5,"",""
"WOOD_071_006",31,3.7,1.5,"",""
"WOOD_071_196",31,8.7,16.5,"",""
"WOOD_071_208",31,14.7,16.5,"",""
"WOOD_071_191",31,6.2,16.5,"",""
"WOOD_071_092",31,10.7,7.5,"",""
"WOOD_071_123",31,8.2,10.5,"",""
"WOOD_071_049",31,7.2,4.5,"",""
"WOOD_071_039",31,2.2,4.5,"",""
"WOOD_071_188",31,4.7,16.5,"",""
"WOOD_071_171",31,14.2,13.5,"",""
"WOOD_071_077",31,3.2,7.5,"",""
"WOOD_071_138",31,15.7,10.5,"",""
"WOOD_071_204",31,12.7,16.5,"",""
"WOOD_071_018",31,9.7,1.5,"",""
"WOOD_071_187",31,4.2,16.5,"",""
"WOOD_071_059",31,12.2,4.5,"",""
"WOOD_071_027",31,14.2,1.5,"",""
"WOOD_071_013",31,7.2,1.5,"",""
"WOOD_071_178",31,17.7,13.5,"",""
"WOOD_071_008",31,4.7,1.5,"",""
"WOOD_071_046",31,5.7,4.5,"",""
"WOOD_071_063",31,14.2,4.5,"",""
"WOOD_071_120",31,6.7,10.5,"",""
"WOOD_071_021",31,11.2,1.5,"",""
"WOOD_071_052",31,8.7,4.5,"",""
"WOOD_071_197",31,9.2,16.5,"",""
"WOOD_071_207",31,14.2,16.5,"",""
