"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"ABBY_011_015",31,8.2,1.5,"",""
"ABBY_011_099",31,14.2,7.5,"",""
"ABBY_011_049",31,7.2,4.5,"",""
"ABBY_011_176",31,16.7,13.5,"",""
"ABBY_011_117",31,5.2,10.5,"",""
"ABBY_011_199",31,10.2,16.5,"",""
"ABBY_011_030",31,15.7,1.5,"",""
"ABBY_011_082",31,5.7,7.5,"",""
"ABBY_011_038",31,1.7,4.5,"",""
"ABBY_011_120",31,6.7,10.5,"",""
"ABBY_011_198",31,9.7,16.5,"",""
"ABBY_011_008",31,4.7,1.5,"",""
"ABBY_011_077",31,3.2,7.5,"",""
"ABBY_011_169",31,13.2,13.5,"",""
"ABBY_011_209",31,15.2,16.5,"",""
"ABBY_011_018",31,9.7,1.5,"",""
"ABBY_011_114",31,3.7,10.5,"",""
"ABBY_011_125",31,9.2,10.5,"",""
"ABBY_011_061",31,13.2,4.5,"",""
"ABBY_011_025",31,13.2,1.5,"",""
"ABBY_011_046",31,5.7,4.5,"",""
"ABBY_011_078",31,3.7,7.5,"",""
"ABBY_011_160",31,8.7,13.5,"",""
"ABBY_011_068",31,16.7,4.5,"",""
"ABBY_011_029",31,15.2,1.5,"",""
"ABBY_011_208",31,14.7,16.5,"",""
"ABBY_011_058",31,11.7,4.5,"",""
"ABBY_011_202",31,11.7,16.5,"",""
"ABBY_011_189",31,5.2,16.5,"",""
"ABBY_011_091",31,10.2,7.5,"",""
"ABBY_011_177",31,17.2,13.5,"",""
"ABBY_011_052",31,8.7,4.5,"",""
"ABBY_011_134",31,13.7,10.5,"",""
"ABBY_011_023",31,12.2,1.5,"",""
"ABBY_011_066",31,15.7,4.5,"",""
"ABBY_011_037",31,1.2,4.5,"",""
"ABBY_011_206",31,13.7,16.5,"",""
"ABBY_011_016",31,8.7,1.5,"",""
"ABBY_011_010",31,5.7,1.5,"",""
"ABBY_011_136",31,14.7,10.5,"",""
"ABBY_011_028",31,14.7,1.5,"",""
"ABBY_011_044",31,4.7,4.5,"",""
"ABBY_011_017",31,9.2,1.5,"",""
"ABBY_011_072",31,18.7,4.5,"",""
"ABBY_011_019",31,10.2,1.5,"",""
"ABBY_011_138",31,15.7,10.5,"",""
"ABBY_011_119",31,6.2,10.5,"",""
"ABBY_011_180",31,18.7,13.5,"",""
"ABBY_011_194",31,7.7,16.5,"",""
"ABBY_011_164",31,10.7,13.5,"",""
"ABBY_011_095",31,12.2,7.5,"",""
"ABBY_011_043",31,4.2,4.5,"",""
"ABBY_011_211",31,16.2,16.5,"",""
"ABBY_011_009",31,5.2,1.5,"",""
"ABBY_011_172",31,14.7,13.5,"",""
"ABBY_011_039",31,2.2,4.5,"",""
"ABBY_011_083",31,6.2,7.5,"",""
"ABBY_011_145",31,1.2,13.5,"",""
"ABBY_011_190",31,5.7,16.5,"",""
"ABBY_011_014",31,7.7,1.5,"",""
"ABBY_011_115",31,4.2,10.5,"",""
"ABBY_011_103",31,16.2,7.5,"",""
"ABBY_011_187",31,4.2,16.5,"",""
"ABBY_011_101",31,15.2,7.5,"",""
"ABBY_011_094",31,11.7,7.5,"",""
"ABBY_011_067",31,16.2,4.5,"",""
"ABBY_011_042",31,3.7,4.5,"",""
"ABBY_011_204",31,12.7,16.5,"",""
"ABBY_011_156",31,6.7,13.5,"",""
"ABBY_011_121",31,7.2,10.5,"",""
"ABBY_011_098",31,13.7,7.5,"",""
"ABBY_011_153",31,5.2,13.5,"",""
"ABBY_011_065",31,15.2,4.5,"",""
"ABBY_011_162",31,9.7,13.5,"",""
"ABBY_011_195",31,8.2,16.5,"",""
"ABBY_011_193",31,7.2,16.5,"",""
"ABBY_011_168",31,12.7,13.5,"",""
"ABBY_011_027",31,14.2,1.5,"",""
"ABBY_011_203",31,12.2,16.5,"",""
"ABBY_011_142",31,17.7,10.5,"",""
"ABBY_011_051",31,8.2,4.5,"",""
"ABBY_011_059",31,12.2,4.5,"",""
"ABBY_011_075",31,2.2,7.5,"",""
"ABBY_011_146",31,1.7,13.5,"",""
"ABBY_011_057",31,11.2,4.5,"",""
"ABBY_011_050",31,7.7,4.5,"",""
