"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"ABBY_068_076",21,2.7,7.5,"",""
"ABBY_068_155",21,6.2,13.5,"",""
"ABBY_068_158",21,7.7,13.5,"",""
"ABBY_068_095",21,12.2,7.5,"",""
"ABBY_068_026",21,13.7,1.5,"",""
"ABBY_068_186",21,3.7,16.5,"",""
"ABBY_068_033",21,17.2,1.5,"",""
"ABBY_068_048",21,6.7,4.5,"",""
"ABBY_068_181",21,1.2,16.5,"",""
"ABBY_068_167",21,12.2,13.5,"",""
"ABBY_068_173",21,15.2,13.5,"",""
"ABBY_068_041",21,3.2,4.5,"",""
"ABBY_068_050",21,7.7,4.5,"",""
"ABBY_068_188",21,4.7,16.5,"",""
"ABBY_068_045",21,5.2,4.5,"",""
"ABBY_068_108",21,18.7,7.5,"",""
"ABBY_068_175",21,16.2,13.5,"",""
"ABBY_068_189",21,5.2,16.5,"",""
"ABBY_068_052",21,8.7,4.5,"",""
"ABBY_068_075",21,2.2,7.5,"",""
"ABBY_068_122",21,7.7,10.5,"",""
"ABBY_068_032",21,16.7,1.5,"",""
"ABBY_068_185",21,3.2,16.5,"",""
"ABBY_068_116",21,4.7,10.5,"",""
"ABBY_068_018",21,9.7,1.5,"",""
"ABBY_068_053",21,9.2,4.5,"",""
"ABBY_068_016",21,8.7,1.5,"",""
"ABBY_068_056",21,10.7,4.5,"",""
"ABBY_068_069",21,17.2,4.5,"",""
"ABBY_068_124",21,8.7,10.5,"",""
"ABBY_068_191",21,6.2,16.5,"",""
"ABBY_068_096",21,12.7,7.5,"",""
"ABBY_068_070",21,17.7,4.5,"",""
"ABBY_068_071",21,18.2,4.5,"",""
"ABBY_068_139",21,16.2,10.5,"",""
"ABBY_068_144",21,18.7,10.5,"",""
"ABBY_068_200",21,10.7,16.5,"",""
"ABBY_068_174",21,15.7,13.5,"",""
"ABBY_068_072",21,18.7,4.5,"",""
"ABBY_068_145",21,1.2,13.5,"",""
"ABBY_068_198",21,9.7,16.5,"",""
"ABBY_068_082",21,5.7,7.5,"",""
"ABBY_068_105",21,17.2,7.5,"",""
"ABBY_068_136",21,14.7,10.5,"",""
"ABBY_068_106",21,17.7,7.5,"",""
"ABBY_068_073",21,1.2,7.5,"",""
"ABBY_068_101",21,15.2,7.5,"",""
"ABBY_068_176",21,16.7,13.5,"",""
"ABBY_068_183",21,2.2,16.5,"",""
"ABBY_068_171",21,14.2,13.5,"",""
"ABBY_068_021",21,11.2,1.5,"",""
"ABBY_068_031",21,16.2,1.5,"",""
"ABBY_068_170",21,13.7,13.5,"",""
"ABBY_068_077",21,3.2,7.5,"",""
"ABBY_068_192",21,6.7,16.5,"",""
"ABBY_068_184",21,2.7,16.5,"",""
"ABBY_068_068",21,16.7,4.5,"",""
"ABBY_068_029",21,15.2,1.5,"",""
"ABBY_068_104",21,16.7,7.5,"",""
"ABBY_068_172",21,14.7,13.5,"",""
"ABBY_068_202",21,11.7,16.5,"",""
"ABBY_068_099",21,14.2,7.5,"",""
"ABBY_068_138",21,15.7,10.5,"",""
"ABBY_068_196",21,8.7,16.5,"",""
"ABBY_068_156",21,6.7,13.5,"",""
"ABBY_068_141",21,17.2,10.5,"",""
"ABBY_068_049",21,7.2,4.5,"",""
"ABBY_068_022",21,11.7,1.5,"",""
