"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"BART_074_555",39,10.2,4.5,"",""
"BART_074_574",39,1.7,7.5,"",""
"BART_074_569",39,17.2,4.5,"",""
"BART_074_668",39,12.7,13.5,"",""
"BART_074_660",39,8.7,13.5,"",""
"BART_074_607",39,18.2,7.5,"",""
"BART_074_553",39,9.2,4.5,"",""
"BART_074_696",39,8.7,16.5,"",""
"BART_074_658",39,7.7,13.5,"",""
"BART_074_601",39,15.2,7.5,"",""
"BART_074_633",39,13.2,10.5,"",""
"BART_074_687",39,4.2,16.5,"",""
"BART_074_614",39,3.7,10.5,"",""
"BART_074_695",39,8.2,16.5,"",""
"BART_074_563",39,14.2,4.5,"",""
"BART_074_636",39,14.7,10.5,"",""
"BART_074_677",39,17.2,13.5,"",""
"BART_074_546",39,5.7,4.5,"",""
"BART_074_692",39,6.7,16.5,"",""
"BART_074_705",39,13.2,16.5,"",""
"BART_074_541",39,3.2,4.5,"",""
"BART_074_506",39,3.7,1.5,"",""
"BART_074_558",39,11.7,4.5,"",""
"BART_074_713",39,17.2,16.5,"",""
"BART_074_526",39,13.7,1.5,"",""
"BART_074_551",39,8.2,4.5,"",""
"BART_074_578",39,3.7,7.5,"",""
"BART_074_561",39,13.2,4.5,"",""
"BART_074_646",39,1.7,13.5,"",""
"BART_074_573",39,1.2,7.5,"",""
"BART_074_635",39,14.2,10.5,"",""
"BART_074_605",39,17.2,7.5,"",""
"BART_074_711",39,16.2,16.5,"",""
"BART_074_619",39,6.2,10.5,"",""
"BART_074_652",39,4.7,13.5,"",""
"BART_074_657",39,7.2,13.5,"",""
"BART_074_656",39,6.7,13.5,"",""
"BART_074_651",39,4.2,13.5,"",""
"BART_074_550",39,7.7,4.5,"",""
"BART_074_549",39,7.2,4.5,"",""
"BART_074_575",39,2.2,7.5,"",""
"BART_074_548",39,6.7,4.5,"",""
"BART_074_597",39,13.2,7.5,"",""
"BART_074_543",39,4.2,4.5,"",""
"BART_074_509",39,5.2,1.5,"",""
"BART_074_566",39,15.7,4.5,"",""
"BART_074_515",39,8.2,1.5,"",""
"BART_074_572",39,18.7,4.5,"",""
"BART_074_514",39,7.7,1.5,"",""
"BART_074_649",39,3.2,13.5,"",""
"BART_074_611",39,2.2,10.5,"",""
"BART_074_528",39,14.7,1.5,"",""
"BART_074_634",39,13.7,10.5,"",""
"BART_074_678",39,17.7,13.5,"",""
"BART_074_716",39,18.7,16.5,"",""
"BART_074_564",39,14.7,4.5,"",""
"BART_074_571",39,18.2,4.5,"",""
"BART_074_508",39,4.7,1.5,"",""
"BART_074_620",39,6.7,10.5,"",""
"BART_074_694",39,7.7,16.5,"",""
"BART_074_538",39,1.7,4.5,"",""
"BART_074_602",39,15.7,7.5,"",""
"BART_074_650",39,3.7,13.5,"",""
"BART_074_616",39,4.7,10.5,"",""
"BART_074_516",39,8.7,1.5,"",""
"BART_074_709",39,15.2,16.5,"",""
"BART_074_542",39,3.7,4.5,"",""
"BART_074_545",39,5.2,4.5,"",""
"BART_074_670",39,13.7,13.5,"",""
"BART_074_527",39,14.2,1.5,"",""
"BART_074_640",39,16.7,10.5,"",""
"BART_074_624",39,8.7,10.5,"",""
"BART_074_585",39,7.2,7.5,"",""
"BART_074_599",39,14.2,7.5,"",""
"BART_074_588",39,8.7,7.5,"",""
"BART_074_623",39,8.2,10.5,"",""
"BART_074_539",39,2.2,4.5,"",""
"BART_074_580",39,4.7,7.5,"",""
"BART_074_715",39,18.2,16.5,"",""
"BART_074_568",39,16.7,4.5,"",""
"BART_074_600",39,14.7,7.5,"",""
"BART_074_714",39,17.7,16.5,"",""
"BART_074_603",39,16.2,7.5,"",""
"BART_074_622",39,7.7,10.5,"",""
"BART_074_547",39,6.2,4.5,"",""
"BART_074_540",39,2.7,4.5,"",""
"BART_074_703",39,12.2,16.5,"",""
"BART_074_691",39,6.2,16.5,"",""
"BART_074_662",39,9.7,13.5,"",""
"BART_074_693",39,7.2,16.5,"",""
"BART_074_565",39,15.2,4.5,"",""
"BART_074_680",39,18.7,13.5,"",""
"BART_074_665",39,11.2,13.5,"",""
"BART_074_697",39,9.2,16.5,"",""
"BART_074_645",39,1.2,13.5,"",""
"BART_074_632",39,12.7,10.5,"",""
"BART_074_654",39,5.7,13.5,"",""
"BART_074_529",39,15.2,1.5,"",""
"BART_074_598",39,13.7,7.5,"",""
"BART_074_581",39,5.2,7.5,"",""
"BART_074_631",39,12.2,10.5,"",""
"BART_074_618",39,5.7,10.5,"",""
"BART_074_648",39,2.7,13.5,"",""
"BART_074_579",39,4.2,7.5,"",""
"BART_074_617",39,5.2,10.5,"",""
"BART_074_544",39,4.7,4.5,"",""
"BART_074_511",39,6.2,1.5,"",""
"BART_074_596",39,12.7,7.5,"",""
"BART_074_523",39,12.2,1.5,"",""
"BART_074_610",39,1.7,10.5,"",""
"BART_074_559",39,12.2,4.5,"",""
"BART_074_643",39,18.2,10.5,"",""
"BART_074_701",39,11.2,16.5,"",""
"BART_074_595",39,12.2,7.5,"",""
"BART_074_699",39,10.2,16.5,"",""
"BART_074_706",39,13.7,16.5,"",""
"BART_074_653",39,5.2,13.5,"",""
"BART_074_560",39,12.7,4.5,"",""
"BART_074_707",39,14.2,16.5,"",""
"BART_074_664",39,10.7,13.5,"",""
"BART_074_659",39,8.2,13.5,"",""
"BART_074_556",39,10.7,4.5,"",""
"BART_074_673",39,15.2,13.5,"",""
"BART_074_567",39,16.2,4.5,"",""
"BART_074_570",39,17.7,4.5,"",""
"BART_074_669",39,13.2,13.5,"",""
"BART_074_641",39,17.2,10.5,"",""
"BART_074_576",39,2.7,7.5,"",""
"BART_074_513",39,7.2,1.5,"",""
"BART_074_531",39,16.2,1.5,"",""
"BART_074_552",39,8.7,4.5,"",""
"BART_074_674",39,15.7,13.5,"",""
"BART_074_666",39,11.7,13.5,"",""
"BART_074_679",39,18.2,13.5,"",""
"BART_074_710",39,15.7,16.5,"",""
"BART_074_698",39,9.7,16.5,"",""
"BART_074_586",39,7.7,7.5,"",""
"BART_074_644",39,18.7,10.5,"",""
"BART_074_708",39,14.7,16.5,"",""
"BART_074_638",39,15.7,10.5,"",""
"BART_074_655",39,6.2,13.5,"",""
"BART_074_615",39,4.2,10.5,"",""
"BART_074_612",39,2.7,10.5,"",""
"BART_074_537",39,1.2,4.5,"",""
"BART_074_686",39,3.7,16.5,"",""
"BART_074_608",39,18.7,7.5,"",""
"BART_074_667",39,12.2,13.5,"",""
"BART_074_613",39,3.2,10.5,"",""
"BART_074_642",39,17.7,10.5,"",""
"BART_074_639",39,16.2,10.5,"",""
"BART_074_704",39,12.7,16.5,"",""
"BART_074_676",39,16.7,13.5,"",""
"BART_074_604",39,16.7,7.5,"",""
"BART_074_587",39,8.2,7.5,"",""
"BART_074_530",39,15.7,1.5,"",""
