clipID,subplotID,offsetEasting,offsetNorthing,status,date
BLAN_059_189,31,5.2,16.5,1,20150514
BLAN_059_079,31,4.2,7.5,,
BLAN_059_006,31,3.7,1.5,,
BLAN_059_096,31,12.7,7.5,,
BLAN_059_101,31,15.2,7.5,,
BLAN_059_166,31,11.7,13.5,,
BLAN_059_201,31,11.2,16.5,,
BLAN_059_171,31,14.2,13.5,,
BLAN_059_137,31,15.2,10.5,,
BLAN_059_051,31,8.2,4.5,,
BLAN_059_076,31,2.7,7.5,,
BLAN_059_053,31,9.2,4.5,,
BLAN_059_078,31,3.7,7.5,,
BLAN_059_173,31,15.2,13.5,,
BLAN_059_081,31,5.2,7.5,,
BLAN_059_138,31,15.7,10.5,,
BLAN_059_141,31,17.2,10.5,,
BLAN_059_154,31,5.7,13.5,,
BLAN_059_082,31,5.7,7.5,,
BLAN_059_205,31,13.2,16.5,,
BLAN_059_156,31,6.7,13.5,,
BLAN_059_021,31,11.2,1.5,,
BLAN_059_143,31,18.2,10.5,,
BLAN_059_144,31,18.7,10.5,,
BLAN_059_069,31,17.2,4.5,,
BLAN_059_016,31,8.7,1.5,,
BLAN_059_153,31,5.2,13.5,,
BLAN_059_072,31,18.7,4.5,,
BLAN_059_125,31,9.2,10.5,,
BLAN_059_056,31,10.7,4.5,,
BLAN_059_050,31,7.7,4.5,,
BLAN_059_209,31,15.2,16.5,,
BLAN_059_009,31,5.2,1.5,,
BLAN_059_119,31,6.2,10.5,,
BLAN_059_024,31,12.7,1.5,,
BLAN_059_146,31,1.7,13.5,,
BLAN_059_064,31,14.7,4.5,,
BLAN_059_083,31,6.2,7.5,,
BLAN_059_120,31,6.7,10.5,,
BLAN_059_187,31,4.2,16.5,,
BLAN_059_151,31,4.2,13.5,,
BLAN_059_037,31,1.2,4.5,,
BLAN_059_094,31,11.7,7.5,,
BLAN_059_152,31,4.7,13.5,,
BLAN_059_014,31,7.7,1.5,,
BLAN_059_073,31,1.2,7.5,,
BLAN_059_161,31,9.2,13.5,,
BLAN_059_147,31,2.2,13.5,,
BLAN_059_049,31,7.2,4.5,,
BLAN_059_026,31,13.7,1.5,,
BLAN_059_203,31,12.2,16.5,,
BLAN_059_070,31,17.7,4.5,,
BLAN_059_198,31,9.7,16.5,,
BLAN_059_025,31,13.2,1.5,,
BLAN_059_193,31,7.2,16.5,,
BLAN_059_029,31,15.2,1.5,,
BLAN_059_060,31,12.7,4.5,,
BLAN_059_168,31,12.7,13.5,,
BLAN_059_169,31,13.2,13.5,,
BLAN_059_098,31,13.7,7.5,,
BLAN_059_007,31,4.2,1.5,,
BLAN_059_023,31,12.2,1.5,,
BLAN_059_200,31,10.7,16.5,,
BLAN_059_080,31,4.7,7.5,,
BLAN_059_197,31,9.2,16.5,,
BLAN_059_059,31,12.2,4.5,,
BLAN_059_192,31,6.7,16.5,,
BLAN_059_135,31,14.2,10.5,,
BLAN_059_163,31,10.2,13.5,,
BLAN_059_175,31,16.2,13.5,,
BLAN_059_180,31,18.7,13.5,,
BLAN_059_071,31,18.2,4.5,,
BLAN_059_145,31,1.2,13.5,,
BLAN_059_208,31,14.7,16.5,,
BLAN_059_160,31,8.7,13.5,,
BLAN_059_164,31,10.7,13.5,,
BLAN_059_058,31,11.7,4.5,,
BLAN_059_179,31,18.2,13.5,,
