clipID,subplotID,offsetEasting,offsetNorthing,status,date
DELA_038_078,21,3.7,7.5,A,20150723
DELA_038_167,21,12.2,13.5,,
DELA_038_149,21,3.2,13.5,,
DELA_038_024,21,12.7,1.5,,
DELA_038_019,21,10.2,1.5,A,20150813
DELA_038_087,21,8.2,7.5,A,20150813
DELA_038_008,21,4.7,1.5,,
DELA_038_044,21,4.7,4.5,,
DELA_038_150,21,3.7,13.5,,
DELA_038_073,21,1.2,7.5,,
DELA_038_166,21,11.7,13.5,,
DELA_038_204,21,12.7,16.5,,
DELA_038_110,21,1.7,10.5,,
DELA_038_056,21,10.7,4.5,,
DELA_038_065,21,15.2,4.5,,
DELA_038_028,21,14.7,1.5,,
DELA_038_100,21,14.7,7.5,,
DELA_038_155,21,6.2,13.5,,
DELA_038_152,21,4.7,13.5,,
DELA_038_211,21,16.2,16.5,,
DELA_038_006,21,3.7,1.5,,
DELA_038_173,21,15.2,13.5,,
DELA_038_051,21,8.2,4.5,,
DELA_038_189,21,5.2,16.5,,
DELA_038_071,21,18.2,4.5,,
DELA_038_208,21,14.7,16.5,,
DELA_038_141,21,17.2,10.5,,
DELA_038_121,21,7.2,10.5,,
DELA_038_096,21,12.7,7.5,,
DELA_038_139,21,16.2,10.5,,
DELA_038_172,21,14.7,13.5,,
DELA_038_011,21,6.2,1.5,,
DELA_038_061,21,13.2,4.5,,
DELA_038_074,21,1.7,7.5,,
DELA_038_118,21,5.7,10.5,,
DELA_038_203,21,12.2,16.5,,
DELA_038_119,21,6.2,10.5,,
DELA_038_031,21,16.2,1.5,,
DELA_038_040,21,2.7,4.5,,
DELA_038_049,21,7.2,4.5,,
DELA_038_210,21,15.7,16.5,,
DELA_038_164,21,10.7,13.5,,
DELA_038_081,21,5.2,7.5,,
DELA_038_178,21,17.7,13.5,,
DELA_038_123,21,8.2,10.5,,
DELA_038_134,21,13.7,10.5,,
DELA_038_135,21,14.2,10.5,,
DELA_038_136,21,14.7,10.5,,
DELA_038_077,21,3.2,7.5,,
DELA_038_182,21,1.7,16.5,,
DELA_038_162,21,9.7,13.5,,
DELA_038_163,21,10.2,13.5,,
DELA_038_026,21,13.7,1.5,,
DELA_038_137,21,15.2,10.5,,
DELA_038_146,21,1.7,13.5,,
DELA_038_053,21,9.2,4.5,,
DELA_038_186,21,3.7,16.5,,
DELA_038_190,21,5.7,16.5,,
DELA_038_165,21,11.2,13.5,,
DELA_038_117,21,5.2,10.5,,
DELA_038_055,21,10.2,4.5,,
DELA_038_079,21,4.2,7.5,,
DELA_038_120,21,6.7,10.5,,
DELA_038_045,21,5.2,4.5,,
DELA_038_142,21,17.7,10.5,,
DELA_038_032,21,16.7,1.5,,
DELA_038_035,21,18.2,1.5,,
DELA_038_070,21,17.7,4.5,,
DELA_038_010,21,5.7,1.5,,
DELA_038_034,21,17.7,1.5,,
DELA_038_076,21,2.7,7.5,,
DELA_038_069,21,17.2,4.5,,
DELA_038_194,21,7.7,16.5,,
DELA_038_027,21,14.2,1.5,,
DELA_038_082,21,5.7,7.5,,
DELA_038_017,21,9.2,1.5,,
DELA_038_116,21,4.7,10.5,,
DELA_038_113,21,3.2,10.5,,
DELA_038_170,21,13.7,13.5,,
DELA_038_097,21,13.2,7.5,,
DELA_038_064,21,14.7,4.5,,
DELA_038_057,21,11.2,4.5,,
DELA_038_156,21,6.7,13.5,,
DELA_038_102,21,15.7,7.5,,
DELA_038_193,21,7.2,16.5,,
DELA_038_041,21,3.2,4.5,,
DELA_038_009,21,5.2,1.5,,
DELA_038_197,21,9.2,16.5,,
DELA_038_154,21,5.7,13.5,,
DELA_038_180,21,18.7,13.5,,
DELA_038_067,21,16.2,4.5,,
DELA_038_109,21,1.2,10.5,,
DELA_038_159,21,8.2,13.5,,
DELA_038_098,21,13.7,7.5,,
DELA_038_145,21,1.2,13.5,,
DELA_038_014,21,7.7,1.5,,
DELA_038_020,21,10.7,1.5,,
DELA_038_185,21,3.2,16.5,,
DELA_038_191,21,6.2,16.5,,
DELA_038_012,21,6.7,1.5,,
DELA_038_207,21,14.2,16.5,,
DELA_038_080,21,4.7,7.5,,
DELA_038_122,21,7.7,10.5,,
DELA_038_099,21,14.2,7.5,,
DELA_038_157,21,7.2,13.5,,
DELA_038_063,21,14.2,4.5,,
DELA_038_131,21,12.2,10.5,,
DELA_038_177,21,17.2,13.5,,
DELA_038_147,21,2.2,13.5,,
DELA_038_199,21,10.2,16.5,,
DELA_038_132,21,12.7,10.5,,
DELA_038_183,21,2.2,16.5,,
DELA_038_101,21,15.2,7.5,,
DELA_038_047,21,6.2,4.5,,
DELA_038_088,21,8.7,7.5,,
DELA_038_025,21,13.2,1.5,,
DELA_038_138,21,15.7,10.5,,
DELA_038_058,21,11.7,4.5,,
DELA_038_084,21,6.7,7.5,,
DELA_038_148,21,2.7,13.5,,
DELA_038_111,21,2.2,10.5,,
DELA_038_174,21,15.7,13.5,,
DELA_038_038,21,1.7,4.5,,
DELA_038_033,21,17.2,1.5,,
DELA_038_046,21,5.7,4.5,,
DELA_038_083,21,6.2,7.5,,
DELA_038_043,21,4.2,4.5,,
DELA_038_016,21,8.7,1.5,,
DELA_038_007,21,4.2,1.5,,
DELA_038_013,21,7.2,1.5,,
DELA_038_184,21,2.7,16.5,,
DELA_038_108,21,18.7,7.5,,
DELA_038_168,21,12.7,13.5,,
DELA_038_198,21,9.7,16.5,,
DELA_038_085,21,7.2,7.5,,
DELA_038_075,21,2.2,7.5,,
DELA_038_104,21,16.7,7.5,,
DELA_038_029,21,15.2,1.5,,
DELA_038_133,21,13.2,10.5,,
DELA_038_115,21,4.2,10.5,,
DELA_038_205,21,13.2,16.5,,
DELA_038_188,21,4.7,16.5,,
DELA_038_022,21,11.7,1.5,,
DELA_038_103,21,16.2,7.5,,
DELA_038_195,21,8.2,16.5,,
DELA_038_050,21,7.7,4.5,,
DELA_038_200,21,10.7,16.5,,
DELA_038_187,21,4.2,16.5,,
DELA_038_018,21,9.7,1.5,,
DELA_038_015,21,8.2,1.5,,
DELA_038_066,21,15.7,4.5,,
DELA_038_176,21,16.7,13.5,,
DELA_038_209,21,15.2,16.5,,
DELA_038_037,21,1.2,4.5,,
DELA_038_030,21,15.7,1.5,,
DELA_038_160,21,8.7,13.5,,
DELA_038_140,21,16.7,10.5,,
DELA_038_052,21,8.7,4.5,,
DELA_038_202,21,11.7,16.5,,
DELA_038_151,21,4.2,13.5,,
DELA_038_054,21,9.7,4.5,,
DELA_038_181,21,1.2,16.5,,
DELA_038_158,21,7.7,13.5,,
DELA_038_112,21,2.7,10.5,,
DELA_038_106,21,17.7,7.5,,
DELA_038_023,21,12.2,1.5,,
DELA_038_036,21,18.7,1.5,,
DELA_038_206,21,13.7,16.5,,
DELA_038_161,21,9.2,13.5,,
DELA_038_175,21,16.2,13.5,,
DELA_038_114,21,3.7,10.5,,
DELA_038_143,21,18.2,10.5,,
DELA_038_105,21,17.2,7.5,,
DELA_038_169,21,13.2,13.5,,
DELA_038_072,21,18.7,4.5,,
DELA_038_048,21,6.7,4.5,,
DELA_038_042,21,3.7,4.5,,
DELA_038_060,21,12.7,4.5,,
DELA_038_059,21,12.2,4.5,,
DELA_038_107,21,18.2,7.5,,
DELA_038_124,21,8.7,10.5,,
DELA_038_201,21,11.2,16.5,,
DELA_038_192,21,6.7,16.5,,
DELA_038_144,21,18.7,10.5,,
DELA_038_196,21,8.7,16.5,,
DELA_038_179,21,18.2,13.5,,
DELA_038_062,21,13.7,4.5,,
DELA_038_021,21,11.2,1.5,,
DELA_038_086,21,7.7,7.5,,
DELA_038_095,21,12.2,7.5,,
DELA_038_153,21,5.2,13.5,,
DELA_038_171,21,14.2,13.5,,
DELA_038_068,21,16.7,4.5,,
DELA_038_039,21,2.2,4.5,,
