"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"DSNY_041_014",31,7.7,1.5,"",""
"DSNY_041_082",31,5.7,7.5,"",""
"DSNY_041_148",31,2.7,13.5,"",""
"DSNY_041_076",31,2.7,7.5,"",""
"DSNY_041_057",31,11.2,4.5,"",""
"DSNY_041_175",31,16.2,13.5,"",""
"DSNY_041_198",31,9.7,16.5,"",""
"DSNY_041_043",31,4.2,4.5,"",""
"DSNY_041_075",31,2.2,7.5,"",""
"DSNY_041_024",31,12.7,1.5,"",""
"DSNY_041_073",31,1.2,7.5,"",""
"DSNY_041_098",31,13.7,7.5,"",""
"DSNY_041_126",31,9.7,10.5,"",""
"DSNY_041_083",31,6.2,7.5,"",""
"DSNY_041_166",31,11.7,13.5,"",""
"DSNY_041_196",31,8.7,16.5,"",""
"DSNY_041_177",31,17.2,13.5,"",""
"DSNY_041_173",31,15.2,13.5,"",""
"DSNY_041_138",31,15.7,10.5,"",""
"DSNY_041_114",31,3.7,10.5,"",""
"DSNY_041_022",31,11.7,1.5,"",""
"DSNY_041_125",31,9.2,10.5,"",""
"DSNY_041_205",31,13.2,16.5,"",""
"DSNY_041_190",31,5.7,16.5,"",""
"DSNY_041_118",31,5.7,10.5,"",""
"DSNY_041_068",31,16.7,4.5,"",""
"DSNY_041_145",31,1.2,13.5,"",""
"DSNY_041_164",31,10.7,13.5,"",""
"DSNY_041_074",31,1.7,7.5,"",""
"DSNY_041_038",31,1.7,4.5,"",""
"DSNY_041_060",31,12.7,4.5,"",""
"DSNY_041_144",31,18.7,10.5,"",""
"DSNY_041_167",31,12.2,13.5,"",""
"DSNY_041_023",31,12.2,1.5,"",""
"DSNY_041_044",31,4.7,4.5,"",""
"DSNY_041_160",31,8.7,13.5,"",""
"DSNY_041_200",31,10.7,16.5,"",""
"DSNY_041_028",31,14.7,1.5,"",""
"DSNY_041_016",31,8.7,1.5,"",""
"DSNY_041_102",31,15.7,7.5,"",""
"DSNY_041_151",31,4.2,13.5,"",""
"DSNY_041_147",31,2.2,13.5,"",""
"DSNY_041_117",31,5.2,10.5,"",""
"DSNY_041_161",31,9.2,13.5,"",""
"DSNY_041_204",31,12.7,16.5,"",""
"DSNY_041_122",31,7.7,10.5,"",""
"DSNY_041_154",31,5.7,13.5,"",""
"DSNY_041_079",31,4.2,7.5,"",""
"DSNY_041_055",31,10.2,4.5,"",""
"DSNY_041_178",31,17.7,13.5,"",""
"DSNY_041_156",31,6.7,13.5,"",""
"DSNY_041_176",31,16.7,13.5,"",""
"DSNY_041_019",31,10.2,1.5,"",""
"DSNY_041_053",31,9.2,4.5,"",""
"DSNY_041_199",31,10.2,16.5,"",""
"DSNY_041_064",31,14.7,4.5,"",""
"DSNY_041_070",31,17.7,4.5,"",""
"DSNY_041_195",31,8.2,16.5,"",""
"DSNY_041_052",31,8.7,4.5,"",""
"DSNY_041_078",31,3.7,7.5,"",""
"DSNY_041_017",31,9.2,1.5,"",""
"DSNY_041_210",31,15.7,16.5,"",""
"DSNY_041_187",31,4.2,16.5,"",""
"DSNY_041_188",31,4.7,16.5,"",""
"DSNY_041_168",31,12.7,13.5,"",""
"DSNY_041_080",31,4.7,7.5,"",""
"DSNY_041_140",31,16.7,10.5,"",""
"DSNY_041_066",31,15.7,4.5,"",""
"DSNY_041_020",31,10.7,1.5,"",""
"DSNY_041_192",31,6.7,16.5,"",""
"DSNY_041_029",31,15.2,1.5,"",""
"DSNY_041_049",31,7.2,4.5,"",""
"DSNY_041_162",31,9.7,13.5,"",""
"DSNY_041_050",31,7.7,4.5,"",""
"DSNY_041_100",31,14.7,7.5,"",""
"DSNY_041_191",31,6.2,16.5,"",""
"DSNY_041_007",31,4.2,1.5,"",""
"DSNY_041_026",31,13.7,1.5,"",""
"DSNY_041_056",31,10.7,4.5,"",""
"DSNY_041_015",31,8.2,1.5,"",""
"DSNY_041_119",31,6.2,10.5,"",""
"DSNY_041_179",31,18.2,13.5,"",""
"DSNY_041_021",31,11.2,1.5,"",""
"DSNY_041_091",31,10.2,7.5,"",""
"DSNY_041_136",31,14.7,10.5,"",""
"DSNY_041_163",31,10.2,13.5,"",""
"DSNY_041_059",31,12.2,4.5,"",""
"DSNY_041_054",31,9.7,4.5,"",""
"DSNY_041_008",31,4.7,1.5,"",""
"DSNY_041_169",31,13.2,13.5,"",""
"DSNY_041_061",31,13.2,4.5,"",""
"DSNY_041_123",31,8.2,10.5,"",""
"DSNY_041_146",31,1.7,13.5,"",""
"DSNY_041_116",31,4.7,10.5,"",""
"DSNY_041_062",31,13.7,4.5,"",""
"DSNY_041_011",31,6.2,1.5,"",""
"DSNY_041_041",31,3.2,4.5,"",""
"DSNY_041_209",31,15.2,16.5,"",""
"DSNY_041_067",31,16.2,4.5,"",""
"DSNY_041_009",31,5.2,1.5,"",""
"DSNY_041_072",31,18.7,4.5,"",""
"DSNY_041_063",31,14.2,4.5,"",""
"DSNY_041_027",31,14.2,1.5,"",""
"DSNY_041_051",31,8.2,4.5,"",""
"DSNY_041_155",31,6.2,13.5,"",""
"DSNY_041_172",31,14.7,13.5,"",""
"DSNY_041_135",31,14.2,10.5,"",""
"DSNY_041_171",31,14.2,13.5,"",""
"DSNY_041_139",31,16.2,10.5,"",""
