clipID,subplotID,offsetEasting,offsetNorthing,status,Protocol
GUAN_050_132,21,12.7,10.5,1,ltr
GUAN_050_178,21,17.7,13.5,1,ltr
GUAN_050_155,21,6.2,13.5,1,hbp
GUAN_050_006,21,3.7,1.5,,
GUAN_050_007,21,4.2,1.5,,
GUAN_050_162,21,9.7,13.5,,
GUAN_050_189,21,5.2,16.5,,
GUAN_050_085,21,7.2,7.5,,
GUAN_050_163,21,10.2,13.5,,
GUAN_050_194,21,7.7,16.5,,
GUAN_050_192,21,6.7,16.5,,
GUAN_050_066,21,15.7,4.5,,
GUAN_050_116,21,4.7,10.5,,
GUAN_050_140,21,16.7,10.5,,
GUAN_050_019,21,10.2,1.5,,
GUAN_050_206,21,13.7,16.5,,
GUAN_050_210,21,15.7,16.5,,
GUAN_050_135,21,14.2,10.5,,
GUAN_050_095,21,12.2,7.5,,
GUAN_050_102,21,15.7,7.5,,
GUAN_050_078,21,3.7,7.5,,
GUAN_050_029,21,15.2,1.5,,
GUAN_050_073,21,1.2,7.5,,
GUAN_050_152,21,4.7,13.5,,
GUAN_050_205,21,13.2,16.5,,
GUAN_050_181,21,1.2,16.5,,
GUAN_050_021,21,11.2,1.5,,
GUAN_050_112,21,2.7,10.5,,
GUAN_050_200,21,10.7,16.5,,
GUAN_050_199,21,10.2,16.5,,
GUAN_050_171,21,14.2,13.5,,
GUAN_050_175,21,16.2,13.5,,
GUAN_050_179,21,18.2,13.5,,
GUAN_050_061,21,13.2,4.5,,
GUAN_050_046,21,5.7,4.5,,
GUAN_050_168,21,12.7,13.5,,
GUAN_050_013,21,7.2,1.5,,
GUAN_050_087,21,8.2,7.5,,
GUAN_050_167,21,12.2,13.5,,
GUAN_050_106,21,17.7,7.5,,
GUAN_050_032,21,16.7,1.5,,
GUAN_050_050,21,7.7,4.5,,
GUAN_050_098,21,13.7,7.5,,
GUAN_050_131,21,12.2,10.5,,
GUAN_050_014,21,7.7,1.5,,
GUAN_050_185,21,3.2,16.5,,
GUAN_050_118,21,5.7,10.5,,
GUAN_050_104,21,16.7,7.5,,
GUAN_050_143,21,18.2,10.5,,
GUAN_050_187,21,4.2,16.5,,
GUAN_050_197,21,9.2,16.5,,
GUAN_050_053,21,9.2,4.5,,
GUAN_050_144,21,18.7,10.5,,
GUAN_050_186,21,3.7,16.5,,
GUAN_050_204,21,12.7,16.5,,
GUAN_050_025,21,13.2,1.5,,
GUAN_050_072,21,18.7,4.5,,
GUAN_050_026,21,13.7,1.5,,
GUAN_050_208,21,14.7,16.5,,
GUAN_050_062,21,13.7,4.5,,
GUAN_050_149,21,3.2,13.5,,
GUAN_050_105,21,17.2,7.5,,
GUAN_050_174,21,15.7,13.5,,
GUAN_050_077,21,3.2,7.5,,
GUAN_050_182,21,1.7,16.5,,
GUAN_050_147,21,2.2,13.5,,
GUAN_050_122,21,7.7,10.5,,
GUAN_050_145,21,1.2,13.5,,
GUAN_050_075,21,2.2,7.5,,
GUAN_050_068,21,16.7,4.5,,
GUAN_050_065,21,15.2,4.5,,
GUAN_050_012,21,6.7,1.5,,
GUAN_050_034,21,17.7,1.5,,
GUAN_050_067,21,16.2,4.5,,
GUAN_050_137,21,15.2,10.5,,
GUAN_050_184,21,2.7,16.5,,
GUAN_050_083,21,6.2,7.5,,
GUAN_050_180,21,18.7,13.5,,
GUAN_050_201,21,11.2,16.5,,
GUAN_050_044,21,4.7,4.5,,
GUAN_050_113,21,3.2,10.5,,
GUAN_050_063,21,14.2,4.5,,
GUAN_050_111,21,2.2,10.5,,
GUAN_050_049,21,7.2,4.5,,
GUAN_050_036,21,18.7,1.5,,
GUAN_050_103,21,16.2,7.5,,
GUAN_050_123,21,8.2,10.5,,
GUAN_050_028,21,14.7,1.5,,
GUAN_050_035,21,18.2,1.5,,
GUAN_050_054,21,9.7,4.5,,
GUAN_050_177,21,17.2,13.5,,
GUAN_050_138,21,15.7,10.5,,
GUAN_050_009,21,5.2,1.5,,
GUAN_050_190,21,5.7,16.5,,
GUAN_050_196,21,8.7,16.5,,
GUAN_050_016,21,8.7,1.5,,
GUAN_050_154,21,5.7,13.5,,
GUAN_050_057,21,11.2,4.5,,
GUAN_050_051,21,8.2,4.5,,
GUAN_050_011,21,6.2,1.5,,
GUAN_050_097,21,13.2,7.5,,
GUAN_050_039,21,2.2,4.5,,
GUAN_050_099,21,14.2,7.5,,
GUAN_050_211,21,16.2,16.5,,
GUAN_050_052,21,8.7,4.5,,
GUAN_050_141,21,17.2,10.5,,
GUAN_050_088,21,8.7,7.5,,
GUAN_050_100,21,14.7,7.5,,
GUAN_050_142,21,17.7,10.5,,
GUAN_050_169,21,13.2,13.5,,
GUAN_050_040,21,2.7,4.5,,
GUAN_050_042,21,3.7,4.5,,
GUAN_050_030,21,15.7,1.5,,
GUAN_050_198,21,9.7,16.5,,
GUAN_050_173,21,15.2,13.5,,
GUAN_050_023,21,12.2,1.5,,
GUAN_050_146,21,1.7,13.5,,
GUAN_050_084,21,6.7,7.5,,
GUAN_050_120,21,6.7,10.5,,
GUAN_050_060,21,12.7,4.5,,
GUAN_050_027,21,14.2,1.5,,
GUAN_050_170,21,13.7,13.5,,
GUAN_050_064,21,14.7,4.5,,
GUAN_050_110,21,1.7,10.5,,
GUAN_050_017,21,9.2,1.5,,
GUAN_050_202,21,11.7,16.5,,
GUAN_050_188,21,4.7,16.5,,
GUAN_050_139,21,16.2,10.5,,
GUAN_050_010,21,5.7,1.5,,
GUAN_050_096,21,12.7,7.5,,
GUAN_050_158,21,7.7,13.5,,
GUAN_050_022,21,11.7,1.5,,
GUAN_050_166,21,11.7,13.5,,
GUAN_050_033,21,17.2,1.5,,
GUAN_050_080,21,4.7,7.5,,
GUAN_050_048,21,6.7,4.5,,
GUAN_050_136,21,14.7,10.5,,
GUAN_050_207,21,14.2,16.5,,
GUAN_050_041,21,3.2,4.5,,
GUAN_050_031,21,16.2,1.5,,
GUAN_050_121,21,7.2,10.5,,
GUAN_050_071,21,18.2,4.5,,
GUAN_050_069,21,17.2,4.5,,
GUAN_050_058,21,11.7,4.5,,
GUAN_050_161,21,9.2,13.5,,
GUAN_050_133,21,13.2,10.5,,
GUAN_050_109,21,1.2,10.5,,
GUAN_050_160,21,8.7,13.5,,
GUAN_050_038,21,1.7,4.5,,
GUAN_050_164,21,10.7,13.5,,
GUAN_050_165,21,11.2,13.5,,
GUAN_050_082,21,5.7,7.5,,
GUAN_050_086,21,7.7,7.5,,
GUAN_050_157,21,7.2,13.5,,
GUAN_050_124,21,8.7,10.5,,
GUAN_050_079,21,4.2,7.5,,
GUAN_050_176,21,16.7,13.5,,
GUAN_050_150,21,3.7,13.5,,
GUAN_050_047,21,6.2,4.5,,
GUAN_050_151,21,4.2,13.5,,
GUAN_050_134,21,13.7,10.5,,
GUAN_050_024,21,12.7,1.5,,
GUAN_050_020,21,10.7,1.5,,
GUAN_050_156,21,6.7,13.5,,
GUAN_050_107,21,18.2,7.5,,
GUAN_050_183,21,2.2,16.5,,
GUAN_050_056,21,10.7,4.5,,
GUAN_050_043,21,4.2,4.5,,
GUAN_050_059,21,12.2,4.5,,
GUAN_050_203,21,12.2,16.5,,
GUAN_050_195,21,8.2,16.5,,
GUAN_050_172,21,14.7,13.5,,
GUAN_050_074,21,1.7,7.5,,
GUAN_050_101,21,15.2,7.5,,
GUAN_050_209,21,15.2,16.5,,
GUAN_050_148,21,2.7,13.5,,
GUAN_050_119,21,6.2,10.5,,
GUAN_050_076,21,2.7,7.5,,
GUAN_050_108,21,18.7,7.5,,
GUAN_050_045,21,5.2,4.5,,
GUAN_050_193,21,7.2,16.5,,
GUAN_050_008,21,4.7,1.5,,
GUAN_050_153,21,5.2,13.5,,
GUAN_050_159,21,8.2,13.5,,
GUAN_050_015,21,8.2,1.5,,
GUAN_050_114,21,3.7,10.5,,
GUAN_050_115,21,4.2,10.5,,
GUAN_050_055,21,10.2,4.5,,
GUAN_050_081,21,5.2,7.5,,
GUAN_050_070,21,17.7,4.5,,
GUAN_050_037,21,1.2,4.5,,
GUAN_050_117,21,5.2,10.5,,
GUAN_050_191,21,6.2,16.5,,
GUAN_050_018,21,9.7,1.5,,
