"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"HEAL_020_147",31,2.2,13.5,"",""
"HEAL_020_146",31,1.7,13.5,"",""
"HEAL_020_211",31,16.2,16.5,"",""
"HEAL_020_173",31,15.2,13.5,"",""
"HEAL_020_152",31,4.7,13.5,"",""
"HEAL_020_060",31,12.7,4.5,"",""
"HEAL_020_155",31,6.2,13.5,"",""
"HEAL_020_012",31,6.7,1.5,"",""
"HEAL_020_198",31,9.7,16.5,"",""
"HEAL_020_057",31,11.2,4.5,"",""
"HEAL_020_179",31,18.2,13.5,"",""
"HEAL_020_176",31,16.7,13.5,"",""
"HEAL_020_075",31,2.2,7.5,"",""
"HEAL_020_190",31,5.7,16.5,"",""
"HEAL_020_102",31,15.7,7.5,"",""
"HEAL_020_029",31,15.2,1.5,"",""
"HEAL_020_046",31,5.7,4.5,"",""
"HEAL_020_205",31,13.2,16.5,"",""
"HEAL_020_014",31,7.7,1.5,"",""
"HEAL_020_008",31,4.7,1.5,"",""
"HEAL_020_122",31,7.7,10.5,"",""
"HEAL_020_051",31,8.2,4.5,"",""
"HEAL_020_187",31,4.2,16.5,"",""
"HEAL_020_156",31,6.7,13.5,"",""
"HEAL_020_144",31,18.7,10.5,"",""
"HEAL_020_150",31,3.7,13.5,"",""
"HEAL_020_180",31,18.7,13.5,"",""
"HEAL_020_172",31,14.7,13.5,"",""
"HEAL_020_016",31,8.7,1.5,"",""
"HEAL_020_134",31,13.7,10.5,"",""
"HEAL_020_158",31,7.7,13.5,"",""
"HEAL_020_161",31,9.2,13.5,"",""
"HEAL_020_114",31,3.7,10.5,"",""
"HEAL_020_078",31,3.7,7.5,"",""
"HEAL_020_141",31,17.2,10.5,"",""
"HEAL_020_030",31,15.7,1.5,"",""
"HEAL_020_208",31,14.7,16.5,"",""
"HEAL_020_072",31,18.7,4.5,"",""
"HEAL_020_015",31,8.2,1.5,"",""
"HEAL_020_171",31,14.2,13.5,"",""
"HEAL_020_080",31,4.7,7.5,"",""
"HEAL_020_017",31,9.2,1.5,"",""
"HEAL_020_022",31,11.7,1.5,"",""
"HEAL_020_177",31,17.2,13.5,"",""
"HEAL_020_070",31,17.7,4.5,"",""
"HEAL_020_056",31,10.7,4.5,"",""
"HEAL_020_116",31,4.7,10.5,"",""
"HEAL_020_058",31,11.7,4.5,"",""
"HEAL_020_025",31,13.2,1.5,"",""
"HEAL_020_145",31,1.2,13.5,"",""
"HEAL_020_097",31,13.2,7.5,"",""
"HEAL_020_026",31,13.7,1.5,"",""
"HEAL_020_142",31,17.7,10.5,"",""
"HEAL_020_201",31,11.2,16.5,"",""
"HEAL_020_189",31,5.2,16.5,"",""
"HEAL_020_186",31,3.7,16.5,"",""
"HEAL_020_149",31,3.2,13.5,"",""
"HEAL_020_081",31,5.2,7.5,"",""
"HEAL_020_210",31,15.7,16.5,"",""
"HEAL_020_191",31,6.2,16.5,"",""
"HEAL_020_079",31,4.2,7.5,"",""
"HEAL_020_199",31,10.2,16.5,"",""
"HEAL_020_019",31,10.2,1.5,"",""
"HEAL_020_009",31,5.2,1.5,"",""
"HEAL_020_049",31,7.2,4.5,"",""
"HEAL_020_139",31,16.2,10.5,"",""
"HEAL_020_196",31,8.7,16.5,"",""
"HEAL_020_098",31,13.7,7.5,"",""
"HEAL_020_041",31,3.2,4.5,"",""
"HEAL_020_039",31,2.2,4.5,"",""
"HEAL_020_059",31,12.2,4.5,"",""
"HEAL_020_178",31,17.7,13.5,"",""
"HEAL_020_082",31,5.7,7.5,"",""
"HEAL_020_165",31,11.2,13.5,"",""
"HEAL_020_055",31,10.2,4.5,"",""
"HEAL_020_067",31,16.2,4.5,"",""
"HEAL_020_121",31,7.2,10.5,"",""
"HEAL_020_071",31,18.2,4.5,"",""
"HEAL_020_202",31,11.7,16.5,"",""
"HEAL_020_209",31,15.2,16.5,"",""
"HEAL_020_118",31,5.7,10.5,"",""
"HEAL_020_052",31,8.7,4.5,"",""
"HEAL_020_062",31,13.7,4.5,"",""
"HEAL_020_200",31,10.7,16.5,"",""
"HEAL_020_115",31,4.2,10.5,"",""
"HEAL_020_103",31,16.2,7.5,"",""
"HEAL_020_037",31,1.2,4.5,"",""
"HEAL_020_167",31,12.2,13.5,"",""
"HEAL_020_091",31,10.2,7.5,"",""
"HEAL_020_063",31,14.2,4.5,"",""
"HEAL_020_021",31,11.2,1.5,"",""
"HEAL_020_124",31,8.7,10.5,"",""
"HEAL_020_168",31,12.7,13.5,"",""
"HEAL_020_170",31,13.7,13.5,"",""
"HEAL_020_020",31,10.7,1.5,"",""
"HEAL_020_100",31,14.7,7.5,"",""
"HEAL_020_164",31,10.7,13.5,"",""
"HEAL_020_204",31,12.7,16.5,"",""
"HEAL_020_193",31,7.2,16.5,"",""
"HEAL_020_076",31,2.7,7.5,"",""
"HEAL_020_069",31,17.2,4.5,"",""
"HEAL_020_074",31,1.7,7.5,"",""
"HEAL_020_207",31,14.2,16.5,"",""
"HEAL_020_095",31,12.2,7.5,"",""
"HEAL_020_169",31,13.2,13.5,"",""
"HEAL_020_140",31,16.7,10.5,"",""
"HEAL_020_136",31,14.7,10.5,"",""
"HEAL_020_061",31,13.2,4.5,"",""
"HEAL_020_010",31,5.7,1.5,"",""
"HEAL_020_024",31,12.7,1.5,"",""
"HEAL_020_093",31,11.2,7.5,"",""
"HEAL_020_101",31,15.2,7.5,"",""
"HEAL_020_018",31,9.7,1.5,"",""
"HEAL_020_077",31,3.2,7.5,"",""
"HEAL_020_065",31,15.2,4.5,"",""
"HEAL_020_099",31,14.2,7.5,"",""
"HEAL_020_027",31,14.2,1.5,"",""
"HEAL_020_120",31,6.7,10.5,"",""
"HEAL_020_192",31,6.7,16.5,"",""
"HEAL_020_162",31,9.7,13.5,"",""
"HEAL_020_197",31,9.2,16.5,"",""
"HEAL_020_083",31,6.2,7.5,"",""
"HEAL_020_126",31,9.7,10.5,"",""
"HEAL_020_194",31,7.7,16.5,"",""
"HEAL_020_119",31,6.2,10.5,"",""
"HEAL_020_073",31,1.2,7.5,"",""
"HEAL_020_011",31,6.2,1.5,"",""
"HEAL_020_023",31,12.2,1.5,"",""
"HEAL_020_013",31,7.2,1.5,"",""
"HEAL_020_038",31,1.7,4.5,"",""
"HEAL_020_123",31,8.2,10.5,"",""
"HEAL_020_159",31,8.2,13.5,"",""
"HEAL_020_154",31,5.7,13.5,"",""
"HEAL_020_153",31,5.2,13.5,"",""
"HEAL_020_137",31,15.2,10.5,"",""
"HEAL_020_043",31,4.2,4.5,"",""
"HEAL_020_007",31,4.2,1.5,"",""
"HEAL_020_151",31,4.2,13.5,"",""
"HEAL_020_166",31,11.7,13.5,"",""
"HEAL_020_174",31,15.7,13.5,"",""
"HEAL_020_047",31,6.2,4.5,"",""
"HEAL_020_064",31,14.7,4.5,"",""
"HEAL_020_188",31,4.7,16.5,"",""
"HEAL_020_068",31,16.7,4.5,"",""
"HEAL_020_206",31,13.7,16.5,"",""
"HEAL_020_044",31,4.7,4.5,"",""
"HEAL_020_040",31,2.7,4.5,"",""
"HEAL_020_006",31,3.7,1.5,"",""
"HEAL_020_053",31,9.2,4.5,"",""
"HEAL_020_203",31,12.2,16.5,"",""
"HEAL_020_160",31,8.7,13.5,"",""
"HEAL_020_143",31,18.2,10.5,"",""
"HEAL_020_042",31,3.7,4.5,"",""
"HEAL_020_054",31,9.7,4.5,"",""
"HEAL_020_175",31,16.2,13.5,"",""
"HEAL_020_094",31,11.7,7.5,"",""
"HEAL_020_148",31,2.7,13.5,"",""
"HEAL_020_092",31,10.7,7.5,"",""
"HEAL_020_045",31,5.2,4.5,"",""
"HEAL_020_096",31,12.7,7.5,"",""
"HEAL_020_135",31,14.2,10.5,"",""
