"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"JORN_055_126",31,9.7,10.5,"",""
"JORN_055_164",31,10.7,13.5,"",""
"JORN_055_208",31,14.7,16.5,"",""
"JORN_055_119",31,6.2,10.5,"",""
"JORN_055_083",31,6.2,7.5,"",""
"JORN_055_176",31,16.7,13.5,"",""
"JORN_055_095",31,12.2,7.5,"",""
"JORN_055_097",31,13.2,7.5,"",""
"JORN_055_091",31,10.2,7.5,"",""
"JORN_055_079",31,4.2,7.5,"",""
"JORN_055_023",31,12.2,1.5,"",""
"JORN_055_172",31,14.7,13.5,"",""
"JORN_055_178",31,17.7,13.5,"",""
"JORN_055_006",31,3.7,1.5,"",""
"JORN_055_202",31,11.7,16.5,"",""
"JORN_055_187",31,4.2,16.5,"",""
"JORN_055_025",31,13.2,1.5,"",""
"JORN_055_154",31,5.7,13.5,"",""
"JORN_055_066",31,15.7,4.5,"",""
"JORN_055_080",31,4.7,7.5,"",""
"JORN_055_155",31,6.2,13.5,"",""
"JORN_055_116",31,4.7,10.5,"",""
"JORN_055_038",31,1.7,4.5,"",""
"JORN_055_143",31,18.2,10.5,"",""
"JORN_055_096",31,12.7,7.5,"",""
"JORN_055_061",31,13.2,4.5,"",""
"JORN_055_011",31,6.2,1.5,"",""
"JORN_055_039",31,2.2,4.5,"",""
"JORN_055_139",31,16.2,10.5,"",""
"JORN_055_175",31,16.2,13.5,"",""
"JORN_055_069",31,17.2,4.5,"",""
"JORN_055_192",31,6.7,16.5,"",""
"JORN_055_051",31,8.2,4.5,"",""
"JORN_055_067",31,16.2,4.5,"",""
"JORN_055_199",31,10.2,16.5,"",""
"JORN_055_211",31,16.2,16.5,"",""
"JORN_055_020",31,10.7,1.5,"",""
"JORN_055_122",31,7.7,10.5,"",""
"JORN_055_049",31,7.2,4.5,"",""
"JORN_055_102",31,15.7,7.5,"",""
"JORN_055_027",31,14.2,1.5,"",""
"JORN_055_014",31,7.7,1.5,"",""
"JORN_055_030",31,15.7,1.5,"",""
"JORN_055_203",31,12.2,16.5,"",""
"JORN_055_058",31,11.7,4.5,"",""
"JORN_055_204",31,12.7,16.5,"",""
"JORN_055_044",31,4.7,4.5,"",""
"JORN_055_166",31,11.7,13.5,"",""
"JORN_055_156",31,6.7,13.5,"",""
"JORN_055_148",31,2.7,13.5,"",""
"JORN_055_017",31,9.2,1.5,"",""
"JORN_055_209",31,15.2,16.5,"",""
