"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"KONZ_045_138",31,15.7,10.5,"",""
"KONZ_045_193",31,7.2,16.5,"",""
"KONZ_045_136",31,14.7,10.5,"",""
"KONZ_045_025",31,13.2,1.5,"",""
"KONZ_045_103",31,16.2,7.5,"",""
"KONZ_045_114",31,3.7,10.5,"",""
"KONZ_045_023",31,12.2,1.5,"",""
"KONZ_045_095",31,12.2,7.5,"",""
"KONZ_045_007",31,4.2,1.5,"",""
"KONZ_045_179",31,18.2,13.5,"",""
"KONZ_045_209",31,15.2,16.5,"",""
"KONZ_045_147",31,2.2,13.5,"",""
"KONZ_045_162",31,9.7,13.5,"",""
"KONZ_045_141",31,17.2,10.5,"",""
"KONZ_045_050",31,7.7,4.5,"",""
"KONZ_045_064",31,14.7,4.5,"",""
"KONZ_045_031",31,16.2,1.5,"",""
"KONZ_045_049",31,7.2,4.5,"",""
"KONZ_045_029",31,15.2,1.5,"",""
"KONZ_045_037",31,1.2,4.5,"",""
"KONZ_045_177",31,17.2,13.5,"",""
"KONZ_045_143",31,18.2,10.5,"",""
"KONZ_045_082",31,5.7,7.5,"",""
"KONZ_045_030",31,15.7,1.5,"",""
"KONZ_045_174",31,15.7,13.5,"",""
"KONZ_045_199",31,10.2,16.5,"",""
"KONZ_045_126",31,9.7,10.5,"",""
"KONZ_045_118",31,5.7,10.5,"",""
"KONZ_045_027",31,14.2,1.5,"",""
"KONZ_045_173",31,15.2,13.5,"",""
"KONZ_045_009",31,5.2,1.5,"",""
"KONZ_045_011",31,6.2,1.5,"",""
"KONZ_045_021",31,11.2,1.5,"",""
"KONZ_045_156",31,6.7,13.5,"",""
"KONZ_045_153",31,5.2,13.5,"",""
"KONZ_045_210",31,15.7,16.5,"",""
"KONZ_045_052",31,8.7,4.5,"",""
"KONZ_045_124",31,8.7,10.5,"",""
"KONZ_045_176",31,16.7,13.5,"",""
"KONZ_045_017",31,9.2,1.5,"",""
"KONZ_045_116",31,4.7,10.5,"",""
"KONZ_045_047",31,6.2,4.5,"",""
"KONZ_045_068",31,16.7,4.5,"",""
"KONZ_045_072",31,18.7,4.5,"",""
"KONZ_045_151",31,4.2,13.5,"",""
"KONZ_045_070",31,17.7,4.5,"",""
"KONZ_045_100",31,14.7,7.5,"",""
"KONZ_045_146",31,1.7,13.5,"",""
"KONZ_045_058",31,11.7,4.5,"",""
"KONZ_045_040",31,2.7,4.5,"",""
"KONZ_045_202",31,11.7,16.5,"",""
"KONZ_045_117",31,5.2,10.5,"",""
"KONZ_045_158",31,7.7,13.5,"",""
"KONZ_045_012",31,6.7,1.5,"",""
"KONZ_045_024",31,12.7,1.5,"",""
"KONZ_045_019",31,10.2,1.5,"",""
"KONZ_045_096",31,12.7,7.5,"",""
"KONZ_045_157",31,7.2,13.5,"",""
"KONZ_045_098",31,13.7,7.5,"",""
"KONZ_045_073",31,1.2,7.5,"",""
"KONZ_045_180",31,18.7,13.5,"",""
"KONZ_045_043",31,4.2,4.5,"",""
"KONZ_045_057",31,11.2,4.5,"",""
"KONZ_045_094",31,11.7,7.5,"",""
"KONZ_045_026",31,13.7,1.5,"",""
"KONZ_045_077",31,3.2,7.5,"",""
"KONZ_045_170",31,13.7,13.5,"",""
"KONZ_045_102",31,15.7,7.5,"",""
"KONZ_045_160",31,8.7,13.5,"",""
"KONZ_045_149",31,3.2,13.5,"",""
"KONZ_045_016",31,8.7,1.5,"",""
"KONZ_045_123",31,8.2,10.5,"",""
"KONZ_045_201",31,11.2,16.5,"",""
"KONZ_045_041",31,3.2,4.5,"",""
"KONZ_045_006",31,3.7,1.5,"",""
"KONZ_045_056",31,10.7,4.5,"",""
"KONZ_045_038",31,1.7,4.5,"",""
"KONZ_045_091",31,10.2,7.5,"",""
"KONZ_045_076",31,2.7,7.5,"",""
"KONZ_045_161",31,9.2,13.5,"",""
"KONZ_045_172",31,14.7,13.5,"",""
"KONZ_045_200",31,10.7,16.5,"",""
"KONZ_045_039",31,2.2,4.5,"",""
"KONZ_045_169",31,13.2,13.5,"",""
"KONZ_045_154",31,5.7,13.5,"",""
"KONZ_045_139",31,16.2,10.5,"",""
"KONZ_045_015",31,8.2,1.5,"",""
"KONZ_045_053",31,9.2,4.5,"",""
"KONZ_045_194",31,7.7,16.5,"",""
"KONZ_045_051",31,8.2,4.5,"",""
"KONZ_045_101",31,15.2,7.5,"",""
"KONZ_045_022",31,11.7,1.5,"",""
"KONZ_045_042",31,3.7,4.5,"",""
"KONZ_045_168",31,12.7,13.5,"",""
"KONZ_045_067",31,16.2,4.5,"",""
"KONZ_045_152",31,4.7,13.5,"",""
"KONZ_045_048",31,6.7,4.5,"",""
"KONZ_045_171",31,14.2,13.5,"",""
"KONZ_045_061",31,13.2,4.5,"",""
"KONZ_045_014",31,7.7,1.5,"",""
"KONZ_045_010",31,5.7,1.5,"",""
"KONZ_045_189",31,5.2,16.5,"",""
"KONZ_045_121",31,7.2,10.5,"",""
"KONZ_045_080",31,4.7,7.5,"",""
"KONZ_045_192",31,6.7,16.5,"",""
"KONZ_045_028",31,14.7,1.5,"",""
"KONZ_045_155",31,6.2,13.5,"",""
"KONZ_045_060",31,12.7,4.5,"",""
"KONZ_045_195",31,8.2,16.5,"",""
"KONZ_045_203",31,12.2,16.5,"",""
"KONZ_045_119",31,6.2,10.5,"",""
"KONZ_045_198",31,9.7,16.5,"",""
"KONZ_045_137",31,15.2,10.5,"",""
"KONZ_045_079",31,4.2,7.5,"",""
"KONZ_045_093",31,11.2,7.5,"",""
"KONZ_045_204",31,12.7,16.5,"",""
"KONZ_045_186",31,3.7,16.5,"",""
"KONZ_045_013",31,7.2,1.5,"",""
"KONZ_045_092",31,10.7,7.5,"",""
"KONZ_045_148",31,2.7,13.5,"",""
"KONZ_045_165",31,11.2,13.5,"",""
"KONZ_045_206",31,13.7,16.5,"",""
"KONZ_045_142",31,17.7,10.5,"",""
"KONZ_045_063",31,14.2,4.5,"",""
"KONZ_045_178",31,17.7,13.5,"",""
"KONZ_045_140",31,16.7,10.5,"",""
"KONZ_045_054",31,9.7,4.5,"",""
"KONZ_045_071",31,18.2,4.5,"",""
"KONZ_045_083",31,6.2,7.5,"",""
"KONZ_045_191",31,6.2,16.5,"",""
"KONZ_045_115",31,4.2,10.5,"",""
"KONZ_045_135",31,14.2,10.5,"",""
"KONZ_045_166",31,11.7,13.5,"",""
"KONZ_045_018",31,9.7,1.5,"",""
"KONZ_045_122",31,7.7,10.5,"",""
"KONZ_045_020",31,10.7,1.5,"",""
"KONZ_045_062",31,13.7,4.5,"",""
"KONZ_045_074",31,1.7,7.5,"",""
"KONZ_045_163",31,10.2,13.5,"",""
"KONZ_045_069",31,17.2,4.5,"",""
"KONZ_045_196",31,8.7,16.5,"",""
"KONZ_045_187",31,4.2,16.5,"",""
"KONZ_045_078",31,3.7,7.5,"",""
"KONZ_045_145",31,1.2,13.5,"",""
"KONZ_045_207",31,14.2,16.5,"",""
"KONZ_045_059",31,12.2,4.5,"",""
"KONZ_045_097",31,13.2,7.5,"",""
"KONZ_045_099",31,14.2,7.5,"",""
"KONZ_045_208",31,14.7,16.5,"",""
"KONZ_045_150",31,3.7,13.5,"",""
"KONZ_045_045",31,5.2,4.5,"",""
"KONZ_045_175",31,16.2,13.5,"",""
"KONZ_045_125",31,9.2,10.5,"",""
"KONZ_045_066",31,15.7,4.5,"",""
"KONZ_045_120",31,6.7,10.5,"",""
"KONZ_045_164",31,10.7,13.5,"",""
"KONZ_045_055",31,10.2,4.5,"",""
"KONZ_045_075",31,2.2,7.5,"",""
"KONZ_045_081",31,5.2,7.5,"",""
"KONZ_045_065",31,15.2,4.5,"",""
"KONZ_045_008",31,4.7,1.5,"",""
"KONZ_045_205",31,13.2,16.5,"",""
"KONZ_045_197",31,9.2,16.5,"",""
"KONZ_045_046",31,5.7,4.5,"",""
"KONZ_045_188",31,4.7,16.5,"",""
"KONZ_045_167",31,12.2,13.5,"",""
"KONZ_045_044",31,4.7,4.5,"",""
"KONZ_045_144",31,18.7,10.5,"",""
"KONZ_045_190",31,5.7,16.5,"",""
"KONZ_045_134",31,13.7,10.5,"",""
"KONZ_045_211",31,16.2,16.5,"",""
"KONZ_045_159",31,8.2,13.5,"",""
