"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"LAJA_048_158",31,7.7,13.5,"",""
"LAJA_048_080",31,4.7,7.5,"",""
"LAJA_048_029",31,15.2,1.5,"",""
"LAJA_048_192",31,6.7,16.5,"",""
"LAJA_048_193",31,7.2,16.5,"",""
"LAJA_048_071",31,18.2,4.5,"",""
"LAJA_048_173",31,15.2,13.5,"",""
"LAJA_048_152",31,4.7,13.5,"",""
"LAJA_048_044",31,4.7,4.5,"",""
"LAJA_048_025",31,13.2,1.5,"",""
"LAJA_048_124",31,8.7,10.5,"",""
"LAJA_048_200",31,10.7,16.5,"",""
"LAJA_048_043",31,4.2,4.5,"",""
"LAJA_048_197",31,9.2,16.5,"",""
"LAJA_048_190",31,5.7,16.5,"",""
"LAJA_048_065",31,15.2,4.5,"",""
"LAJA_048_154",31,5.7,13.5,"",""
"LAJA_048_170",31,13.7,13.5,"",""
"LAJA_048_207",31,14.2,16.5,"",""
"LAJA_048_054",31,9.7,4.5,"",""
"LAJA_048_125",31,9.2,10.5,"",""
"LAJA_048_120",31,6.7,10.5,"",""
"LAJA_048_118",31,5.7,10.5,"",""
"LAJA_048_052",31,8.7,4.5,"",""
"LAJA_048_079",31,4.2,7.5,"",""
"LAJA_048_196",31,8.7,16.5,"",""
"LAJA_048_167",31,12.2,13.5,"",""
"LAJA_048_093",31,11.2,7.5,"",""
"LAJA_048_161",31,9.2,13.5,"",""
"LAJA_048_061",31,13.2,4.5,"",""
"LAJA_048_028",31,14.7,1.5,"",""
"LAJA_048_153",31,5.2,13.5,"",""
"LAJA_048_175",31,16.2,13.5,"",""
"LAJA_048_020",31,10.7,1.5,"",""
"LAJA_048_162",31,9.7,13.5,"",""
"LAJA_048_045",31,5.2,4.5,"",""
"LAJA_048_169",31,13.2,13.5,"",""
"LAJA_048_066",31,15.7,4.5,"",""
"LAJA_048_024",31,12.7,1.5,"",""
"LAJA_048_049",31,7.2,4.5,"",""
"LAJA_048_007",31,4.2,1.5,"",""
"LAJA_048_096",31,12.7,7.5,"",""
"LAJA_048_126",31,9.7,10.5,"",""
"LAJA_048_057",31,11.2,4.5,"",""
"LAJA_048_176",31,16.7,13.5,"",""
"LAJA_048_055",31,10.2,4.5,"",""
"LAJA_048_145",31,1.2,13.5,"",""
"LAJA_048_211",31,16.2,16.5,"",""
"LAJA_048_056",31,10.7,4.5,"",""
"LAJA_048_147",31,2.2,13.5,"",""
"LAJA_048_166",31,11.7,13.5,"",""
"LAJA_048_159",31,8.2,13.5,"",""
"LAJA_048_091",31,10.2,7.5,"",""
"LAJA_048_195",31,8.2,16.5,"",""
"LAJA_048_041",31,3.2,4.5,"",""
"LAJA_048_050",31,7.7,4.5,"",""
"LAJA_048_201",31,11.2,16.5,"",""
"LAJA_048_115",31,4.2,10.5,"",""
"LAJA_048_030",31,15.7,1.5,"",""
"LAJA_048_138",31,15.7,10.5,"",""
"LAJA_048_040",31,2.7,4.5,"",""
"LAJA_048_059",31,12.2,4.5,"",""
"LAJA_048_164",31,10.7,13.5,"",""
"LAJA_048_031",31,16.2,1.5,"",""
"LAJA_048_076",31,2.7,7.5,"",""
"LAJA_048_100",31,14.7,7.5,"",""
"LAJA_048_026",31,13.7,1.5,"",""
"LAJA_048_092",31,10.7,7.5,"",""
"LAJA_048_139",31,16.2,10.5,"",""
"LAJA_048_142",31,17.7,10.5,"",""
"LAJA_048_017",31,9.2,1.5,"",""
"LAJA_048_070",31,17.7,4.5,"",""
"LAJA_048_051",31,8.2,4.5,"",""
"LAJA_048_074",31,1.7,7.5,"",""
"LAJA_048_172",31,14.7,13.5,"",""
"LAJA_048_160",31,8.7,13.5,"",""
"LAJA_048_208",31,14.7,16.5,"",""
"LAJA_048_180",31,18.7,13.5,"",""
"LAJA_048_163",31,10.2,13.5,"",""
"LAJA_048_151",31,4.2,13.5,"",""
"LAJA_048_008",31,4.7,1.5,"",""
"LAJA_048_009",31,5.2,1.5,"",""
"LAJA_048_072",31,18.7,4.5,"",""
"LAJA_048_073",31,1.2,7.5,"",""
"LAJA_048_075",31,2.2,7.5,"",""
"LAJA_048_119",31,6.2,10.5,"",""
"LAJA_048_188",31,4.7,16.5,"",""
"LAJA_048_179",31,18.2,13.5,"",""
"LAJA_048_083",31,6.2,7.5,"",""
"LAJA_048_174",31,15.7,13.5,"",""
"LAJA_048_021",31,11.2,1.5,"",""
"LAJA_048_135",31,14.2,10.5,"",""
"LAJA_048_117",31,5.2,10.5,"",""
"LAJA_048_157",31,7.2,13.5,"",""
"LAJA_048_165",31,11.2,13.5,"",""
"LAJA_048_081",31,5.2,7.5,"",""
"LAJA_048_148",31,2.7,13.5,"",""
"LAJA_048_177",31,17.2,13.5,"",""
"LAJA_048_134",31,13.7,10.5,"",""
"LAJA_048_122",31,7.7,10.5,"",""
"LAJA_048_099",31,14.2,7.5,"",""
"LAJA_048_114",31,3.7,10.5,"",""
"LAJA_048_082",31,5.7,7.5,"",""
"LAJA_048_191",31,6.2,16.5,"",""
"LAJA_048_064",31,14.7,4.5,"",""
"LAJA_048_121",31,7.2,10.5,"",""
"LAJA_048_210",31,15.7,16.5,"",""
"LAJA_048_102",31,15.7,7.5,"",""
"LAJA_048_137",31,15.2,10.5,"",""
"LAJA_048_019",31,10.2,1.5,"",""
"LAJA_048_097",31,13.2,7.5,"",""
"LAJA_048_149",31,3.2,13.5,"",""
"LAJA_048_046",31,5.7,4.5,"",""
"LAJA_048_168",31,12.7,13.5,"",""
"LAJA_048_018",31,9.7,1.5,"",""
"LAJA_048_189",31,5.2,16.5,"",""
"LAJA_048_006",31,3.7,1.5,"",""
"LAJA_048_116",31,4.7,10.5,"",""
"LAJA_048_011",31,6.2,1.5,"",""
"LAJA_048_146",31,1.7,13.5,"",""
"LAJA_048_143",31,18.2,10.5,"",""
"LAJA_048_016",31,8.7,1.5,"",""
"LAJA_048_209",31,15.2,16.5,"",""
"LAJA_048_037",31,1.2,4.5,"",""
"LAJA_048_202",31,11.7,16.5,"",""
"LAJA_048_103",31,16.2,7.5,"",""
"LAJA_048_048",31,6.7,4.5,"",""
"LAJA_048_094",31,11.7,7.5,"",""
"LAJA_048_150",31,3.7,13.5,"",""
"LAJA_048_098",31,13.7,7.5,"",""
"LAJA_048_077",31,3.2,7.5,"",""
"LAJA_048_155",31,6.2,13.5,"",""
"LAJA_048_042",31,3.7,4.5,"",""
"LAJA_048_136",31,14.7,10.5,"",""
"LAJA_048_022",31,11.7,1.5,"",""
"LAJA_048_156",31,6.7,13.5,"",""
"LAJA_048_194",31,7.7,16.5,"",""
"LAJA_048_039",31,2.2,4.5,"",""
"LAJA_048_141",31,17.2,10.5,"",""
"LAJA_048_058",31,11.7,4.5,"",""
"LAJA_048_027",31,14.2,1.5,"",""
"LAJA_048_015",31,8.2,1.5,"",""
"LAJA_048_206",31,13.7,16.5,"",""
"LAJA_048_144",31,18.7,10.5,"",""
"LAJA_048_067",31,16.2,4.5,"",""
"LAJA_048_123",31,8.2,10.5,"",""
"LAJA_048_095",31,12.2,7.5,"",""
"LAJA_048_013",31,7.2,1.5,"",""
"LAJA_048_171",31,14.2,13.5,"",""
"LAJA_048_204",31,12.7,16.5,"",""
"LAJA_048_010",31,5.7,1.5,"",""
"LAJA_048_063",31,14.2,4.5,"",""
"LAJA_048_053",31,9.2,4.5,"",""
"LAJA_048_078",31,3.7,7.5,"",""
"LAJA_048_062",31,13.7,4.5,"",""
"LAJA_048_199",31,10.2,16.5,"",""
"LAJA_048_012",31,6.7,1.5,"",""
"LAJA_048_068",31,16.7,4.5,"",""
"LAJA_048_178",31,17.7,13.5,"",""
"LAJA_048_205",31,13.2,16.5,"",""
"LAJA_048_047",31,6.2,4.5,"",""
"LAJA_048_069",31,17.2,4.5,"",""
"LAJA_048_187",31,4.2,16.5,"",""
"LAJA_048_014",31,7.7,1.5,"",""
"LAJA_048_101",31,15.2,7.5,"",""
"LAJA_048_023",31,12.2,1.5,"",""
"LAJA_048_198",31,9.7,16.5,"",""
"LAJA_048_038",31,1.7,4.5,"",""
"LAJA_048_186",31,3.7,16.5,"",""
"LAJA_048_060",31,12.7,4.5,"",""
"LAJA_048_140",31,16.7,10.5,"",""
"LAJA_048_203",31,12.2,16.5,"",""
