"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"LENO_070_949",41,10.2,16.5,"",""
"LENO_070_952",41,11.7,16.5,"",""
"LENO_070_937",41,4.2,16.5,"",""
"LENO_070_779",41,15.2,1.5,"",""
"LENO_070_897",41,2.2,13.5,"",""
"LENO_070_812",41,13.7,4.5,"",""
"LENO_070_829",41,4.2,7.5,"",""
"LENO_070_896",41,1.7,13.5,"",""
"LENO_070_764",41,7.7,1.5,"",""
"LENO_070_955",41,13.2,16.5,"",""
"LENO_070_871",41,7.2,10.5,"",""
"LENO_070_903",41,5.2,13.5,"",""
"LENO_070_909",41,8.2,13.5,"",""
"LENO_070_929",41,18.2,13.5,"",""
"LENO_070_866",41,4.7,10.5,"",""
"LENO_070_846",41,12.7,7.5,"",""
"LENO_070_759",41,5.2,1.5,"",""
"LENO_070_889",41,16.2,10.5,"",""
"LENO_070_834",41,6.7,7.5,"",""
"LENO_070_908",41,7.7,13.5,"",""
"LENO_070_776",41,13.7,1.5,"",""
"LENO_070_881",41,12.2,10.5,"",""
"LENO_070_855",41,17.2,7.5,"",""
"LENO_070_922",41,14.7,13.5,"",""
"LENO_070_789",41,2.2,4.5,"",""
"LENO_070_947",41,9.2,16.5,"",""
"LENO_070_939",41,5.2,16.5,"",""
"LENO_070_916",41,11.7,13.5,"",""
"LENO_070_907",41,7.2,13.5,"",""
"LENO_070_817",41,16.2,4.5,"",""
"LENO_070_923",41,15.2,13.5,"",""
"LENO_070_771",41,11.2,1.5,"",""
"LENO_070_917",41,12.2,13.5,"",""
"LENO_070_833",41,6.2,7.5,"",""
"LENO_070_831",41,5.2,7.5,"",""
"LENO_070_957",41,14.2,16.5,"",""
"LENO_070_899",41,3.2,13.5,"",""
"LENO_070_828",41,3.7,7.5,"",""
"LENO_070_935",41,3.2,16.5,"",""
"LENO_070_767",41,9.2,1.5,"",""
"LENO_070_931",41,1.2,16.5,"",""
"LENO_070_893",41,18.2,10.5,"",""
"LENO_070_791",41,3.2,4.5,"",""
"LENO_070_815",41,15.2,4.5,"",""
"LENO_070_880",41,11.7,10.5,"",""
"LENO_070_843",41,11.2,7.5,"",""
"LENO_070_879",41,11.2,10.5,"",""
"LENO_070_782",41,16.7,1.5,"",""
"LENO_070_826",41,2.7,7.5,"",""
"LENO_070_914",41,10.7,13.5,"",""
"LENO_070_847",41,13.2,7.5,"",""
"LENO_070_933",41,2.2,16.5,"",""
"LENO_070_814",41,14.7,4.5,"",""
"LENO_070_920",41,13.7,13.5,"",""
"LENO_070_772",41,11.7,1.5,"",""
"LENO_070_856",41,17.7,7.5,"",""
"LENO_070_867",41,5.2,10.5,"",""
"LENO_070_823",41,1.2,7.5,"",""
"LENO_070_792",41,3.7,4.5,"",""
"LENO_070_942",41,6.7,16.5,"",""
"LENO_070_882",41,12.7,10.5,"",""
"LENO_070_852",41,15.7,7.5,"",""
"LENO_070_787",41,1.2,4.5,"",""
"LENO_070_898",41,2.7,13.5,"",""
"LENO_070_859",41,1.2,10.5,"",""
"LENO_070_940",41,5.7,16.5,"",""
"LENO_070_763",41,7.2,1.5,"",""
"LENO_070_795",41,5.2,4.5,"",""
"LENO_070_781",41,16.2,1.5,"",""
"LENO_070_854",41,16.7,7.5,"",""
"LENO_070_807",41,11.2,4.5,"",""
"LENO_070_958",41,14.7,16.5,"",""
"LENO_070_775",41,13.2,1.5,"",""
"LENO_070_769",41,10.2,1.5,"",""
"LENO_070_857",41,18.2,7.5,"",""
"LENO_070_936",41,3.7,16.5,"",""
"LENO_070_784",41,17.7,1.5,"",""
"LENO_070_850",41,14.7,7.5,"",""
"LENO_070_872",41,7.7,10.5,"",""
"LENO_070_844",41,11.7,7.5,"",""
"LENO_070_761",41,6.2,1.5,"",""
"LENO_070_849",41,14.2,7.5,"",""
"LENO_070_805",41,10.2,4.5,"",""
"LENO_070_786",41,18.7,1.5,"",""
"LENO_070_902",41,4.7,13.5,"",""
"LENO_070_801",41,8.2,4.5,"",""
"LENO_070_944",41,7.7,16.5,"",""
"LENO_070_790",41,2.7,4.5,"",""
"LENO_070_797",41,6.2,4.5,"",""
"LENO_070_883",41,13.2,10.5,"",""
"LENO_070_886",41,14.7,10.5,"",""
"LENO_070_766",41,8.7,1.5,"",""
"LENO_070_900",41,3.7,13.5,"",""
"LENO_070_804",41,9.7,4.5,"",""
"LENO_070_961",41,16.2,16.5,"",""
"LENO_070_799",41,7.2,4.5,"",""
"LENO_070_802",41,8.7,4.5,"",""
"LENO_070_824",41,1.7,7.5,"",""
"LENO_070_918",41,12.7,13.5,"",""
"LENO_070_910",41,8.7,13.5,"",""
"LENO_070_836",41,7.7,7.5,"",""
"LENO_070_926",41,16.7,13.5,"",""
"LENO_070_890",41,16.7,10.5,"",""
"LENO_070_756",41,3.7,1.5,"",""
"LENO_070_956",41,13.7,16.5,"",""
"LENO_070_960",41,15.7,16.5,"",""
"LENO_070_884",41,13.7,10.5,"",""
"LENO_070_938",41,4.7,16.5,"",""
"LENO_070_825",41,2.2,7.5,"",""
"LENO_070_762",41,6.7,1.5,"",""
"LENO_070_861",41,2.2,10.5,"",""
"LENO_070_894",41,18.7,10.5,"",""
"LENO_070_954",41,12.7,16.5,"",""
"LENO_070_865",41,4.2,10.5,"",""
"LENO_070_930",41,18.7,13.5,"",""
"LENO_070_864",41,3.7,10.5,"",""
"LENO_070_906",41,6.7,13.5,"",""
"LENO_070_913",41,10.2,13.5,"",""
"LENO_070_793",41,4.2,4.5,"",""
"LENO_070_810",41,12.7,4.5,"",""
"LENO_070_777",41,14.2,1.5,"",""
"LENO_070_941",41,6.2,16.5,"",""
"LENO_070_862",41,2.7,10.5,"",""
"LENO_070_863",41,3.2,10.5,"",""
"LENO_070_760",41,5.7,1.5,"",""
"LENO_070_911",41,9.2,13.5,"",""
"LENO_070_803",41,9.2,4.5,"",""
"LENO_070_774",41,12.7,1.5,"",""
"LENO_070_830",41,4.7,7.5,"",""
"LENO_070_845",41,12.2,7.5,"",""
"LENO_070_870",41,6.7,10.5,"",""
"LENO_070_794",41,4.7,4.5,"",""
"LENO_070_835",41,7.2,7.5,"",""
"LENO_070_892",41,17.7,10.5,"",""
"LENO_070_948",41,9.7,16.5,"",""
"LENO_070_806",41,10.7,4.5,"",""
"LENO_070_820",41,17.7,4.5,"",""
"LENO_070_946",41,8.7,16.5,"",""
"LENO_070_860",41,1.7,10.5,"",""
"LENO_070_924",41,15.7,13.5,"",""
"LENO_070_832",41,5.7,7.5,"",""
"LENO_070_765",41,8.2,1.5,"",""
"LENO_070_887",41,15.2,10.5,"",""
"LENO_070_905",41,6.2,13.5,"",""
"LENO_070_904",41,5.7,13.5,"",""
"LENO_070_800",41,7.7,4.5,"",""
"LENO_070_821",41,18.2,4.5,"",""
"LENO_070_808",41,11.7,4.5,"",""
"LENO_070_818",41,16.7,4.5,"",""
"LENO_070_934",41,2.7,16.5,"",""
"LENO_070_912",41,9.7,13.5,"",""
"LENO_070_778",41,14.7,1.5,"",""
"LENO_070_925",41,16.2,13.5,"",""
"LENO_070_927",41,17.2,13.5,"",""
"LENO_070_788",41,1.7,4.5,"",""
"LENO_070_758",41,4.7,1.5,"",""
"LENO_070_768",41,9.7,1.5,"",""
"LENO_070_959",41,15.2,16.5,"",""
"LENO_070_770",41,10.7,1.5,"",""
"LENO_070_827",41,3.2,7.5,"",""
"LENO_070_785",41,18.2,1.5,"",""
"LENO_070_798",41,6.7,4.5,"",""
"LENO_070_919",41,13.2,13.5,"",""
"LENO_070_891",41,17.2,10.5,"",""
"LENO_070_921",41,14.2,13.5,"",""
"LENO_070_853",41,16.2,7.5,"",""
"LENO_070_780",41,15.7,1.5,"",""
"LENO_070_757",41,4.2,1.5,"",""
"LENO_070_868",41,5.7,10.5,"",""
"LENO_070_895",41,1.2,13.5,"",""
"LENO_070_901",41,4.2,13.5,"",""
"LENO_070_953",41,12.2,16.5,"",""
"LENO_070_858",41,18.7,7.5,"",""
"LENO_070_945",41,8.2,16.5,"",""
"LENO_070_928",41,17.7,13.5,"",""
"LENO_070_950",41,10.7,16.5,"",""
"LENO_070_816",41,15.7,4.5,"",""
"LENO_070_951",41,11.2,16.5,"",""
"LENO_070_796",41,5.7,4.5,"",""
"LENO_070_888",41,15.7,10.5,"",""
"LENO_070_885",41,14.2,10.5,"",""
"LENO_070_809",41,12.2,4.5,"",""
"LENO_070_848",41,13.7,7.5,"",""
"LENO_070_819",41,17.2,4.5,"",""
"LENO_070_811",41,13.2,4.5,"",""
"LENO_070_813",41,14.2,4.5,"",""
"LENO_070_783",41,17.2,1.5,"",""
"LENO_070_773",41,12.2,1.5,"",""
"LENO_070_822",41,18.7,4.5,"",""
"LENO_070_869",41,6.2,10.5,"",""
"LENO_070_915",41,11.2,13.5,"",""
"LENO_070_943",41,7.2,16.5,"",""
"LENO_070_932",41,1.7,16.5,"",""
"LENO_070_851",41,15.2,7.5,"",""
