clipID,subplotID,offsetEasting,offsetNorthing,status,date,
OAES_060_202,31,11.7,16.5,1,20150331,
OAES_060_176,31,16.7,13.5,1,20150428,
OAES_060_065,31,15.2,4.5,1,20150526,
OAES_060_195,31,8.2,16.5,1,20151021,
OAES_060_076,31,2.7,7.5,0,20160615,Rejected
OAES_060_017,31,9.2,1.5,1,20160615,
OAES_060_116,31,4.7,10.5,,,
OAES_060_120,31,6.7,10.5,,,
OAES_060_177,31,17.2,13.5,,,
OAES_060_193,31,7.2,16.5,,,
OAES_060_167,31,12.2,13.5,,,
OAES_060_038,31,1.7,4.5,,,
OAES_060_208,31,14.7,16.5,,,
OAES_060_040,31,2.7,4.5,,,
OAES_060_175,31,16.2,13.5,,,
OAES_060_168,31,12.7,13.5,,,
OAES_060_083,31,6.2,7.5,,,
OAES_060_211,31,16.2,16.5,,,
OAES_060_049,31,7.2,4.5,,,
OAES_060_201,31,11.2,16.5,,,
OAES_060_077,31,3.2,7.5,,,
OAES_060_055,31,10.2,4.5,,,
OAES_060_020,31,10.7,1.5,,,
OAES_060_097,31,13.2,7.5,,,
OAES_060_013,31,7.2,1.5,,,
OAES_060_166,31,11.7,13.5,,,
OAES_060_066,31,15.7,4.5,,,
OAES_060_125,31,9.2,10.5,,,
OAES_060_071,31,18.2,4.5,,,
OAES_060_100,31,14.7,7.5,,,
OAES_060_091,31,10.2,7.5,,,
OAES_060_019,31,10.2,1.5,,,
OAES_060_021,31,11.2,1.5,,,
OAES_060_059,31,12.2,4.5,,,
OAES_060_052,31,8.7,4.5,,,
OAES_060_064,31,14.7,4.5,,,
OAES_060_061,31,13.2,4.5,,,
OAES_060_151,31,4.2,13.5,,,
OAES_060_078,31,3.7,7.5,,,
OAES_060_046,31,5.7,4.5,,,
OAES_060_029,31,15.2,1.5,,,
OAES_060_114,31,3.7,10.5,,,
OAES_060_054,31,9.7,4.5,,,
OAES_060_039,31,2.2,4.5,,,
OAES_060_169,31,13.2,13.5,,,
OAES_060_042,31,3.7,4.5,,,
OAES_060_191,31,6.2,16.5,,,
OAES_060_067,31,16.2,4.5,,,
OAES_060_146,31,1.7,13.5,,,
OAES_060_024,31,12.7,1.5,,,
OAES_060_060,31,12.7,4.5,,,
OAES_060_058,31,11.7,4.5,,,
OAES_060_103,31,16.2,7.5,,,
OAES_060_123,31,8.2,10.5,,,
OAES_060_145,31,1.2,13.5,,,
OAES_060_041,31,3.2,4.5,,,
OAES_060_172,31,14.7,13.5,,,
OAES_060_206,31,13.7,16.5,,,
OAES_060_203,31,12.2,16.5,,,
OAES_060_139,31,16.2,10.5,,,
OAES_060_189,31,5.2,16.5,,,
OAES_060_163,31,10.2,13.5,,,
OAES_060_149,31,3.2,13.5,,,
OAES_060_030,31,15.7,1.5,,,
OAES_060_053,31,9.2,4.5,,,
OAES_060_135,31,14.2,10.5,,,
OAES_060_118,31,5.7,10.5,,,
OAES_060_159,31,8.2,13.5,,,
OAES_060_081,31,5.2,7.5,,,
OAES_060_153,31,5.2,13.5,,,
OAES_060_092,31,10.7,7.5,,,
OAES_060_180,31,18.7,13.5,,,
OAES_060_210,31,15.7,16.5,,,
OAES_060_093,31,11.2,7.5,,,
OAES_060_198,31,9.7,16.5,,,
OAES_060_174,31,15.7,13.5,,,
OAES_060_023,31,12.2,1.5,,,
OAES_060_140,31,16.7,10.5,,,
OAES_060_138,31,15.7,10.5,,,
OAES_060_164,31,10.7,13.5,,,
OAES_060_188,31,4.7,16.5,,,
OAES_060_147,31,2.2,13.5,,,
OAES_060_126,31,9.7,10.5,,,
OAES_060_012,31,6.7,1.5,,,
OAES_060_031,31,16.2,1.5,,,
OAES_060_122,31,7.7,10.5,,,
OAES_060_026,31,13.7,1.5,,,
OAES_060_056,31,10.7,4.5,,,
OAES_060_156,31,6.7,13.5,,,
OAES_060_194,31,7.7,16.5,,,
OAES_060_117,31,5.2,10.5,,,
OAES_060_162,31,9.7,13.5,,,
OAES_060_070,31,17.7,4.5,,,
OAES_060_192,31,6.7,16.5,,,
OAES_060_205,31,13.2,16.5,,,
OAES_060_136,31,14.7,10.5,,,
OAES_060_099,31,14.2,7.5,,,
OAES_060_045,31,5.2,4.5,,,
OAES_060_048,31,6.7,4.5,,,
OAES_060_006,31,3.7,1.5,,,
OAES_060_025,31,13.2,1.5,,,
OAES_060_115,31,4.2,10.5,,,
OAES_060_037,31,1.2,4.5,,,
OAES_060_207,31,14.2,16.5,,,
OAES_060_022,31,11.7,1.5,,,
OAES_060_158,31,7.7,13.5,,,
OAES_060_016,31,8.7,1.5,,,
OAES_060_095,31,12.2,7.5,,,
OAES_060_197,31,9.2,16.5,,,
OAES_060_155,31,6.2,13.5,,,
OAES_060_080,31,4.7,7.5,1,20161018,
OAES_060_079,31,4.2,7.5,,,
OAES_060_190,31,5.7,16.5,,,
OAES_060_170,31,13.7,13.5,,,
OAES_060_179,31,18.2,13.5,,,
OAES_060_178,31,17.7,13.5,,,
OAES_060_008,31,4.7,1.5,,,
OAES_060_148,31,2.7,13.5,,,
OAES_060_010,31,5.7,1.5,,,
OAES_060_200,31,10.7,16.5,,,
OAES_060_044,31,4.7,4.5,,,
OAES_060_014,31,7.7,1.5,,,
OAES_060_196,31,8.7,16.5,,,
OAES_060_101,31,15.2,7.5,,,
OAES_060_199,31,10.2,16.5,,,
OAES_060_209,31,15.2,16.5,,,
OAES_060_173,31,15.2,13.5,,,
OAES_060_098,31,13.7,7.5,,,
OAES_060_062,31,13.7,4.5,,,
OAES_060_154,31,5.7,13.5,,,
OAES_060_074,31,1.7,7.5,,,
OAES_060_161,31,9.2,13.5,,,
OAES_060_072,31,18.7,4.5,,,
OAES_060_096,31,12.7,7.5,,,
OAES_060_047,31,6.2,4.5,,,
OAES_060_137,31,15.2,10.5,,,
OAES_060_018,31,9.7,1.5,,,
OAES_060_069,31,17.2,4.5,,,
OAES_060_124,31,8.7,10.5,,,
OAES_060_144,31,18.7,10.5,,,
OAES_060_051,31,8.2,4.5,,,
OAES_060_063,31,14.2,4.5,,,
OAES_060_057,31,11.2,4.5,,,
OAES_060_119,31,6.2,10.5,,,
OAES_060_009,31,5.2,1.5,,,
OAES_060_121,31,7.2,10.5,,,
OAES_060_141,31,17.2,10.5,,,
OAES_060_204,31,12.7,16.5,,,
OAES_060_050,31,7.7,4.5,,,
OAES_060_165,31,11.2,13.5,,,
OAES_060_187,31,4.2,16.5,,,
OAES_060_157,31,7.2,13.5,,,
OAES_060_152,31,4.7,13.5,,,
OAES_060_015,31,8.2,1.5,,,
OAES_060_102,31,15.7,7.5,,,
OAES_060_082,31,5.7,7.5,,,
OAES_060_134,31,13.7,10.5,,,
OAES_060_011,31,6.2,1.5,,,
OAES_060_186,31,3.7,16.5,,,
OAES_060_028,31,14.7,1.5,,,
OAES_060_142,31,17.7,10.5,,,
OAES_060_043,31,4.2,4.5,,,
OAES_060_143,31,18.2,10.5,,,
OAES_060_073,31,1.2,7.5,,,
OAES_060_171,31,14.2,13.5,,,
OAES_060_094,31,11.7,7.5,,,
OAES_060_160,31,8.7,13.5,,,
OAES_060_027,31,14.2,1.5,,,
OAES_060_068,31,16.7,4.5,,,
OAES_060_075,31,2.2,7.5,,,
OAES_060_150,31,3.7,13.5,,,
OAES_060_007,31,4.2,1.5,,,
