"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"ONAQ_054_020",31,10.7,1.5,"",""
"ONAQ_054_166",31,11.7,13.5,"",""
"ONAQ_054_006",31,3.7,1.5,"",""
"ONAQ_054_042",31,3.7,4.5,"",""
"ONAQ_054_198",31,9.7,16.5,"",""
"ONAQ_054_097",31,13.2,7.5,"",""
"ONAQ_054_180",31,18.7,13.5,"",""
"ONAQ_054_120",31,6.7,10.5,"",""
"ONAQ_054_073",31,1.2,7.5,"",""
"ONAQ_054_148",31,2.7,13.5,"",""
"ONAQ_054_209",31,15.2,16.5,"",""
"ONAQ_054_040",31,2.7,4.5,"",""
"ONAQ_054_065",31,15.2,4.5,"",""
"ONAQ_054_137",31,15.2,10.5,"",""
"ONAQ_054_204",31,12.7,16.5,"",""
"ONAQ_054_175",31,16.2,13.5,"",""
"ONAQ_054_012",31,6.7,1.5,"",""
"ONAQ_054_024",31,12.7,1.5,"",""
"ONAQ_054_149",31,3.2,13.5,"",""
"ONAQ_054_114",31,3.7,10.5,"",""
"ONAQ_054_048",31,6.7,4.5,"",""
"ONAQ_054_080",31,4.7,7.5,"",""
"ONAQ_054_207",31,14.2,16.5,"",""
"ONAQ_054_022",31,11.7,1.5,"",""
"ONAQ_054_178",31,17.7,13.5,"",""
"ONAQ_054_118",31,5.7,10.5,"",""
"ONAQ_054_046",31,5.7,4.5,"",""
"ONAQ_054_075",31,2.2,7.5,"",""
"ONAQ_054_145",31,1.2,13.5,"",""
"ONAQ_054_122",31,7.7,10.5,"",""
"ONAQ_054_064",31,14.7,4.5,"",""
"ONAQ_054_125",31,9.2,10.5,"",""
"ONAQ_054_177",31,17.2,13.5,"",""
"ONAQ_054_193",31,7.2,16.5,"",""
"ONAQ_054_021",31,11.2,1.5,"",""
"ONAQ_054_057",31,11.2,4.5,"",""
"ONAQ_054_205",31,13.2,16.5,"",""
"ONAQ_054_134",31,13.7,10.5,"",""
"ONAQ_054_203",31,12.2,16.5,"",""
"ONAQ_054_124",31,8.7,10.5,"",""
"ONAQ_054_027",31,14.2,1.5,"",""
"ONAQ_054_050",31,7.7,4.5,"",""
"ONAQ_054_197",31,9.2,16.5,"",""
"ONAQ_054_094",31,11.7,7.5,"",""
"ONAQ_054_078",31,3.7,7.5,"",""
"ONAQ_054_015",31,8.2,1.5,"",""
"ONAQ_054_123",31,8.2,10.5,"",""
"ONAQ_054_136",31,14.7,10.5,"",""
"ONAQ_054_146",31,1.7,13.5,"",""
"ONAQ_054_071",31,18.2,4.5,"",""
"ONAQ_054_119",31,6.2,10.5,"",""
"ONAQ_054_043",31,4.2,4.5,"",""
"ONAQ_054_055",31,10.2,4.5,"",""
"ONAQ_054_063",31,14.2,4.5,"",""
"ONAQ_054_066",31,15.7,4.5,"",""
"ONAQ_054_101",31,15.2,7.5,"",""
"ONAQ_054_081",31,5.2,7.5,"",""
"ONAQ_054_069",31,17.2,4.5,"",""
"ONAQ_054_060",31,12.7,4.5,"",""
"ONAQ_054_061",31,13.2,4.5,"",""
"ONAQ_054_171",31,14.2,13.5,"",""
"ONAQ_054_039",31,2.2,4.5,"",""
"ONAQ_054_201",31,11.2,16.5,"",""
"ONAQ_054_140",31,16.7,10.5,"",""
"ONAQ_054_191",31,6.2,16.5,"",""
"ONAQ_054_158",31,7.7,13.5,"",""
"ONAQ_054_079",31,4.2,7.5,"",""
"ONAQ_054_138",31,15.7,10.5,"",""
"ONAQ_054_121",31,7.2,10.5,"",""
"ONAQ_054_179",31,18.2,13.5,"",""
"ONAQ_054_068",31,16.7,4.5,"",""
"ONAQ_054_135",31,14.2,10.5,"",""
"ONAQ_054_154",31,5.7,13.5,"",""
"ONAQ_054_190",31,5.7,16.5,"",""
"ONAQ_054_139",31,16.2,10.5,"",""
"ONAQ_054_103",31,16.2,7.5,"",""
"ONAQ_054_186",31,3.7,16.5,"",""
"ONAQ_054_016",31,8.7,1.5,"",""
"ONAQ_054_010",31,5.7,1.5,"",""
"ONAQ_054_041",31,3.2,4.5,"",""
"ONAQ_054_156",31,6.7,13.5,"",""
"ONAQ_054_174",31,15.7,13.5,"",""
"ONAQ_054_049",31,7.2,4.5,"",""
"ONAQ_054_176",31,16.7,13.5,"",""
"ONAQ_054_013",31,7.2,1.5,"",""
"ONAQ_054_053",31,9.2,4.5,"",""
"ONAQ_054_116",31,4.7,10.5,"",""
"ONAQ_054_044",31,4.7,4.5,"",""
"ONAQ_054_058",31,11.7,4.5,"",""
"ONAQ_054_077",31,3.2,7.5,"",""
"ONAQ_054_019",31,10.2,1.5,"",""
"ONAQ_054_115",31,4.2,10.5,"",""
"ONAQ_054_206",31,13.7,16.5,"",""
"ONAQ_054_194",31,7.7,16.5,"",""
"ONAQ_054_155",31,6.2,13.5,"",""
"ONAQ_054_093",31,11.2,7.5,"",""
"ONAQ_054_009",31,5.2,1.5,"",""
"ONAQ_054_031",31,16.2,1.5,"",""
"ONAQ_054_028",31,14.7,1.5,"",""
"ONAQ_054_098",31,13.7,7.5,"",""
"ONAQ_054_082",31,5.7,7.5,"",""
"ONAQ_054_011",31,6.2,1.5,"",""
"ONAQ_054_151",31,4.2,13.5,"",""
"ONAQ_054_170",31,13.7,13.5,"",""
"ONAQ_054_152",31,4.7,13.5,"",""
"ONAQ_054_099",31,14.2,7.5,"",""
"ONAQ_054_030",31,15.7,1.5,"",""
"ONAQ_054_096",31,12.7,7.5,"",""
"ONAQ_054_196",31,8.7,16.5,"",""
"ONAQ_054_187",31,4.2,16.5,"",""
"ONAQ_054_159",31,8.2,13.5,"",""
"ONAQ_054_195",31,8.2,16.5,"",""
"ONAQ_054_038",31,1.7,4.5,"",""
"ONAQ_054_007",31,4.2,1.5,"",""
"ONAQ_054_200",31,10.7,16.5,"",""
"ONAQ_054_014",31,7.7,1.5,"",""
"ONAQ_054_202",31,11.7,16.5,"",""
"ONAQ_054_189",31,5.2,16.5,"",""
"ONAQ_054_102",31,15.7,7.5,"",""
"ONAQ_054_074",31,1.7,7.5,"",""
"ONAQ_054_188",31,4.7,16.5,"",""
"ONAQ_054_160",31,8.7,13.5,"",""
"ONAQ_054_067",31,16.2,4.5,"",""
"ONAQ_054_054",31,9.7,4.5,"",""
"ONAQ_054_142",31,17.7,10.5,"",""
"ONAQ_054_126",31,9.7,10.5,"",""
"ONAQ_054_008",31,4.7,1.5,"",""
"ONAQ_054_161",31,9.2,13.5,"",""
"ONAQ_054_052",31,8.7,4.5,"",""
"ONAQ_054_169",31,13.2,13.5,"",""
"ONAQ_054_025",31,13.2,1.5,"",""
"ONAQ_054_117",31,5.2,10.5,"",""
"ONAQ_054_070",31,17.7,4.5,"",""
"ONAQ_054_026",31,13.7,1.5,"",""
"ONAQ_054_018",31,9.7,1.5,"",""
"ONAQ_054_211",31,16.2,16.5,"",""
"ONAQ_054_153",31,5.2,13.5,"",""
"ONAQ_054_091",31,10.2,7.5,"",""
"ONAQ_054_165",31,11.2,13.5,"",""
"ONAQ_054_173",31,15.2,13.5,"",""
"ONAQ_054_147",31,2.2,13.5,"",""
"ONAQ_054_023",31,12.2,1.5,"",""
"ONAQ_054_029",31,15.2,1.5,"",""
"ONAQ_054_092",31,10.7,7.5,"",""
"ONAQ_054_150",31,3.7,13.5,"",""
"ONAQ_054_162",31,9.7,13.5,"",""
"ONAQ_054_210",31,15.7,16.5,"",""
"ONAQ_054_167",31,12.2,13.5,"",""
"ONAQ_054_168",31,12.7,13.5,"",""
"ONAQ_054_143",31,18.2,10.5,"",""
"ONAQ_054_072",31,18.7,4.5,"",""
"ONAQ_054_164",31,10.7,13.5,"",""
"ONAQ_054_051",31,8.2,4.5,"",""
"ONAQ_054_037",31,1.2,4.5,"",""
"ONAQ_054_199",31,10.2,16.5,"",""
"ONAQ_054_172",31,14.7,13.5,"",""
"ONAQ_054_045",31,5.2,4.5,"",""
"ONAQ_054_056",31,10.7,4.5,"",""
"ONAQ_054_076",31,2.7,7.5,"",""
"ONAQ_054_100",31,14.7,7.5,"",""
"ONAQ_054_144",31,18.7,10.5,"",""
"ONAQ_054_208",31,14.7,16.5,"",""
"ONAQ_054_163",31,10.2,13.5,"",""
"ONAQ_054_059",31,12.2,4.5,"",""
"ONAQ_054_141",31,17.2,10.5,"",""
"ONAQ_054_047",31,6.2,4.5,"",""
"ONAQ_054_017",31,9.2,1.5,"",""
"ONAQ_054_192",31,6.7,16.5,"",""
"ONAQ_054_083",31,6.2,7.5,"",""
"ONAQ_054_157",31,7.2,13.5,"",""
"ONAQ_054_095",31,12.2,7.5,"",""
"ONAQ_054_062",31,13.7,4.5,"",""
