"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"SJER_059_176",21,16.7,13.5,"",""
"SJER_059_080",21,4.7,7.5,"",""
"SJER_059_198",21,9.7,16.5,"",""
"SJER_059_203",21,12.2,16.5,"",""
"SJER_059_161",21,9.2,13.5,"",""
"SJER_059_058",21,11.7,4.5,"",""
"SJER_059_073",21,1.2,7.5,"",""
"SJER_059_006",21,3.7,1.5,"",""
"SJER_059_194",21,7.7,16.5,"",""
"SJER_059_087",21,8.2,7.5,"",""
"SJER_059_188",21,4.7,16.5,"",""
"SJER_059_067",21,16.2,4.5,"",""
"SJER_059_071",21,18.2,4.5,"",""
"SJER_059_185",21,3.2,16.5,"",""
"SJER_059_075",21,2.2,7.5,"",""
"SJER_059_017",21,9.2,1.5,"",""
"SJER_059_059",21,12.2,4.5,"",""
"SJER_059_057",21,11.2,4.5,"",""
"SJER_059_026",21,13.7,1.5,"",""
"SJER_059_077",21,3.2,7.5,"",""
"SJER_059_108",21,18.7,7.5,"",""
"SJER_059_116",21,4.7,10.5,"",""
"SJER_059_157",21,7.2,13.5,"",""
"SJER_059_047",21,6.2,4.5,"",""
"SJER_059_144",21,18.7,10.5,"",""
"SJER_059_155",21,6.2,13.5,"",""
"SJER_059_042",21,3.7,4.5,"",""
"SJER_059_008",21,4.7,1.5,"",""
"SJER_059_110",21,1.7,10.5,"",""
"SJER_059_211",21,16.2,16.5,"",""
"SJER_059_088",21,8.7,7.5,"",""
"SJER_059_205",21,13.2,16.5,"",""
"SJER_059_132",21,12.7,10.5,"",""
"SJER_059_012",21,6.7,1.5,"",""
"SJER_059_027",21,14.2,1.5,"",""
"SJER_059_115",21,4.2,10.5,"",""
"SJER_059_137",21,15.2,10.5,"",""
"SJER_059_020",21,10.7,1.5,"",""
"SJER_059_021",21,11.2,1.5,"",""
"SJER_059_208",21,14.7,16.5,"",""
"SJER_059_177",21,17.2,13.5,"",""
"SJER_059_070",21,17.7,4.5,"",""
"SJER_059_082",21,5.7,7.5,"",""
"SJER_059_050",21,7.7,4.5,"",""
"SJER_059_113",21,3.2,10.5,"",""
"SJER_059_122",21,7.7,10.5,"",""
"SJER_059_081",21,5.2,7.5,"",""
"SJER_059_150",21,3.7,13.5,"",""
"SJER_059_117",21,5.2,10.5,"",""
"SJER_059_055",21,10.2,4.5,"",""
"SJER_059_025",21,13.2,1.5,"",""
"SJER_059_200",21,10.7,16.5,"",""
"SJER_059_145",21,1.2,13.5,"",""
"SJER_059_112",21,2.7,10.5,"",""
"SJER_059_152",21,4.7,13.5,"",""
"SJER_059_136",21,14.7,10.5,"",""
"SJER_059_019",21,10.2,1.5,"",""
"SJER_059_023",21,12.2,1.5,"",""
"SJER_059_104",21,16.7,7.5,"",""
"SJER_059_034",21,17.7,1.5,"",""
"SJER_059_123",21,8.2,10.5,"",""
"SJER_059_011",21,6.2,1.5,"",""
"SJER_059_134",21,13.7,10.5,"",""
"SJER_059_056",21,10.7,4.5,"",""
"SJER_059_187",21,4.2,16.5,"",""
"SJER_059_052",21,8.7,4.5,"",""
"SJER_059_140",21,16.7,10.5,"",""
"SJER_059_159",21,8.2,13.5,"",""
"SJER_059_138",21,15.7,10.5,"",""
"SJER_059_044",21,4.7,4.5,"",""
"SJER_059_098",21,13.7,7.5,"",""
"SJER_059_065",21,15.2,4.5,"",""
"SJER_059_028",21,14.7,1.5,"",""
"SJER_059_062",21,13.7,4.5,"",""
"SJER_059_085",21,7.2,7.5,"",""
"SJER_059_086",21,7.7,7.5,"",""
"SJER_059_046",21,5.7,4.5,"",""
"SJER_059_181",21,1.2,16.5,"",""
"SJER_059_103",21,16.2,7.5,"",""
"SJER_059_169",21,13.2,13.5,"",""
"SJER_059_009",21,5.2,1.5,"",""
"SJER_059_068",21,16.7,4.5,"",""
"SJER_059_171",21,14.2,13.5,"",""
"SJER_059_166",21,11.7,13.5,"",""
"SJER_059_189",21,5.2,16.5,"",""
"SJER_059_084",21,6.7,7.5,"",""
"SJER_059_109",21,1.2,10.5,"",""
"SJER_059_190",21,5.7,16.5,"",""
"SJER_059_210",21,15.7,16.5,"",""
"SJER_059_133",21,13.2,10.5,"",""
"SJER_059_074",21,1.7,7.5,"",""
"SJER_059_078",21,3.7,7.5,"",""
"SJER_059_079",21,4.2,7.5,"",""
"SJER_059_174",21,15.7,13.5,"",""
"SJER_059_048",21,6.7,4.5,"",""
"SJER_059_101",21,15.2,7.5,"",""
"SJER_059_054",21,9.7,4.5,"",""
"SJER_059_049",21,7.2,4.5,"",""
"SJER_059_201",21,11.2,16.5,"",""
"SJER_059_014",21,7.7,1.5,"",""
"SJER_059_186",21,3.7,16.5,"",""
"SJER_059_043",21,4.2,4.5,"",""
"SJER_059_197",21,9.2,16.5,"",""
"SJER_059_018",21,9.7,1.5,"",""
"SJER_059_111",21,2.2,10.5,"",""
"SJER_059_040",21,2.7,4.5,"",""
"SJER_059_191",21,6.2,16.5,"",""
"SJER_059_179",21,18.2,13.5,"",""
"SJER_059_072",21,18.7,4.5,"",""
"SJER_059_031",21,16.2,1.5,"",""
"SJER_059_148",21,2.7,13.5,"",""
"SJER_059_183",21,2.2,16.5,"",""
"SJER_059_064",21,14.7,4.5,"",""
"SJER_059_100",21,14.7,7.5,"",""
"SJER_059_029",21,15.2,1.5,"",""
"SJER_059_095",21,12.2,7.5,"",""
"SJER_059_007",21,4.2,1.5,"",""
"SJER_059_063",21,14.2,4.5,"",""
"SJER_059_196",21,8.7,16.5,"",""
"SJER_059_199",21,10.2,16.5,"",""
"SJER_059_168",21,12.7,13.5,"",""
"SJER_059_120",21,6.7,10.5,"",""
"SJER_059_016",21,8.7,1.5,"",""
"SJER_059_146",21,1.7,13.5,"",""
"SJER_059_051",21,8.2,4.5,"",""
"SJER_059_182",21,1.7,16.5,"",""
"SJER_059_083",21,6.2,7.5,"",""
"SJER_059_119",21,6.2,10.5,"",""
"SJER_059_175",21,16.2,13.5,"",""
"SJER_059_096",21,12.7,7.5,"",""
"SJER_059_010",21,5.7,1.5,"",""
"SJER_059_154",21,5.7,13.5,"",""
"SJER_059_015",21,8.2,1.5,"",""
"SJER_059_107",21,18.2,7.5,"",""
"SJER_059_167",21,12.2,13.5,"",""
"SJER_059_069",21,17.2,4.5,"",""
"SJER_059_106",21,17.7,7.5,"",""
"SJER_059_061",21,13.2,4.5,"",""
"SJER_059_099",21,14.2,7.5,"",""
"SJER_059_124",21,8.7,10.5,"",""
"SJER_059_066",21,15.7,4.5,"",""
"SJER_059_160",21,8.7,13.5,"",""
"SJER_059_142",21,17.7,10.5,"",""
"SJER_059_193",21,7.2,16.5,"",""
"SJER_059_170",21,13.7,13.5,"",""
"SJER_059_173",21,15.2,13.5,"",""
"SJER_059_102",21,15.7,7.5,"",""
"SJER_059_121",21,7.2,10.5,"",""
"SJER_059_024",21,12.7,1.5,"",""
"SJER_059_156",21,6.7,13.5,"",""
"SJER_059_035",21,18.2,1.5,"",""
"SJER_059_097",21,13.2,7.5,"",""
"SJER_059_041",21,3.2,4.5,"",""
"SJER_059_163",21,10.2,13.5,"",""
"SJER_059_037",21,1.2,4.5,"",""
"SJER_059_164",21,10.7,13.5,"",""
"SJER_059_076",21,2.7,7.5,"",""
"SJER_059_153",21,5.2,13.5,"",""
"SJER_059_202",21,11.7,16.5,"",""
"SJER_059_149",21,3.2,13.5,"",""
"SJER_059_114",21,3.7,10.5,"",""
"SJER_059_207",21,14.2,16.5,"",""
"SJER_059_036",21,18.7,1.5,"",""
"SJER_059_013",21,7.2,1.5,"",""
"SJER_059_141",21,17.2,10.5,"",""
"SJER_059_032",21,16.7,1.5,"",""
"SJER_059_030",21,15.7,1.5,"",""
"SJER_059_060",21,12.7,4.5,"",""
"SJER_059_038",21,1.7,4.5,"",""
"SJER_059_162",21,9.7,13.5,"",""
"SJER_059_033",21,17.2,1.5,"",""
"SJER_059_022",21,11.7,1.5,"",""
"SJER_059_151",21,4.2,13.5,"",""
"SJER_059_209",21,15.2,16.5,"",""
"SJER_059_143",21,18.2,10.5,"",""
"SJER_059_158",21,7.7,13.5,"",""
"SJER_059_131",21,12.2,10.5,"",""
"SJER_059_118",21,5.7,10.5,"",""
"SJER_059_053",21,9.2,4.5,"",""
"SJER_059_139",21,16.2,10.5,"",""
"SJER_059_180",21,18.7,13.5,"",""
"SJER_059_195",21,8.2,16.5,"",""
"SJER_059_135",21,14.2,10.5,"",""
"SJER_059_039",21,2.2,4.5,"",""
"SJER_059_147",21,2.2,13.5,"",""
"SJER_059_105",21,17.2,7.5,"",""
"SJER_059_045",21,5.2,4.5,"",""
"SJER_059_204",21,12.7,16.5,"",""
"SJER_059_206",21,13.7,16.5,"",""
"SJER_059_178",21,17.7,13.5,"",""
"SJER_059_184",21,2.7,16.5,"",""
"SJER_059_165",21,11.2,13.5,"",""
"SJER_059_192",21,6.7,16.5,"",""
"SJER_059_172",21,14.7,13.5,"",""
