"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"WOOD_051_026",31,13.7,1.5,"",""
"WOOD_051_153",31,5.2,13.5,"",""
"WOOD_051_100",31,14.7,7.5,"",""
"WOOD_051_051",31,8.2,4.5,"",""
"WOOD_051_195",31,8.2,16.5,"",""
"WOOD_051_083",31,6.2,7.5,"",""
"WOOD_051_029",31,15.2,1.5,"",""
"WOOD_051_094",31,11.7,7.5,"",""
"WOOD_051_072",31,18.7,4.5,"",""
"WOOD_051_082",31,5.7,7.5,"",""
"WOOD_051_126",31,9.7,10.5,"",""
"WOOD_051_067",31,16.2,4.5,"",""
"WOOD_051_210",31,15.7,16.5,"",""
"WOOD_051_205",31,13.2,16.5,"",""
"WOOD_051_069",31,17.2,4.5,"",""
"WOOD_051_186",31,3.7,16.5,"",""
"WOOD_051_124",31,8.7,10.5,"",""
"WOOD_051_102",31,15.7,7.5,"",""
"WOOD_051_061",31,13.2,4.5,"",""
"WOOD_051_010",31,5.7,1.5,"",""
"WOOD_051_039",31,2.2,4.5,"",""
"WOOD_051_064",31,14.7,4.5,"",""
"WOOD_051_043",31,4.2,4.5,"",""
"WOOD_051_165",31,11.2,13.5,"",""
"WOOD_051_019",31,10.2,1.5,"",""
"WOOD_051_062",31,13.7,4.5,"",""
"WOOD_051_180",31,18.7,13.5,"",""
"WOOD_051_140",31,16.7,10.5,"",""
"WOOD_051_169",31,13.2,13.5,"",""
"WOOD_051_025",31,13.2,1.5,"",""
"WOOD_051_080",31,4.7,7.5,"",""
"WOOD_051_197",31,9.2,16.5,"",""
"WOOD_051_058",31,11.7,4.5,"",""
"WOOD_051_179",31,18.2,13.5,"",""
"WOOD_051_200",31,10.7,16.5,"",""
"WOOD_051_007",31,4.2,1.5,"",""
"WOOD_051_201",31,11.2,16.5,"",""
"WOOD_051_196",31,8.7,16.5,"",""
"WOOD_051_098",31,13.7,7.5,"",""
"WOOD_051_142",31,17.7,10.5,"",""
"WOOD_051_060",31,12.7,4.5,"",""
"WOOD_051_121",31,7.2,10.5,"",""
"WOOD_051_101",31,15.2,7.5,"",""
"WOOD_051_173",31,15.2,13.5,"",""
"WOOD_051_044",31,4.7,4.5,"",""
"WOOD_051_192",31,6.7,16.5,"",""
"WOOD_051_022",31,11.7,1.5,"",""
"WOOD_051_095",31,12.2,7.5,"",""
"WOOD_051_207",31,14.2,16.5,"",""
"WOOD_051_167",31,12.2,13.5,"",""
"WOOD_051_011",31,6.2,1.5,"",""
"WOOD_051_162",31,9.7,13.5,"",""
"WOOD_051_081",31,5.2,7.5,"",""
"WOOD_051_096",31,12.7,7.5,"",""
"WOOD_051_114",31,3.7,10.5,"",""
"WOOD_051_057",31,11.2,4.5,"",""
"WOOD_051_068",31,16.7,4.5,"",""
"WOOD_051_163",31,10.2,13.5,"",""
"WOOD_051_071",31,18.2,4.5,"",""
"WOOD_051_091",31,10.2,7.5,"",""
"WOOD_051_038",31,1.7,4.5,"",""
"WOOD_051_055",31,10.2,4.5,"",""
"WOOD_051_211",31,16.2,16.5,"",""
"WOOD_051_047",31,6.2,4.5,"",""
"WOOD_051_154",31,5.7,13.5,"",""
"WOOD_051_077",31,3.2,7.5,"",""
"WOOD_051_136",31,14.7,10.5,"",""
"WOOD_051_056",31,10.7,4.5,"",""
"WOOD_051_123",31,8.2,10.5,"",""
"WOOD_051_097",31,13.2,7.5,"",""
"WOOD_051_189",31,5.2,16.5,"",""
"WOOD_051_152",31,4.7,13.5,"",""
"WOOD_051_156",31,6.7,13.5,"",""
"WOOD_051_198",31,9.7,16.5,"",""
"WOOD_051_066",31,15.7,4.5,"",""
"WOOD_051_206",31,13.7,16.5,"",""
"WOOD_051_150",31,3.7,13.5,"",""
"WOOD_051_166",31,11.7,13.5,"",""
"WOOD_051_177",31,17.2,13.5,"",""
"WOOD_051_018",31,9.7,1.5,"",""
"WOOD_051_191",31,6.2,16.5,"",""
"WOOD_051_160",31,8.7,13.5,"",""
"WOOD_051_194",31,7.7,16.5,"",""
"WOOD_051_148",31,2.7,13.5,"",""
"WOOD_051_139",31,16.2,10.5,"",""
"WOOD_051_134",31,13.7,10.5,"",""
"WOOD_051_009",31,5.2,1.5,"",""
"WOOD_051_074",31,1.7,7.5,"",""
"WOOD_051_146",31,1.7,13.5,"",""
"WOOD_051_176",31,16.7,13.5,"",""
"WOOD_051_053",31,9.2,4.5,"",""
"WOOD_051_079",31,4.2,7.5,"",""
"WOOD_051_171",31,14.2,13.5,"",""
"WOOD_051_125",31,9.2,10.5,"",""
"WOOD_051_151",31,4.2,13.5,"",""
"WOOD_051_174",31,15.7,13.5,"",""
"WOOD_051_017",31,9.2,1.5,"",""
"WOOD_051_141",31,17.2,10.5,"",""
"WOOD_051_115",31,4.2,10.5,"",""
"WOOD_051_030",31,15.7,1.5,"",""
"WOOD_051_076",31,2.7,7.5,"",""
"WOOD_051_023",31,12.2,1.5,"",""
"WOOD_051_122",31,7.7,10.5,"",""
"WOOD_051_092",31,10.7,7.5,"",""
"WOOD_051_138",31,15.7,10.5,"",""
"WOOD_051_048",31,6.7,4.5,"",""
"WOOD_051_013",31,7.2,1.5,"",""
"WOOD_051_147",31,2.2,13.5,"",""
"WOOD_051_143",31,18.2,10.5,"",""
