SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,Quality,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
GUAN08/GUAN_052/overstory/D04_7614.NEF,D04_7614.NEF,42 MB,NIKON D800,2017:04:17 07:02:30,7424x4924,RAW,16.0 mm,1/60,16.0,100,Auto1,"Off, Did not fire"
GUAN08/GUAN_052/overstory/D04_7615.NEF,D04_7615.NEF,42 MB,NIKON D800,2017:04:17 07:02:54,7424x4924,RAW,16.0 mm,1/60,16.0,100,Auto1,"Off, Did not fire"
GUAN08/GUAN_052/overstory/D04_7616.NEF,D04_7616.NEF,44 MB,NIKON D800,2017:04:17 07:03:15,7424x4924,RAW,16.0 mm,1/60,16.0,100,Auto1,"Off, Did not fire"
GUAN08/GUAN_052/overstory/D04_7617.NEF,D04_7617.NEF,42 MB,NIKON D800,2017:04:17 07:03:49,7424x4924,RAW,16.0 mm,1/60,16.0,100,Auto1,"Off, Did not fire"
GUAN08/GUAN_052/overstory/D04_7618.NEF,D04_7618.NEF,43 MB,NIKON D800,2017:04:17 07:04:27,7424x4924,RAW,16.0 mm,1/60,16.0,100,Auto1,"Off, Did not fire"
GUAN08/GUAN_052/overstory/D04_7620.NEF,D04_7620.NEF,44 MB,NIKON D800,2017:04:17 07:05:02,7424x4924,RAW,16.0 mm,1/60,16.0,100,Auto1,"Off, Did not fire"
GUAN08/GUAN_052/overstory/D04_7621.NEF,D04_7621.NEF,40 MB,NIKON D800,2017:04:17 07:05:31,7424x4924,RAW,16.0 mm,1/60,16.0,100,Auto1,"Off, Did not fire"
GUAN08/GUAN_052/overstory/D04_7622.NEF,D04_7622.NEF,40 MB,NIKON D800,2017:04:17 07:06:01,7424x4924,RAW,16.0 mm,1/60,16.0,100,Auto1,"Off, Did not fire"
GUAN08/GUAN_052/overstory/D04_7623.NEF,D04_7623.NEF,40 MB,NIKON D800,2017:04:17 07:06:28,7424x4924,RAW,16.0 mm,1/60,16.0,100,Auto1,"Off, Did not fire"
GUAN08/GUAN_052/overstory/D04_7624.NEF,D04_7624.NEF,42 MB,NIKON D800,2017:04:17 07:07:06,7424x4924,RAW,16.0 mm,1/60,16.0,100,Auto1,"Off, Did not fire"
GUAN08/GUAN_052/overstory/D04_7625.NEF,D04_7625.NEF,42 MB,NIKON D800,2017:04:17 07:07:29,7424x4924,RAW,16.0 mm,1/60,16.0,100,Auto1,"Off, Did not fire"
GUAN08/GUAN_052/overstory/D04_7626.NEF,D04_7626.NEF,41 MB,NIKON D800,2017:04:17 07:07:50,7424x4924,RAW,16.0 mm,1/60,16.0,100,Auto1,"Off, Did not fire"
