"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"BONA_001",100,220,340,""
"BONA_002",20,140,260,""
"BONA_003",310,70,190,""
"BONA_004",180,300,60,""
"BONA_005",260,20,140,""
"BONA_006",220,340,100,""
"BONA_007",40,160,280,""
"BONA_008",260,20,140,""
"BONA_009",220,340,100,""
"BONA_010",40,160,280,""
"BONA_011",260,20,140,""
"BONA_012",220,340,100,""
"BONA_013",0,120,240,""
"BONA_014",340,100,220,""
"BONA_016",290,50,170,""
"BONA_018",240,0,120,""
"BONA_021",240,0,120,""
"BONA_022",0,120,240,""
"BONA_023",350,110,230,""
"BONA_026",70,190,310,""
