"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"DEJU_045",160,280,40,""
"DEJU_046",110,230,350,""
"DEJU_047",40,160,280,""
"DEJU_048",10,130,250,""
"DEJU_049",30,150,270,""
"DEJU_050",40,160,280,""
"DEJU_051",10,130,250,""
"DEJU_052",30,150,270,""
"DEJU_053",300,60,180,""
"DEJU_054",310,70,190,""
"DEJU_055",130,250,10,""
"DEJU_056",210,330,90,""
"DEJU_057",70,190,310,""
"DEJU_058",300,60,180,""
"DEJU_059",120,240,0,""
"DEJU_060",70,190,310,""
"DEJU_061",300,60,180,""
"DEJU_062",120,240,0,""
"DEJU_063",180,300,60,""
"DEJU_064",50,170,290,""
