"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"HEAL_001",190,310,70,""
"HEAL_002",90,210,330,""
"HEAL_003",340,100,220,""
"HEAL_004",120,240,0,""
"HEAL_005",110,230,350,""
"HEAL_006",40,160,280,""
"HEAL_010",100,220,340,""
"HEAL_011",320,80,200,""
"HEAL_014",140,260,20,""
"HEAL_015",290,50,170,""
"HEAL_016",30,150,270,""
"HEAL_017",230,350,110,""
"HEAL_018",170,290,50,""
"HEAL_019",300,60,180,""
"HEAL_020",230,350,110,""
"HEAL_021",170,290,50,""
"HEAL_022",300,60,180,""
"HEAL_023",320,80,200,""
"HEAL_025",250,10,130,""
"HEAL_026",60,180,300,""
