"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"KONZ_001",40,160,280,""
"KONZ_002",80,200,320,""
"KONZ_003",30,150,270,""
"KONZ_004",20,140,260,""
"KONZ_005",40,160,280,""
"KONZ_006",290,50,170,""
"KONZ_007",110,230,350,""
"KONZ_008",40,160,280,""
"KONZ_009",250,10,130,""
"KONZ_010",110,230,350,""
"KONZ_011",40,160,280,""
"KONZ_012",250,10,130,""
"KONZ_013",240,0,120,""
"KONZ_014",200,320,80,""
"KONZ_015",20,140,260,""
"KONZ_016",300,60,180,""
"KONZ_017",100,220,340,""
"KONZ_018",320,80,200,""
"KONZ_024",340,100,220,""
"KONZ_025",210,330,90,""
