"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"SCBI_045",220,340,100,""
"SCBI_046",330,90,210,""
"SCBI_047",110,230,350,""
"SCBI_048",350,110,230,""
"SCBI_049",280,40,160,""
"SCBI_050",110,230,350,""
"SCBI_051",350,110,230,""
"SCBI_052",280,40,160,""
"SCBI_053",240,0,120,""
"SCBI_054",350,110,230,""
"SCBI_055",260,20,140,""
"SCBI_056",150,270,30,""
"SCBI_057",30,150,270,""
"SCBI_058",220,340,100,""
"SCBI_061",220,340,100,""
"SCBI_062",100,220,340,""
"SCBI_063",90,210,330,""
"SCBI_064",180,300,60,""
"SCBI_066",250,10,130,""
"SCBI_067",200,320,80,""
