"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"SERC_001",140,260,20,""
"SERC_002",210,330,90,""
"SERC_003",170,290,50,""
"SERC_004",80,200,320,""
"SERC_005",20,140,260,""
"SERC_006",60,180,300,""
"SERC_007",340,100,220,""
"SERC_008",240,0,120,""
"SERC_009",100,220,340,""
"SERC_010",340,100,220,""
"SERC_011",240,0,120,""
"SERC_012",100,220,340,""
"SERC_013",20,140,260,""
"SERC_014",310,70,190,""
"SERC_016",310,70,190,""
"SERC_017",230,350,110,""
"SERC_018",140,260,20,""
"SERC_019",350,110,230,""
"SERC_021",140,260,20,""
"SERC_022",350,110,230,""
