"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"SRER_042",200,320,80,""
"SRER_043",220,340,100,""
"SRER_044",310,70,190,""
"SRER_045",70,190,310,""
"SRER_046",270,30,150,""
"SRER_047",320,80,200,""
"SRER_048",160,280,40,""
"SRER_049",220,340,100,""
"SRER_050",320,80,200,""
"SRER_051",160,280,40,""
"SRER_052",220,340,100,""
"SRER_053",250,10,130,""
"SRER_054",260,20,140,""
"SRER_055",270,30,150,""
"SRER_056",240,0,120,""
"SRER_057",120,240,0,""
"SRER_058",310,70,190,""
"SRER_059",280,40,160,""
