"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"UKFS_001",350,110,230,""
"UKFS_002",120,240,0,""
"UKFS_003",220,340,100,""
"UKFS_004",180,300,60,""
"UKFS_005",0,120,240,""
"UKFS_006",70,190,310,""
"UKFS_007",270,30,150,""
"UKFS_008",160,280,40,""
"UKFS_009",100,220,340,""
"UKFS_010",270,30,150,""
"UKFS_011",160,280,40,""
"UKFS_012",100,220,340,""
"UKFS_013",60,180,300,""
"UKFS_014",30,150,270,""
"UKFS_015",210,330,90,""
"UKFS_016",110,230,350,""
"UKFS_017",110,230,350,""
"UKFS_018",280,40,160,""
"UKFS_019",0,120,240,""
"UKFS_025",30,150,270,""
