"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"UKFS_031",190,310,70,""
"UKFS_032",170,290,50,""
"UKFS_043",40,160,280,""
"UKFS_044",300,60,180,""
"UKFS_045",30,150,270,""
"UKFS_046",310,70,190,""
"UKFS_047",100,220,340,""
"UKFS_048",130,250,10,""
"UKFS_049",70,190,310,""
"UKFS_050",100,220,340,""
"UKFS_051",130,250,10,""
"UKFS_052",70,190,310,""
"UKFS_053",350,110,230,""
"UKFS_054",150,270,30,""
"UKFS_055",300,60,180,""
"UKFS_056",30,150,270,""
"UKFS_057",250,10,130,""
"UKFS_058",290,50,170,""
"UKFS_059",20,140,260,""
"UKFS_060",250,10,130,""
