"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"WREF_001",180,300,60,""
"WREF_002",110,230,350,""
"WREF_003",320,80,200,""
"WREF_004",300,60,180,""
"WREF_005",80,200,320,""
"WREF_006",90,210,330,""
"WREF_007",110,230,350,""
"WREF_008",200,320,80,""
"WREF_009",210,330,90,""
"WREF_010",110,230,350,""
"WREF_011",200,320,80,""
"WREF_012",210,330,90,""
"WREF_013",250,10,130,""
"WREF_014",30,150,270,""
"WREF_015",0,120,240,""
"WREF_016",280,40,160,""
"WREF_017",240,0,120,""
"WREF_018",0,120,240,""
"WREF_019",80,200,320,""
"WREF_020",240,0,120,""
