"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"WREF_070",70,190,310,""
"WREF_071",40,160,280,""
"WREF_072",260,20,140,""
"WREF_073",90,210,330,""
"WREF_074",100,220,340,""
"WREF_075",160,280,40,""
"WREF_076",40,160,280,""
"WREF_077",20,140,260,""
"WREF_078",350,110,230,""
"WREF_079",280,40,160,""
"WREF_080",20,140,260,""
"WREF_081",350,110,230,""
"WREF_082",280,40,160,""
"WREF_083",150,270,30,""
"WREF_084",120,240,0,""
"WREF_085",330,90,210,""
"WREF_086",0,120,240,""
"WREF_087",220,340,100,""
"WREF_088",210,330,90,""
"WREF_089",40,160,280,""
