,siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year,startDate,endDate
811,SRER,SRER_042.basePlot.ltr,39,Y,515696.2185,3530779.77,12N,-10,10,515686,3530789,400,24,6,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
812,SRER,SRER_042.basePlot.ltr,23,Y,515696.2185,3530779.77,12N,10,-10,515706,3530769,400,38,9.5,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
813,SRER,SRER_043.basePlot.ltr,39,Y,515394.6882,3530482.479,12N,-10,10,515384,3530492,400,1,0.25,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
814,SRER,SRER_043.basePlot.ltr,21,Y,515394.6882,3530482.479,12N,-10,-10,515384,3530472,400,5,1.25,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
815,SRER,SRER_044.basePlot.ltr,39,Y,515394.5235,3530780.975,12N,-10,10,515384,3530790,400,16,4,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
816,SRER,SRER_044.basePlot.ltr,41,Y,515394.5235,3530780.975,12N,10,10,515404,3530790,400,15,3.75,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
817,SRER,SRER_045.basePlot.ltr,23,Y,515756.1539,3530660.818,12N,10,-10,515766,3530650,400,19,4.75,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
818,SRER,SRER_045.basePlot.ltr,21,Y,515756.1539,3530660.818,12N,-10,-10,515746,3530650,400,36,9,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
819,SRER,SRER_046.basePlot.ltr,41,Y,515365.2535,3530628.856,12N,10,10,515375,3530638,400,2,0.5,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
820,SRER,SRER_046.basePlot.ltr,23,Y,515365.2535,3530628.856,12N,10,-10,515375,3530618,400,7,1.7500000000000002,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
821,SRER,SRER_047.basePlot.ltr,39,Y,515275.5155,3530511.009,12N,-10,10,515265,3530521,400,18,4.5,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
822,SRER,SRER_047.basePlot.ltr,41,Y,515275.5155,3530511.009,12N,10,10,515285,3530521,400,2,0.5,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
823,SRER,SRER_048.basePlot.ltr,41,Y,515517.3986,3530802.996,12N,10,10,515527,3530812,400,14,3.5000000000000004,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
824,SRER,SRER_048.basePlot.ltr,23,Y,515517.3986,3530802.996,12N,10,-10,515527,3530792,400,4,1,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
825,SRER,SRER_049.basePlot.ltr,21,Y,515427.6726,3530302.522,12N,-10,-10,515417,3530292,400,20,5,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
826,SRER,SRER_049.basePlot.ltr,39,Y,515427.6726,3530302.522,12N,-10,10,515417,3530312,400,9,2.25,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
827,SRER,SRER_050.basePlot.ltr,41,Y,515696.1977,3530299.494,12N,10,10,515706,3530309,400,14,3.5000000000000004,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
828,SRER,SRER_050.basePlot.ltr,39,Y,515696.1977,3530299.494,12N,-10,10,515686,3530309,400,46,11.5,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
829,SRER,SRER_051.basePlot.ltr,41,Y,515305.0066,3530389.571,12N,10,10,515315,3530399,400,28,7.000000000000001,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
830,SRER,SRER_051.basePlot.ltr,23,Y,515305.0066,3530389.571,12N,10,-10,515315,3530379,400,26,6.5,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
831,SRER,SRER_052.basePlot.ltr,21,Y,515755.5785,3530420.07,12N,-10,-10,515745,3530410,400,3,0.75,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
832,SRER,SRER_052.basePlot.ltr,39,Y,515755.5785,3530420.07,12N,-10,10,515745,3530430,400,27,6.75,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
833,SRER,SRER_053.basePlot.ltr,39,Y,515514.1479,3530452.178,12N,-10,10,515504,3530462,400,29,7.249999999999999,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
834,SRER,SRER_053.basePlot.ltr,41,Y,515514.1479,3530452.178,12N,10,10,515524,3530462,400,10,2.5,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
835,SRER,SRER_054.basePlot.ltr,39,Y,515635.2301,3530660.3,12N,-10,10,515625,3530670,400,21,5.25,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
836,SRER,SRER_054.basePlot.ltr,41,Y,515635.2301,3530660.3,12N,10,10,515645,3530670,400,36,9,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
837,SRER,SRER_055.basePlot.ltr,39,Y,515546.5751,3530329.415,12N,-10,10,515536,3530339,400,79,19.75,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
838,SRER,SRER_055.basePlot.ltr,41,Y,515546.5751,3530329.415,12N,10,10,515556,3530339,400,51,12.75,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
839,SRER,SRER_056.basePlot.ltr,41,Y,515636.067,3530421.66,12N,10,10,515646,3530431,400,29,7.249999999999999,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
840,SRER,SRER_056.basePlot.ltr,39,Y,515636.067,3530421.66,12N,-10,10,515626,3530431,400,15,3.75,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
841,SRER,SRER_057.basePlot.ltr,23,Y,515516.5961,3530646.154,12N,10,-10,515526,3530636,400,2,0.5,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
842,SRER,SRER_057.basePlot.ltr,41,Y,515516.5961,3530646.154,12N,10,10,515526,3530656,400,12,3,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
843,SRER,SRER_058.basePlot.ltr,41,Y,515816.047,3530570.131,12N,10,10,515826,3530580,400,40,10,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
844,SRER,SRER_058.basePlot.ltr,23,Y,515816.047,3530570.131,12N,10,-10,515826,3530560,400,26,6.5,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
845,SRER,SRER_059.basePlot.ltr,21,Y,515695.542,3530542.457,12N,-10,-10,515685,3530532,400,17,4.25,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
846,SRER,SRER_059.basePlot.ltr,41,Y,515695.542,3530542.457,12N,10,10,515705,3530552,400,21,5.25,2024,2024-09-02T16:00:00.000Z,2024-09-05T15:00:00.000Z
