,siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year
731,SJER,SJER_045.basePlot.ltr,23,Y,257286.00664,4110881.3311199998,11N,10,-10,257296,4110871,400,181.0,45.25,2013
732,SJER,SJER_045.basePlot.ltr,39,Y,257286.00664,4110881.3311199998,11N,-10,10,257276,4110891,400,64.0,16.0,2013
733,SJER,SJER_046.basePlot.ltr,41,Y,257587.40006999997,4110700.4032400004,11N,10,10,257597,4110710,400,229.0,57.25,2013
734,SJER,SJER_046.basePlot.ltr,39,Y,257587.40006999997,4110700.4032400004,11N,-10,10,257577,4110710,400,242.0,60.5,2013
735,SJER,SJER_047.basePlot.ltr,21,Y,256988.20714,4109649.4571599998,11N,-10,-10,256978,4109639,400,186.0,46.5,2013
736,SJER,SJER_047.basePlot.ltr,39,Y,256988.20714,4109649.4571599998,11N,-10,10,256978,4109659,400,80.0,20.0,2013
737,SJER,SJER_048.basePlot.ltr,39,Y,256956.79241999998,4110578.06405,11N,-10,10,256946,4110588,400,89.0,22.25,2013
738,SJER,SJER_048.basePlot.ltr,41,Y,256956.79241999998,4110578.06405,11N,10,10,256966,4110588,400,94.0,23.5,2013
739,SJER,SJER_049.basePlot.ltr,23,Y,257526.23073,4111032.2374,11N,10,-10,257536,4111022,400,185.0,46.25,2013
740,SJER,SJER_049.basePlot.ltr,21,Y,257526.23073,4111032.2374,11N,-10,-10,257516,4111022,400,69.0,17.25,2013
741,SJER,SJER_050.basePlot.ltr,21,Y,256596.6173,4110848.56239,11N,-10,-10,256586,4110838,400,174.0,43.5,2013
742,SJER,SJER_050.basePlot.ltr,39,Y,256596.6173,4110848.56239,11N,-10,10,256586,4110858,400,281.0,70.25,2013
743,SJER,SJER_051.basePlot.ltr,41,Y,256416.76983,4110851.7574199997,11N,10,10,256426,4110861,400,24.0,6.0,2013
744,SJER,SJER_051.basePlot.ltr,39,Y,256416.76983,4110851.7574199997,11N,-10,10,256406,4110861,400,180.0,45.0,2013
745,SJER,SJER_052.basePlot.ltr,23,Y,257977.67559,4110488.8370199995,11N,10,-10,257987,4110478,400,136.0,34.0,2013
746,SJER,SJER_052.basePlot.ltr,21,Y,257977.67559,4110488.8370199995,11N,-10,-10,257967,4110478,400,17.0,4.25,2013
747,SJER,SJER_053.basePlot.ltr,21,Y,256838.25945,4110668.7765800003,11N,-10,-10,256828,4110658,400,51.0,12.75,2013
748,SJER,SJER_053.basePlot.ltr,23,Y,256838.25945,4110668.7765800003,11N,10,-10,256848,4110658,400,273.0,68.25,2013
749,SJER,SJER_054.basePlot.ltr,39,Y,257197.38591999997,4111269.3792,11N,-10,10,257187,4111279,400,104.0,26.0,2013
750,SJER,SJER_054.basePlot.ltr,21,Y,257197.38591999997,4111269.3792,11N,-10,-10,257187,4111259,400,111.0,27.750000000000004,2013
751,SJER,SJER_055.basePlot.ltr,39,Y,257618.22906999997,4111209.62274,11N,-10,10,257608,4111219,400,227.0,56.75,2013
752,SJER,SJER_055.basePlot.ltr,21,Y,257618.22906999997,4111209.62274,11N,-10,-10,257608,4111199,400,177.0,44.25,2013
753,SJER,SJER_056.basePlot.ltr,23,Y,256927.54891999997,4111269.8255300005,11N,10,-10,256937,4111259,400,8.0,2.0,2013
754,SJER,SJER_056.basePlot.ltr,39,Y,256927.54891999997,4111269.8255300005,11N,-10,10,256917,4111279,400,52.0,13.0,2013
755,SJER,SJER_057.basePlot.ltr,23,Y,257616.90561999998,4110848.04424,11N,10,-10,257626,4110838,400,117.0,29.25,2013
756,SJER,SJER_057.basePlot.ltr,39,Y,257616.90561999998,4110848.04424,11N,-10,10,257606,4110858,400,184.0,46.0,2013
757,SJER,SJER_058.basePlot.ltr,39,Y,256896.31703,4109948.9742400004,11N,-10,10,256886,4109958,400,131.0,32.75,2013
758,SJER,SJER_058.basePlot.ltr,41,Y,256896.31703,4109948.9742400004,11N,10,10,256906,4109958,400,329.0,82.25,2013
759,SJER,SJER_059.basePlot.ltr,23,Y,257226.14993,4109979.3440300003,11N,10,-10,257236,4109969,400,103.0,25.75,2013
760,SJER,SJER_059.basePlot.ltr,21,Y,257226.14993,4109979.3440300003,11N,-10,-10,257216,4109969,400,132.0,33.0,2013
761,SJER,SJER_060.basePlot.ltr,39,Y,257137.16298000002,4111031.3309199996,11N,-10,10,257127,4111041,400,63.0,15.75,2013
762,SJER,SJER_060.basePlot.ltr,23,N,257137.16298000002,4111031.3309199996,11N,10,-10,257147,4111021,400,29.0,7.249999999999999,2013
763,SJER,SJER_061.basePlot.ltr,41,Y,256597.90561,4111001.0141800004,11N,10,10,256607,4111011,400,82.0,20.5,2013
764,SJER,SJER_061.basePlot.ltr,39,N,256597.90561,4111001.0141800004,11N,-10,10,256587,4111011,400,18.0,4.5,2013
765,SJER,SJER_062.basePlot.ltr,23,N,257017.05541,4110851.20601,11N,10,-10,257027,4110841,400,0.0,0.0,2013
766,SJER,SJER_062.basePlot.ltr,21,Y,257017.05541,4110851.20601,11N,-10,-10,257007,4110841,400,56.0,14.000000000000002,2013
767,SJER,SJER_063.basePlot.ltr,41,Y,256628.1078,4110669.9532,11N,10,10,256638,4110679,400,128.0,32.0,2013
768,SJER,SJER_063.basePlot.ltr,23,Y,256628.1078,4110669.9532,11N,10,-10,256638,4110659,400,115.0,28.749999999999996,2013
769,SJER,SJER_064.basePlot.ltr,39,Y,257737.2013,4110459.4257699996,11N,-10,10,257727,4110469,400,110.0,27.500000000000004,2013
770,SJER,SJER_064.basePlot.ltr,21,Y,257737.2013,4110459.4257699996,11N,-10,-10,257727,4110449,400,117.0,29.25,2013
771,SOAP,SOAP_031.basePlot.ltr,39,Y,299684.19558,4101165.02143,11N,-10,10,299674,4101175,400,167.0,41.75,2013
772,SOAP,SOAP_031.basePlot.ltr,21,Y,299684.19558,4101165.02143,11N,-10,-10,299674,4101155,400,363.0,90.75,2013
