siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year,startDate,endDate
SJER,SJER_045.basePlot.ltr,23,Y,257286.0066,4110881.331,11N,10,-10,257296,4110871,400,181,45.25,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_045.basePlot.ltr,39,Y,257286.0066,4110881.331,11N,-10,10,257276,4110891,400,64,16,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_046.basePlot.ltr,41,Y,257587.4001,4110700.403,11N,10,10,257597,4110710,400,229,57.25,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_046.basePlot.ltr,39,Y,257587.4001,4110700.403,11N,-10,10,257577,4110710,400,242,60.5,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_047.basePlot.ltr,21,Y,256988.2071,4109649.457,11N,-10,-10,256978,4109639,400,186,46.5,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_047.basePlot.ltr,39,Y,256988.2071,4109649.457,11N,-10,10,256978,4109659,400,80,20,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_048.basePlot.ltr,39,Y,256956.7924,4110578.064,11N,-10,10,256946,4110588,400,89,22.25,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_048.basePlot.ltr,41,Y,256956.7924,4110578.064,11N,10,10,256966,4110588,400,94,23.5,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_049.basePlot.ltr,23,Y,257526.2307,4111032.237,11N,10,-10,257536,4111022,400,185,46.25,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_049.basePlot.ltr,21,Y,257526.2307,4111032.237,11N,-10,-10,257516,4111022,400,69,17.25,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_050.basePlot.ltr,21,Y,256596.6173,4110848.562,11N,-10,-10,256586,4110838,400,174,43.5,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_050.basePlot.ltr,39,Y,256596.6173,4110848.562,11N,-10,10,256586,4110858,400,281,70.25,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_051.basePlot.ltr,41,Y,256416.7698,4110851.757,11N,10,10,256426,4110861,400,24,6,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_051.basePlot.ltr,39,Y,256416.7698,4110851.757,11N,-10,10,256406,4110861,400,180,45,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_052.basePlot.ltr,23,Y,257977.6756,4110488.837,11N,10,-10,257987,4110478,400,136,34,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_052.basePlot.ltr,21,Y,257977.6756,4110488.837,11N,-10,-10,257967,4110478,400,17,4.25,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_053.basePlot.ltr,21,Y,256838.2595,4110668.777,11N,-10,-10,256828,4110658,400,51,12.75,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
SJER,SJER_053.basePlot.ltr,23,Y,256838.2595,4110668.777,11N,10,-10,256848,4110658,400,273,68.25,2013,2013-06-11T17:00:00.000Z,2013-06-13T20:00:00.000Z
