"","taxonID","acceptedTaxonID","family.x","genus.x","species","pathway","scientificName.y","commonName","reference","nativeStatusCode"
"1","ACAR14","ACAR14","Poaceae","Achnatherum","aridum","unknown","Achnatherum aridum (M.E. Jones) Barkworth","Mormon needlegrass","","N"
"2","STAR2","ACAR14","","Stipa","arida","unknown","Stipa arida M.E. Jones"," ","","N"
"3","STBL4","ACBL","","Stipa","bloomeri","unknown","Stipa bloomeri Boland."," ","","N"
"4","STBL5","ACBL","","Stiporyzopsis","bloomeri","unknown","Stiporyzopsis bloomeri (Boland.) B.L. Johnson"," ","","N"
"5","ACBL","ACBL","Poaceae","Achnatherum","xbloomeri","unknown","Achnatherum xbloomeri (Boland.) Barkworth","","","N"
"6","ORBL","ACBL","","Oryzopsis","bloomeri","unknown","Oryzopsis bloomeri (Boland.) Ricker"," ","","N"
"7","ACCL7","ACCL7","Poaceae","Achnatherum","clandestinum","unknown","Achnatherum clandestinum (Hack.) Barkworth","Mexican ricegrass","","I"
"8","STCL5","ACCL7","","Stipa","clandestina","unknown","Stipa clandestina Hack."," ","","I"
"9","STCU2","ACCU6","","Stipa","curvifolia","unknown","Stipa curvifolia Swallen"," ","","N"
"10","ACCU6","ACCU6","Poaceae","Achnatherum","curvifolium","unknown","Achnatherum curvifolium (Swallen) Barkworth","Guadalupe ricegrass","","N"
"11","ACEM4","ACEM4","Poaceae","Achnatherum","eminens","unknown","Achnatherum eminens (Cav.) Barkworth","southwestern needlegrass","","N"
"12","STEM2","ACEM4","","Stipa","eminens","unknown","Stipa eminens Cav."," ","","N"
"13","ACHNA","ACHNA","Poaceae","Achnatherum","Beauv.","","Achnatherum Beauv.","needlegrass","","UNK"
"14","STHY6","ACHY","","Stipa","hymenoides","unknown","Stipa hymenoides Roemer & J.A. Schultes"," ","","N"
"15","ACHY","ACHY","Poaceae","Achnatherum","hymenoides","unknown","Achnatherum hymenoides (Roemer & J.A. Schultes) Barkworth","Indian ricegrass","","N"
"16","ERCU9","ACHY","","Eriocoma","cuspidata","unknown","Eriocoma cuspidata Nutt."," ","","N"
"17","ORHY","ACHY","","Oryzopsis","hymenoides","C3","Oryzopsis hymenoides (Roemer & J.A. Schultes) Ricker ex Piper"," ","7,34,65,120,170,179,299,385,634","N"
"18","ACLE8","ACLE8","Poaceae","Achnatherum","lemmonii","unknown","Achnatherum lemmonii (Swallen) Barkworth","Lemmon's needlegrass","","N"
"19","ACLE9","ACLE9","Poaceae","Achnatherum","lettermanii","unknown","Achnatherum lettermanii (Vasey) Barkworth","Letterman's needlegrass","","N"
"20","STLE4","ACLE9","","Stipa","lettermanii","unknown","Stipa lettermanii Vasey"," ","","N"
"21","STLEJ","ACLEL","","Stipa","lemmonii","unknown","Stipa lemmonii (Vasey) Scribn. var. jonesii Scribn."," ","","N"
"22","ACLEL","ACLEL","Poaceae","Achnatherum","lemmonii","unknown","Achnatherum lemmonii (Swallen) Barkworth var. lemmonii","Lemmon's needlegrass","","N"
"23","STLE2","ACLEL","","Stipa","lemmonii","unknown","Stipa lemmonii (Vasey) Scribn."," ","","N"
"24","STLO3","ACLO7","","Stipa","lobata","unknown","Stipa lobata Swallen"," ","","N"
"25","ACLO7","ACLO7","Poaceae","Achnatherum","lobatum","unknown","Achnatherum lobatum (Swallen) Barkworth","littleawn needlegrass","","N"
"26","ACNE9","ACNE9","Poaceae","Achnatherum","nelsonii","unknown","Achnatherum nelsonii (Scribn.) Barkworth","Columbia needlegrass","","N"
"27","STMI6","ACNED","","Stipa","minor","unknown","Stipa minor (Vasey) Scribn."," ","","N"
"28","STNED2","ACNED","","Stipa","nelsonii","unknown","Stipa nelsonii Scribn. var. dorei (Barkworth & Maze) Dorn"," ","","N"
"29","STOCM","ACNED","","Stipa","occidentalis","unknown","Stipa occidentalis Thurb. ex S. Wats. var. minor sensu C.L. Hitchc., non (Vasey) C.L. Hitchc."," ","","N"
"30","STCO3","ACNED","","Stipa","columbiana","C3","Stipa columbiana auct. non Macoun"," ","7,90,99","N"
"31","STNED","ACNED","","Stipa","nelsonii","unknown","Stipa nelsonii Scribn. ssp. dorei Barkworth & Maze"," ","","N"
