"taxonID","genus","species","growthForm","gf","protocolLabel","D01_BART","D01_HARV","D02_BLAN","D02_SCBI","D02_SERC","D03_DSNY","D03_JERC","D03_OSBS","D04_GUAN","D04_LAJA","D05_TREE","D05_UNDE","D06_KONZ","D06_UKFS","D07_GRSM","D07_MLBS","D07_ORNL","D08_DELA","D08_LENO","D08_TALL","D09_DCFS","D09_WOOD","D10_CPER","D10_RMNP","D11_CLBJ","D11_OAES","D12_YELL","D13_MOAB","D13_NIWO","D14_JORN","D14_SRER","D15_ONAQ","D16_ABBY","D16_WREF","D17_SJER","D17_SOAP","D17_TEAK","D18_BARR","D18_TOOL","D19_BONA","D19_DEJU","D19_HEAL","D20_PUUM"
"ABAM","Abies","amabilis","EC","Evergreen conifer","Abies amabilis - Evergreen conifer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"ABBA","Abies","balsamea","EC","Evergreen conifer","Abies balsamea - Evergreen conifer","X","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABCO","Abies","concolor","EC","Evergreen conifer","Abies concolor - Evergreen conifer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","",""
"ABLAL","Abies","lasiocarpa","EC","Evergreen conifer","Abies lasiocarpa - Evergreen conifer","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"ABMA","Abies","magnifica","EC","Evergreen conifer","Abies magnifica - Evergreen conifer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","",""
"ACKO","Acacia","koa","EBL-NLB","Evergreen broadleaf - no leaf buds","Acacia koa - Evergreen broadleaf - no leaf buds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
"ACCI","Acer","circinatum","DBL","Deciduous broadleaf","Acer circinatum - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","","","","","","","","",""
"ACNEN","Acer","negundo","DBL","Deciduous broadleaf","Acer negundo - Deciduous broadleaf","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACPE","Acer","pensylvanicum","DBL","Deciduous broadleaf","Acer pensylvanicum - Deciduous broadleaf","X","X","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACRU","Acer","rubrum","DBL","Deciduous broadleaf","Acer rubrum - Deciduous broadleaf","X","X","","","X","","","","","","X","X","","","X","X","X","X","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACRUR","Acer","rubrum","DBL","Deciduous broadleaf","Acer rubrum - Deciduous broadleaf","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSAS","Acer","saccharum","DBL","Deciduous broadleaf","Acer saccharum - Deciduous broadleaf","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSA3","Acer","saccharum","DBL","Deciduous broadleaf","Acer saccharum - Deciduous broadleaf","","","","","","","","","","","X","X","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACMI2","Achillea","millefolium","Forb","Forb","Achillea millefolium - Forb","","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","X","","","","","","","","","","","","","",""
"ACTR","Achlys","triphylla","Forb","Forb","Achlys triphylla - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"ACHY","Achnatherum","hymenoides","GRS","Graminoid","Achnatherum hymenoides - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","",""
"ACAS","Achyranthes","aspera","Forb","Forb","Achyranthes aspera - Forb","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACNA2","Acourtia","nana","Forb","Forb","Acourtia nana - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"AEPA","Aesculus","pavia","DBL","Deciduous broadleaf","Aesculus pavia - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"AGPE","Agrostis","perennans","GRS","Graminoid","Agrostis perennans - Graminoid","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","",""
