"uid","date","plotID","subplotID","nestedSubplotID","tagID","supportingStemTagID","pointID","stemAzimuth","stemDistance","scientificName","identificationQualifier","growthForm","remarks"
1,20140926,"WOOD_056",32,2,"109",,33,"290.7","2.2","Shepherdia argentea",,"SAP","No Transcription Errors Found"
2,20140926,"WOOD_056",32,2,"110",,33,"314.3","4.5","Shepherdia argentea",,"SAP",
3,20140926,"WOOD_056",32,2,"111",,33,"343.8","4.8","Shepherdia argentea",,"SAP",
4,20140926,"WOOD_056",32,2,"112",,33,"350.5","5.1","Shepherdia argentea",,"SAP",
5,20140926,"WOOD_056",32,2,"113",,33,"353.9","5.7","Shepherdia argentea",,"SAP",
6,20140926,"WOOD_056",32,2,"114",,33,"355.3","4.7","Shepherdia argentea",,"SAP",
7,20140926,"WOOD_056",32,2,"115",,33,"351","4.1","Shepherdia argentea",,"SMS",
8,20140926,"WOOD_056",32,2,"116",,33,"359.9","3.5","Shepherdia argentea",,"SAP",
9,20140926,"WOOD_056",32,2,"117",,33,"0.1","3.4","Shepherdia argentea",,"SAP",
10,20140926,"WOOD_056",32,2,"118",,33,"1.8","3.6","Shepherdia argentea",,"SAP",
11,20140926,"WOOD_056",41,4,"119",,41,"92","8.2","Shepherdia argentea",,"SAP",
12,20140926,"WOOD_056",31,1,"120",,31,"35.9","10.2","Symphoricarpos occidentalis",,"SAP",
13,20140926,"WOOD_056",31,1,"121",,31,"8.5","9.1","Symphoricarpos occidentalis",,"SAP","No Transcription Errors Found"
14,20140926,"WOOD_045",32,2,"124",,31,"88.8","9.2","Shepherdia argentea",,"SAP",
15,20140926,"WOOD_045",32,2,"125",,31,"51.6","8.2","Shepherdia argentea",,"SAP",
16,20140926,"WOOD_045",32,2,"126",,31,"42.3","3.4","Shepherdia argentea",,"SAP",
17,20140926,"WOOD_045",32,2,"127",,31,"22.4","5.1","Shepherdia argentea",,"SAP",
18,20140926,"WOOD_045",32,2,"128",,31,"21.2","5.5","Shepherdia argentea",,"SAP","No Transcription Errors Found"
19,20140926,"WOOD_045",32,2,"129",,31,"8.8","5.1","Shepherdia argentea",,"SAP",
20,20140926,"WOOD_045",32,2,"130",,31,"3.3","7.4","Shepherdia argentea",,"SAP",
21,20140926,"WOOD_045",32,2,"131",,31,"358.8","7.4","Shepherdia argentea",,"SMS",
22,20140926,"WOOD_045",40,3,"132",,49,"151.6","8.1","Shepherdia argentea",,"SAP",
23,20140926,"WOOD_045",40,3,"133",,49,"142.7","8.9","Shepherdia argentea",,"SAP",
24,20140926,"WOOD_045",40,3,"134",,49,"105.2","8.6","Shepherdia argentea",,"SAP",
25,20140926,"WOOD_045",41,4,"135",,51,"212.4","5.7","Shepherdia argentea",,"SAP",
26,20140926,"WOOD_045",41,4,"136",,51,"217.5","5","Shepherdia argentea",,"SAP",
27,20140926,"WOOD_045",41,4,"137",,51,"210.6","4.2","Shepherdia argentea",,"SAP",
28,20140926,"WOOD_045",41,4,"138",,51,"265.3","2.4","Shepherdia argentea",,"SAP","No Transcription Errors Found"
29,20140926,"WOOD_061",32,2,"122",,33,"346.3","1.8","Shepherdia argentea",,"SAP","No Transcription Errors Found"
30,20140926,"WOOD_061",32,2,"123",,33,"287.5","0.9","Shepherdia argentea",,"SAP","No Transcription Errors Found"
31,20140923,"WOOD_070",31,1,"1",,31,"357","1.6","Shepherdia argentea",,"SAP",
32,20140923,"WOOD_070",31,1,"4",,31,"9.3","3.9","Shepherdia argentea",,"SAP",
33,20140923,"WOOD_070",31,1,"5",,31,"13.3","4.6","Shepherdia argentea",,"SAP",
34,20140923,"WOOD_070",31,1,"2",,31,"352.1","2.1","Shepherdia argentea",,"SMS",
35,20140923,"WOOD_070",31,1,"3",,31,"352.4","2.3","Shepherdia argentea",,"SAP",
36,20140924,"WOOD_071",40,3,"6",,49,"105.6","5","Shepherdia argentea",,"SAP","No Transcription Errors Found"
37,20140924,"WOOD_071",40,3,"7",,49,"114.3","6.7","Shepherdia argentea",,"SAP","No Transcription Errors Found"
38,20140924,"WOOD_071",40,3,"8",,49,"133","8.5","Shepherdia argentea",,"SAP",
39,20140924,"WOOD_057",40,3,"73",,41,"313.9","8.9","Shepherdia argentea",,"SAP",
40,20140924,"WOOD_057",40,3,"74",,41,"314.6","8.5","Shepherdia argentea",,"SAP",
41,20140924,"WOOD_057",40,3,"75",,41,"316","9.3","Shepherdia argentea",,"SAP",
42,20140924,"WOOD_057",40,3,"76",,41,"318","9.7","Shepherdia argentea",,"SAP",
43,20140924,"WOOD_057",40,3,"77",,41,"314.7","10.3","Shepherdia argentea",,"SAP",
44,20140924,"WOOD_057",40,3,"78",,41,"316.4","11.4","Shepherdia argentea",,"SAP",
45,20140924,"WOOD_057",40,3,"79",,41,"311.2","11","Shepherdia argentea",,"SAP","No Transcription Errors Found"
46,20140924,"WOOD_057",40,3,"80",,41,"308.9","12","Shepherdia argentea",,"SAP",
47,20140924,"WOOD_057",40,3,"81",,41,"307.3","11.3","Shepherdia argentea",,"SAP",
48,20140924,"WOOD_057",40,3,"82",,41,"307.9","11.1","Shepherdia argentea",,"SAP",
49,20140924,"WOOD_057",40,3,"83",,41,"307.1","11","Shepherdia argentea",,"SAP",
50,20140924,"WOOD_057",40,3,"84",,41,"309.3","10.8","Shepherdia argentea",,"SAP",
51,20140924,"WOOD_057",40,3,"85",,41,"312.1","10.3","Shepherdia argentea",,"SAP",
52,20140924,"WOOD_057",40,3,"86",,41,"307.8","10.1","Shepherdia argentea",,"SAP",
53,20140924,"WOOD_057",40,3,"87",,41,"302.4","9","Shepherdia argentea",,"SAP",
54,20140924,"WOOD_057",40,3,"88",,41,"326.1","9.7","Shepherdia argentea",,"SAP",
55,20140924,"WOOD_057",40,3,"89",,41,"328.2","9","Shepherdia argentea",,"SAP",
56,20140924,"WOOD_057",40,3,"90",,41,"329.4","9.1","Shepherdia argentea",,"SAP",
57,20140924,"WOOD_057",40,3,"91",,41,"334.2","8.3","Shepherdia argentea",,"SAP","No Transcription Errors Found"
58,20140924,"WOOD_057",40,3,"92",,41,"334.5","7.7","Shepherdia argentea",,"SAP",
59,20140924,"WOOD_057",40,3,"93",,41,"333.6","7.7","Shepherdia argentea",,"SAP",
60,20140924,"WOOD_057",40,3,"94",,41,"336.7","7","Shepherdia argentea",,"SAP",
61,20140924,"WOOD_057",40,3,"95",,41,"338.9","6","Shepherdia argentea",,"SAP","No Transcription Errors Found"
62,20140924,"WOOD_057",40,3,"96",,41,"351.4","6.5","Shepherdia argentea",,"SAP",
63,20140924,"WOOD_057",41,4,"97",,41,"83.7","3.3","Shepherdia argentea",,"SAP",
64,20140924,"WOOD_057",41,4,"98",,41,"60.4","6.1","Shepherdia argentea",,"SAP",
65,20140924,"WOOD_057",41,4,"99",,41,"5.2","3","Shepherdia argentea",,"SAP",
66,20140924,"WOOD_057",41,4,"100",,41,"10.7","3.6","Shepherdia argentea",,"SAP",
67,20140924,"WOOD_057",41,4,"101",,41,"7","4.5","Shepherdia argentea",,"SAP",
68,20140924,"WOOD_057",41,4,"102",,41,"359.7","7","Shepherdia argentea",,"SAP",
69,20140924,"WOOD_057",41,4,"103",,41,"19.4","5.9","Shepherdia argentea",,"SAP",
70,20140924,"WOOD_057",41,4,"104",,41,"23.6","8.1","Shepherdia argentea",,"SAP",
71,20140924,"WOOD_057",41,4,"105",,41,"34.9","8","Shepherdia argentea",,"SAP",
72,20140924,"WOOD_057",41,4,"106",,41,"24.6","10.6","Shepherdia argentea",,"SAP","No Transcription Errors Found"
73,20140924,"WOOD_057",41,4,"107",,41,"34.9","10.4","Shepherdia argentea",,"SAP",
74,20140924,"WOOD_057",41,4,"108",,41,"63.9","7.5","Shepherdia argentea",,"SAP",
75,20140924,"WOOD_057",31,1,"9",,31,"49.4","2.4","Shepherdia argentea",,"SMS",
76,20140924,"WOOD_057",31,1,"10",,31,"20.9","3.8","Shepherdia argentea",,"SMS",
77,20140924,"WOOD_057",31,1,"11",,31,"24.2","5.4","Shepherdia argentea",,"SMS",
78,20140924,"WOOD_057",31,1,"12",,31,"46.6","5.3","Shepherdia argentea",,"SMS",
79,20140924,"WOOD_057",31,1,"13",,31,"54.8","6.3","Shepherdia argentea",,"SAP",
80,20140924,"WOOD_057",31,1,"14",,31,"44.9","7.2","Shepherdia argentea",,"SAP","No Transcription Errors Found"
81,20140924,"WOOD_057",31,1,"15",,31,"33.4","7.6","Shepherdia argentea",,"SMS",
82,20140924,"WOOD_057",31,1,"16",,31,"33.1","8.2","Shepherdia argentea",,"SMS",
83,20140924,"WOOD_057",31,1,"17",,31,"28.2","9.1","Shepherdia argentea",,"SAP",
84,20140924,"WOOD_057",31,1,"18",,31,"7.8","9.1","Shepherdia argentea",,"SAP",
85,20140924,"WOOD_057",31,1,"19",,31,"40.1","12.2","Shepherdia argentea",,"SAP",
86,20140924,"WOOD_057",31,1,"20",,31,"58","8.7","Shepherdia argentea",,"SMS",
87,20140924,"WOOD_057",31,1,"21",,31,"70.9","6.4","Shepherdia argentea",,"SAP",
88,20140924,"WOOD_057",31,1,"22",,31,"80","6.3","Shepherdia argentea",,"SAP",
89,20140924,"WOOD_057",31,1,"23",,31,"91.3","7.8","Shepherdia argentea",,"SMS",
90,20140924,"WOOD_057",31,1,"24",,31,"92.7","8.9","Shepherdia argentea",,"SAP",
91,20140924,"WOOD_057",31,1,"25",,31,"92.2","9.4","Shepherdia argentea",,"SMS",
92,20140924,"WOOD_057",31,1,"26",,31,"79.1","9.1","Shepherdia argentea",,"SMS",
93,20140924,"WOOD_057",32,2,"27",,33,"267.9","9.6","Shepherdia argentea",,"SAP",
94,20140924,"WOOD_057",32,2,"28",,33,"266.7","8.6","Shepherdia argentea",,"SAP",
95,20140924,"WOOD_057",32,2,"29",,33,"266.1","7.3","Shepherdia argentea",,"SAP",
96,20140924,"WOOD_057",32,2,"30",,33,"269","6.8","Shepherdia argentea",,"SAP",
97,20140924,"WOOD_057",32,2,"31",,33,"296.5","7.7","Shepherdia argentea",,"SMS",
98,20140924,"WOOD_057",32,2,"32",,33,"303.9","7.9","Shepherdia argentea",,"SMS",
99,20140924,"WOOD_057",32,2,"33",,33,"312.3","6.4","Shepherdia argentea",,"SMS",
100,20140924,"WOOD_057",32,2,"34",,33,"324.5","5.6","Shepherdia argentea",,"SAP","No Transcription Errors Found"
101,20140924,"WOOD_057",32,2,"35",,33,"330.7","4.9","Shepherdia argentea",,"SMS",
102,20140924,"WOOD_057",32,2,"36",,33,"324.3","4.1","Shepherdia argentea",,"SAP",
103,20140924,"WOOD_057",32,2,"37",,33,"342.5","3.4","Shepherdia argentea",,"SAP",
104,20140924,"WOOD_057",32,2,"38",,33,"331.3","6.4","Shepherdia argentea",,"SAP",
105,20140924,"WOOD_057",32,2,"39",,33,"335.4","6.4","Shepherdia argentea",,"SAP","No Transcription Errors Found"
106,20140924,"WOOD_057",32,2,"40",,33,"357.7","7.3","Shepherdia argentea",,"SMS",
107,20140924,"WOOD_057",32,2,"41",,33,"37.7","8.1","Shepherdia argentea",,"SMS",
108,20140924,"WOOD_057",32,2,"42",,33,"348.4","9.8","Shepherdia argentea",,"SAP",
